A: 	deze hebben ook weer meerdere uitsteeksel je hebben dat komme 
A: 	en dan zitten er eigenlijk achterop zitten een soort hoofd in een ruitvorm 
A: 	en die hebben weer twee uitsteeksel 
B: 	ja 
A: 	zo weer traps toelopen 
A: 	dan hebben die aan de onderkant nog een uitsteeksel en aan de zijkant 
A: 	en één naar voren toe 
B: 	oké 
B: 	dat zijn M 
A: 	dan staan die sowieso link van het midden 
A: 	wel weer op driekwart dus van de heel van het heel scherm staan die dan op driekwart 
A: 	en wederom hier ja hij staan net in de lengte van het scherm staan die net iets onder het midden 
A: 	dus weer ja vier vier vinger breed en hoog 
B: 	even een vraagje 
B: 	als we zo de helft hebben 
A: 	ja 
B: 	want bij mij staan die zeggen maar hier zo 
B: 	dus dan staan die zeggen maar net iets boven het midden en bij jou staan die zeggen maar net iets onder het midden 
A: 	net iets onder ja 
B: 	oké dan staan die niet op dezelfde plek 
B: 	dit zijn dat heel raar figuur 
B: 	dit zijn dat komme en dan daarboven zitten een soort van rechthoekig vierkant 
B: 	kunnen dat 
B: 	met twee van die stulpsel zeggen maar dat dat vierkant steeds klein worden en daaronder zo'n soort van balk eronder 
A: 	ja 
A: 	ja één zo en één zo 
B: 	ja 
A: 	ja 
A: 	en dan nog met een navelstreng eigenlijk eruit dat zijn nummer negen bij mij 
B: 	ja 
B: 	hij staan linkerkant van het scherm 
B: 	en dan als je het midden hebben bijna tegen het midden aan aan de linkerkant 
B: 	er zullen nog wel wat tussen kunnen 
B: 	dus en helemaal onderin 
A: 	dan staan die 
A: 	helemaal onderin 
B: 	helemaal onderin 
A: 	zullen er nog net een half 
B: 	ja zeker 
A: 	ja dan staan die wel op dezelfde 
A: 	dit zijn dat poppe met ja die ruit achter op het hoofd en die twee 
A: 	traps toewijzen toelopen blok 
A: 	en aan de anderkant nog die tentakelzijkant en dan die navelstreng nog 
B: 	ja 
B: 	dit zijn H 
A: 	en die staan aan de linkerkant van het scherm 
A: 	daarbij zitten die tussen het midden kunnen er nog één en dan komen dat poppet 
A: 	en bovenin zullen er ook nog één tussen kunnen 
B: 	ja 
A: 	dus de bovenkant van het scherm 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn die raar met dat slurf onder neusje naar voren en dat raamp bovenop 
B: 	met die twee uit 
A: 	met die twee ja 
B: 	ja 
A: 	en dan ook nog die een extra aan de zijkant 
A: 	dat zijn nummer elf 
B: 	als je het midden van het scherm hebben dan links naar boven toe 
B: 	kunnen en dan staan die precies ongeveer in het midden en boven kunnen er denken ik net wel net niet nog een poppe 
A: 	ja 
A: 	en aan de zijkant kunnen er één anderhalf tussen 
B: 	ja 
A: 	ja 
A: 	dat zijn dezelfde positie 
A: 	dit zijn ja dat raar poppe met die navelstreng van onderen 
A: 	en van de zijkant tentakel en dat ruitvorm 
B: 	dat zijn D 
A: 	op het achterhoofd 
A: 	en die staan linkerkant van het scherm 
A: 	en daar zullen er ja net wel net niet één onder kunnen 
A: 	en hij neigen hij bekendstaan eigenlijk wel in de breedte staan die wel wat in het midden maar hij neigen net iets naar het midden weer toe 
B: 	oké nee dan staan die niet op dezelfde plek 
B: 	dit zijn met dat ruit boven op zijn hoofd 
B: 	met die vierkant die steeds klein worden en die slurf onder 
A: 	en dan nog 
B: 	één naar voren en dat armp 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	dan staan die helemaal links 
B: 	kunnen er net wel net niet nog één naast ik denken het niet 
B: 	en dan staan die precies op de op het midden 
A: 	nee dan staan die niet op dezelfde positie 
