A: 	ja hierin zijn eigenlijk een isteken verwerken 
A: 	dus weten je wel ? één plus ja die en dan 
B: 	aan de zijkant 
B: 	en dan met zo'n hoed 
A: 	ja zo'n hoed en dan 
B: 	plat 
A: 	ja 
B: 	en nog één been 
A: 	ja die 
B: 	ja 
B: 	dan zijn het zijn dat een I of een L 
B: 	een I 
B: 	dan zijn het een I 
A: 	bij mij staan die als je het weer in die vier vak vlak verdeelen staan die in het linkervlak linkervak 
B: 	ja 
A: 	Linksboven trouwens 
A: 	en dan als je alleen bij dat linkervak linkervlak Linksboven kijken staan die het hoog 
B: 	ja 
B: 	maar er past nog wel in principe nog één boven 
A: 	ja 
B: 	ja 
A: 	maar dat zijn dan bij het rechtervlak 
B: 	dan 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn die een met dat istek 
A: 	ah oké dat zijn nummer twee 
B: 	en hij staan in het linkervlak onderin 
B: 	ongeveer in het midden denken iets naar het links toe maar 
A: 	oké 
A: 	en dicht bij de middellijn weer 
B: 	ja deze middellijn 
B: 	redelijk 
A: 	redelijk 
B: 	ja hoe leg ik dat uit 
B: 	er passen net een half tussen denken ik 
A: 	oké maar het zijn wel als je naar dat vlak kijken het figuurt wat het dicht bij de middellijn nou trouwens nee dat kloppen niet wat ik zeggen 
A: 	oké zijn die heel erg links 
A: 	maar er kunnen nog één figuurt ernaast link 
B: 	ja 
A: 	oké dan staan die op dezelfde plek 
A: 	dit zijn met dat istek 
B: 	even kijken 
B: 	ja dat zijn N 
A: 	en bij mij staan die eigenlijk helemaal linksonder 
B: 	kunnen er nog wel één naast links daarvan 
A: 	ja zullen net kunnen 
B: 	ja 
A: 	als je als je echt gewoon alleen naar het vlak linksonder kijken weten je wel ? dat die vier vlak 
B: 	ja 
A: 	dan zijn dat het veel links in dat vak 
B: 	waar dat ding staan 
A: 	ja 
B: 	er past er geen veel naast nog links daarvan 
A: 	in dat vak vlak niet 
A: 	maar in principe als je naar ander vlak gaan kijken dan nog net wel 
B: 	hij staan wel helemaal in de onderste rij 
A: 	ja helemaal onder en dan helemaal links 
B: 	hebben jij daarboven ook nog poppet zitten 
A: 	ja nog twee 
B: 	en die staan die ver naar links nog 
A: 	ja 
B: 	oké dan denken ik dat die op dezelfde plek staan 
B: 	dit zijn met dat istek 
A: 	zijn nummer negen 
B: 	hij staan links in het linksbovenvlak 
B: 	er toepassen zeggen maar vanaf de linkerkant zien passen er twee naast 
B: 	bij mij staan er al één naast maar er past er in principe nog één naast 
A: 	oké 
B: 	en er past er net niet één boven 
A: 	oké 
A: 	dus hij zitten eigenlijk in het midden van het vak vlak Linksboven 
B: 	ja iets te iets veel rechts zeggen maar als je het vlak nog opdeelen Linksboven 
A: 	iets daarboven 
A: 	ja 
B: 	als je daar ook nog twee middellijn in doen dan zitten die tegen die middellijan aan maar wel dan weer rechtsboven 
A: 	ja oké dan zitten die denken ik op dezelfde plek want er staan nog één figuurt link 
B: 	oké 
B: 	ja kloppen 
A: 	ja dan zitten die op dezelfde plek 
B: 	ja 
A: 	dit zijn met het isteken 
B: 	oké 
B: 	dat zijn F 
A: 	bij mij staan die in het vlak rechtsonder 
A: 	weten je wel ? we hebben het toestraks over die een staart 
B: 	ja 
A: 	weten je wel ? daaronder 
A: 	een soort van weten je dat nog 
B: 	ja 
A: 	en dan daarvan van die staart staan die in het midden 
B: 	ja 
B: 	en er staan nog één daar dan links van 
A: 	ja 
B: 	van het istekentje en die staan ongeveer tegen de middellijn aan 
A: 	ja deze middellijn 
B: 	ja deze middellijn 
A: 	ja 
B: 	oké 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn weer met het isteken 
A: 	dat zijn nummer zes 
B: 	en hij zitten in het vlak ongeveer linksonder 
B: 	alleen zitten die wel een beetje tegen die middellijn aan 
B: 	en ook tegen deze 
A: 	oké dan zitten die denken ik wel op want hij zitten link zeggen je toch 
B: 	ja 
A: 	oké ja zitten die op dezelfde plek 
