B: 	ik noemen dit het de onderwijzer de leraar met stok 
B: 	het lijken op een uil dat zeggen maar zo staan met een stok omhoog 
A: 	ah ja 
A: 	nee daar hebben ik heel ander in 
B: 	hij hebben op het op zijn hoofd zeggen maar hebben die een ja ook iets zitten 
B: 	een vierkant of een rechthoek goed zeggen zijn arm lijken op een mislukken triangelvormig een kegelvormig hand 
A: 	ik kunnen hem niet zo snel vinden 
B: 	en hij hebben een dun stok in zijn aan de rechterkant 
A: 	aan de rechterkant dun aan de linkerkant zijn een een stok wat wel uitsteken met zo'n 
B: 	er opsteken niks uit uit het figuurt 
A: 	oké 
B: 	dus het zijn een heel klein stok wat rechtop staan zeggen maar 
A: 	ja ik zien hem 
B: 	ja 
A: 	ja 
B: 	heel goed 
B: 	ik willen net zeggen anders zijn ze ons aan het pranken 
A: 	het zijn een soort en hij hebben een soort van neus wat zo half ja 
B: 	ik zien het niet als neus ik inzien ver ik zien het niet alsof hij iets hebben 
A: 	er staan een blok op zijn hoofd en hij hebben een klein uitstulpinkje met een stok ja 
B: 	ja 
B: 	zoiets ja wat een beetje een een een kegelvormig ding hebben en hij staan dan zeggen maar zo voor mijn gevoel met een stok 
A: 	ja ja 
A: 	ja 
A: 	ja ja dat kloppen 
B: 	omhoog verticaal omhoog 
A: 	ja eigenlijk zijn het net zo'n goo als die we net hebben toch 
A: 	waar dat stok op staan 
A: 	volgens mij wel 
B: 	waar het stok op even kijken 
A: 	dat armp van hem zijn net zo'n net zo'n nou ja ik denken dat het gewoon ik dat zijn de enig waar ik een uil in kunnen zien 
B: 	ja hij hebben in ieder geval iets op zijn hoofd zitten en dat zijn zeggen maar gewoon een blok een lang een langwerpig 
A: 	ja een blok 
A: 	een langwerpig blok ja 
B: 	ja 
A: 	dan zijn het Numero acht 
B: 	bij mij staan die eigenlijk precies in het midden van het van het scherm 
A: 	bij mij ja precies in het midden 
B: 	als je 
B: 	als 
A: 	als je hem vanaf het logo naar boven trekken zijn het wel het één figuur wat je bij mij aantrven 
B: 	als je de 
A: 	bij de B laten maar zeggen als je de B naar boven volgen dan komen je er 
B: 	ja 
B: 	bij mij ook het zijn zeggen maar je hebben bij mij eerst een ander figuur 
B: 	dan zeggen maar een laag hoog nog een figuur die zitten niet op dezelfde lijn maar wel zeggen maar zo 
A: 	ja 
B: 	en daarna hebben je bij mij hebben je degeen zitten waar we het nu over hebben 
B: 	hij staan vrijwel alleen boven hem kunnen er nog twee boven onder nog twee boven 
A: 	ja 
A: 	ja eigenlijk kunnen er bij mij twee boven twee onder en staan in het midden 
B: 	twee onder twee boven inderdaad en bij bij mij links kunnen er nou kunnen er één twee drie vier en aan de ander kant ook iets van vijf of zo 
A: 	nou ja dat 
A: 	ook of drie ja 
A: 	dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn jou uil 
B: 	ja 
B: 	dan worden het E 
A: 	hij staan bij mij aan de rechterkant 
B: 	ja 
A: 	als je een lijn door de doormidd zullen voortzetten gelijk aan de rechterkant eigenlijk wel 
A: 	de Q zullen hem net niet raken denken ik 
A: 	er kunnen er nog één onder of anderhalf onder 
A: 	en drie boven 
B: 	nee 
A: 	drie à twee boven 
B: 	bij mij zijn het andersom 
A: 	oké 
B: 	bij mij passen er drie onder en twee ongeveer daarboven 
A: 	nee dat echt niet oké 
B: 	dan staan die dus niet op dezelfde plaats dat zijn rood 
A: 	nee 
B: 	dit zijn het uil 
A: 	even kijken dat zijn het uilt 
A: 	ja dat zijn Numero één 
B: 	bij mij staan die eigenlijk vrijwel in het midden hij zullen de letter B helemaal bovenin kunnen niks veel boven hij raken de letter B E N 
A: 	bij mij ook 
A: 	bovenin 
A: 	ja 
A: 	zelfde plek 
B: 	top 
A: 	dit zijn de uil 
B: 	dat zijn nummer E 
A: 	hij staan links 
B: 	ja 
A: 	eigenlijk een beetje in het midden links dus er kunnen er nog één onder 
B: 	bij mij anderhalf 
A: 	nee bij mij echt niet veel dan dat denken ik en denken nog twee boven 
B: 	bij mij kunnen er drie boven 
A: 	zijn jou scherm groot of zo 
A: 	nee bij mij kunnen er ja misschien anderhalf onder en dan twee boven 
A: 	dat zullen ik zeggen 
A: 	ja 
A: 	en hij zitten best nog wel ver van het midden af hoor 
B: 	ja 
B: 	zitten even te denken want deze zijn wel lastig 
A: 	ja ik vinden het een beetje een irritant plek 
A: 	ook omdat ik niet de verhouding van die kop zijn natuurlijk ook allemaal anders 
B: 	nou ja op zich de kop zijn zelf even groot alleen de uitstulpsels zijn anders 
A: 	ja 
B: 	ik denken dat je als je hem bij mij goed kunnen passen en meten dat er twee onder kunnen en dan goed passen drie erboven dan moeten je niet dat toren hebben maar dan moeten je de 
B: 	klein kop hebben die zeggen maar aan de zijkant uitstulpsel hebben en niet 
A: 	en hoeveel kunnen er bij jou nog link ernaast 
B: 	twee en een half 
B: 	en als je de lijn vanaf B treken één 
A: 	een lijn vanaf B 
A: 	ja 
B: 	als je de lijn vanaf B aantreken ja vanaf E passen er dan 
A: 	ja 
A: 	ik denken dat die dan wel op dezelfde plek staan 
B: 	ja ? staat die op dezelfde plek 
A: 	ja 
B: 	dit gaan om het uilt 
A: 	het uil ik gaan hem even opzoeken 
A: 	duren lang 
A: 	ah Numero zestien 
B: 	hij staan bij mij rechts en dan onderin 
A: 	ja 
B: 	als je vanaf de E N zeggen maar de lijn omhoogtrekken 
A: 	ja 
B: 	dan vallen die ja dat zijn lastig zeggen hij vallen net op de lijn ongeveer zeggen maar de rechterkant van het beeld vallen op de lijn 
A: 	bij mij vallen die echt 
A: 	nou maar 
A: 	nee 
A: 	nee maar dan vallen het al af want mij staan die echt rechts in het midden 
A: 	rechts rechts onderin in het midden 
A: 	dus bij mij staan die echt in het midden van de rechterkant 
B: 	ja bij mij zullen dat ook wel kunnen 
A: 	nee maar bij mij raken die echt die letter bij lang na niet 
B: 	nee bij mij als je E en N omhoogtrekt de lijn 
A: 	ja 
B: 	dan zullen je hem ongeveer in het midden hebben zeggen maar als je dan de lijn trekken er kunnen ongeveer één vingerlengte zitten eronder 
A: 	ja 
B: 	de 
A: 	ja als je bij E N ja dan zullen er nog 
B: 	ja maar ik vinden als je de lijn zeggen maar dan als je het beeldscherm dan weer verdeelen dat dan zeggen maar de lijn op de rechterkant van het figuurtje vallen snap je wat ik bedoelen 
B: 	dat die zeggen maar hij vallen veel hij vallen veel aan de linkerkant van de rechterkant dan aan de rechterkant van de rechterkant 
A: 	ja ja ja 
A: 	ja ja daar zijn ik het mee eens 
B: 	ja ? dan staan die waarschijnlijk dus op wel dezelfde plek 
A: 	ja 
A: 	zelfde plek 
A: 	de uil 
B: 	ja dat gaan om O 
A: 	staan bij mij helemaal linkerkant van het scherm 
B: 	ja 
B: 	anderhalf vingerlengte aan de onderkant en drie aan de linkerkant 
A: 	ja er kunnen niks veel naast in ieder geval 
B: 	nee er kunnen vrijwel niks veel naast 
A: 	dan denken ik dat die op dezelfde plek staan 
B: 	zelfde plek geel 
