B: 	ik hebben er één met drie van die bolle zo ernaast aan beide kant 
A: 	en zo'n soort van confettislinger soort van achter 
B: 	ja of het erachter zijn 
A: 	en zo'n plateau eronder 
B: 	ja plateau eronder yes 
A: 	ja 
A: 	nummer vijf zijn dat 
B: 	oké 
B: 	even kijken hij staan als je gewoon de helft zo doen staan die er net onder 
A: 	ja 
A: 	oké 
B: 	bij mij 
B: 	en hij staan als je het scherm dan weer zo doen staan die wat link daarvan 
A: 	ja 
A: 	oké dan staan die bij mij wel op een ander plek hij staan bij mij echt wel ver naar links denken ik en niet helemaal in het midden 
B: 	oké 
B: 	hij staan iets onder het midden bij mij 
A: 	net iets Erboven 
A: 	bij mij staan die net wel boven het midden zullen ik denken dus dan zijn die denken ik niet op dezelfde plek nee 
B: 	oké ja dan zijn het niet 
B: 	ja 
A: 	oké 
A: 	ik hebben die met waar die op dat plateau staan met die soort gek slinger erachter 
B: 	ja 
B: 	ja die gek slinger dat zijn J bij mij 
A: 	ja 
A: 	en die staan echt helemaal rechtsonder in de hoek 
B: 	oké 
B: 	er staan niks veel rechts van bij jou 
A: 	nee helemaal niks veel 
B: 	oké bij mij wel 
A: 	oké 
B: 	maar wel helemaal onderin 
A: 	oké 
B: 	ander plek 
A: 	yes 
B: 	right 
B: 	oké ik hebben weer die met dat plateau met die soort van slinger erachter 
A: 	ja 
A: 	en het schotel aan de voorkant 
B: 	ja en het schotel 
A: 	nummer elf 
B: 	yes 
B: 	en hij staat ongeveer op de helft 
B: 	als je het zo bekijken en de helft van de helft links 
A: 	oké 
B: 	ongeveer 
A: 	nee bij mij staan die niet helemaal op de helft van de helft link dus dan zijn het een ander plek 
B: 	oké 
A: 	oké 
A: 	dit zijn weer die op dat plateau staan met dat schotel aan de voorkant en die gek freubeltjes aan de achterkant 
B: 	yes dat zijn de P bij mij 
A: 	top 
A: 	even kijken hij staan net iets link uit het midden en ongeveer half half boven 
B: 	oké 
B: 	nee mijn staan wel echt een stuk veel waar zeggen je nou links of rechts zeggen je ? sorry 
A: 	zeggen ik zeggen ik nou weer verkeerd 
B: 	ik 
B: 	nee ik weten het niet ik weten nou niet veel wat je zeggen 
A: 	rechts 
A: 	sorry 
B: 	ik weten 
A: 	iets rechts van het midden 
B: 	oké oké nee dan mijn staan dan iets ver 
A: 	oké 
B: 	ik weten oprecht niet veel wat je zeggen 
A: 	het kunnen ook best dat ik het verkeerd zeggen horen 
B: 	ja ik weten het ook niet hoor 
B: 	yes oké 
B: 	het zijn weer dat plateau met die slinger 
A: 	oké 
B: 	en dan dat schotel 
A: 	nummer negen weer 
B: 	en hij zitten redelijk in het midden 
B: 	en helemaal bovenaan 
A: 	nee ander plek sowieso niet helemaal bovenaan 
B: 	oké 
A: 	deze zijn met dat plateau en dan met die freubeltjes erachter die confettislingerdinge 
B: 	die slinger 
B: 	ja ja L 
A: 	en hij staan links uit het midden en ongeveer helft helft boven 
B: 	oké 
B: 	link uit het midden 
A: 	ja links uit het midden 
B: 	oké 
B: 	nee die van mij staan rechts 
A: 	oké 
