A: 	ja dit zijn eigenlijk poeh zijn ook een er komen een staaf in het midden er uit en aan er priken er eigenlijk een heel groot spijker in 
B: 	ja ja en dan zitten er nog een soort plateau bij of zo ja dat zijn dan L 
A: 	en ja 
A: 	zo'n plateau er langs ja ja 
A: 	en die bij mij zitten hij dan links helemaal onderin 
B: 	helemaal links onderin 
A: 	helemaal links onderin ja 
B: 	of ja bij mij zitten hij zeggen maar u zijn dat zijn het de veel links maar niet de veel onderin 
A: 	nee echt echt onder onderin ja van de drie 
B: 	ok nee dan zijn het niet dezelfde 
B: 	ja dit zijn eigenlijk diegene waarbij die spijker in dat uitsteeksel gaan met dat plateau erbij 
A: 	ja even kijken 
B: 	je hebben zo'n ding en dat lijken zijn zeggen maar een een soort pacman of zo en daar gaan die spijker in 
A: 	o ja met met 
A: 	met die piramide 
B: 	ja 
A: 	er op ja dat zijn dan nummer zes 
B: 	en die zitten bij mij zeggen maar linksboven van het vierkant dus de allerhoog aan de linkerkant 
A: 	nee 
A: 	ja dit zijn weer die raar met die plateau aan de zijkant en wat iets uitsteken wat door een heel groot spijker worden doorboren zullen maar zeggen 
B: 	ja dat zijn dan die omgekeeren Eiffeltoren dat zijn dan C 
A: 	ja ja 
A: 	ok als jij zo'n lijn kunnen trekken van de bovenste rij zeggen maar dan hebben je link in de hoek er één zitten beetje in de midden hebben je er één zitten en één helemaal rechts die solo staan 
B: 	ja als je gewoon de bovenste de bovenste drie ja 
A: 	bovenste rij pakken ja ja en dan pak je de middel van de bovenste drie en daar staan hij gelijk onder 
B: 	ja 
B: 	staan hij gelijk onder 
A: 	ja 
B: 	zeggen maar een beetje zo rechts er onder 
A: 	rechts er onder ja ja 
B: 	ok dat zijn dan niet dezelfde 
B: 	ja dit zijn weer die pacman met die spijker en dat plateau ernaast 
A: 	ja 
A: 	even kijken waar 
B: 	die omgekeerde Eiffeltoren 
A: 	even zoeken even zoeken 
B: 	ja 
A: 	even kijken 
B: 	ja hij hebben die die die omgekeerde die spijker of die spijker of zo die er die er in worden slaan die piramide Eiffeltoren plateau ja die 
A: 	o die ja ah ik hebben hem vinden ja ja ja ja met die o daar zijn hij ja ja dat worden dan nummer één 
B: 	hij staan bij mij eigenlijk kunnen je links onderin een soort vierkant maken 
B: 	en dan staan hij bij mij zijn dan linksboven van het vierkant 
A: 	ja 
A: 	zijn zelfde plek 
A: 	ja dit zijn met die omgedraaide Eiffeltoren en met die plateau aan de zijkant 
B: 	ja ja dat zijn A 
B: 	en o 
A: 	even kijken als jij ja die driehoek van beneden 
B: 	ja 
A: 	en dan bovenin 
B: 	ja dat zijn dezelfde plek 
B: 	ja ik hebben nu die met die spijker die in die pacman of zo gaan en dan dat plateau er nog naast 
A: 	ja dat zijn dan nummer dertien 
B: 	en die zitten bij mij rechts bovenin van die we net hebben dus rechts bovenin van links onderin 
B: 	dus je hebben links onderin zitten er één net boven 
A: 	nee nee nee bij bij mij staan hij 
A: 	nee bij mij staan hij in het midden echt linker 
B: 	ok nee dat zijn dan niet dezelfde 
