A: 	deze hebben een soort sprie aan de achtekrant die naar achter wijzen 
A: 	met zo'n bolle voorop met een staaf door dat bolle heen en een plat rond aan de rechterkant van die staaf 
B: 	okan ja ik ik noemen het zelf een neus 
A: 	ik vinden dat 
A: 	ja precies dat vinden ik ook een neus met zo'n dinge er doorheen met een zo'n soort weetjewel zo'n ding wat je in een ijsthee dinge hebben waar je die citroen mee kunnen stampen 
B: 	en hij zijn doorboren 
B: 	ja 
B: 	ja of zo'n nerf pijlt 
A: 	het lijken 
A: 	ja alsof dat 
A: 	ja precies alsof dat er doorheen zitten en aan de achterkant zo'n druppel die naar achter wijzen alsof hij zo'n kuifje hebben wat naar achter wijzen 
B: 	okan ja dan zijn het voor mij F 
A: 	ok 
A: 	qua positie als je weer zo'n kruis van je scherm zullen maken dan zitten hij helemaal aan de rechterkant voor mij 
A: 	en dan wel op het horizontaal midden 
A: 	zitten hij bij jou rechts of link 
B: 	ja 
B: 	rechts 
A: 	rechts ok en en er zitten bij mij nog één rij met ander plaat veel naar de rechterkant 
B: 	bij mij zitten rechts niks veel 
A: 	ok dan staan hij denken ik ja aan de dan zullen hij nog steeds op dezelfde staan hij helemaal aan de rand 
B: 	nee 
A: 	van de rechterkant ? of zitten daar nog zegmaar 
B: 	er zullen nog iets tussen passen 
A: 	vijf centimeter ja 
A: 	en qua qua horizontaal of qua hoogte laagte en midden zitten hij wel ongeveer op het midden 
B: 	ja 
A: 	ja dan denken ik dat hij wel op dezelfde plek zitten 
B: 	want er zitten bij jou zitten er rechts nog wat naast 
A: 	ja bij mij zitten er rechts nog één direct naast en daarboven op diezelfde lijn 
A: 	zitten dus daar zullen in principe niet veel dan twee plaat extra bij kunnen maar één past er nog tussen 
B: 	ok nu twijfelen ik of hij op dezelfde plek zitten 
A: 	ok want 
B: 	als nog 
B: 	nou je zeggen dus dus je hebben een kruis een plus en dan zitten hij dus rechts 
A: 	ja ja 
A: 	ja 
B: 	echt op de lijn bijna eigenlijk 
A: 	ja ja 
B: 	en daar past niet iets tussen nog rechts 
A: 	jawel nog dus rechts zitten er bij mij zitten er al een plaat maar er zullen niet nog een plaat extra tussen kunnen dus er zijn ruimte voor één extra plaat maar niet voor twee 
B: 	o ok 
A: 	want er staan bij mij al één plaat nog veel rechts daarvan 
B: 	en wat staan er nog omheen 
A: 	ja er boven zitten een een een plaat meteen direct rechts daarvan zitten een plaat en iets veel Rechtonder zitten ook nog een plaat 
A: 	maar ik denken dat 
B: 	want ik afvragen me af of we nu hetzelfde plaat 
A: 	nee ik denken dat dat sowieso anders zijn dus dat we daar niet vanuit moeten gaan 
B: 	niet 
