A: 	ja deze hebben een piramide op zijn hoofd of op zijn bovenkant 
B: 	o ja ja dat ik weten welk je bedoelen 
A: 	en ook een soort van piramide die zijn afgekapt aan de voorkant 
B: 	ja ja dat zijn bij mij J 
A: 	bij mij vijftien 
B: 	ok dan moeten ik klikken 
A: 	ja 
A: 	bij mij staan hij helemaal onderaan en dan redelijk naar de rechts hoek toe 
A: 	en er omheen staan niks 
B: 	maar wel zeggen maar beetje op één zeggen maar van het scherm op één vier of zo 
A: 	één vier wel ja 
B: 	ja ok ja dat hebben ik ook en dan zo diagonaal zeggen maar zijn er even voorlopig niks gelijk omheen 
A: 	nee nee 
B: 	ja 
B: 	ok dan staan hij denken ik ook op dezelfde 
A: 	ja 
A: 	ok 
B: 	dit zijn dat een met dat punt puntje punthoedje eigenlijk vinden ik het een beetje er bovenop 
A: 	ja 
A: 	ja en ook die afgehaken zo 
B: 	en 
B: 	ja ja 
A: 	ja bij mij zijn dat zes 
B: 	ok bij mij H 
B: 	en het zitten best wel rechts maar een beetje zeggen maar net zo gewoon onder de horizontaal zeggen maar het midden 
B: 	en er onder zitten ook nog aan beide kant zitten twee dinget en er boven schuin ook nog wat en daarboven ook ook een beetje weer in die slinger 
A: 	ja maar aan welk kant schuin zitten er iets 
B: 	beetje Linksboven schuin en rechtsonder en linksonder 
A: 	ja 
A: 	ja dan zitten hij wel op dezelfde plek denken ik 
B: 	ok 
A: 	dit zijn die met die driehoekig puntmuts en die afgehaken driehoek 
B: 	dat zijn E bij mij 
A: 	zestien 
A: 	hij staan o horizontaal zien 
A: 	een beetje aan de onderkant maar het zijn niet de veel onderste en zeggen maar echt een heel klein beetje naar rechts van het midden 
B: 	o dan mijne zitten wel echt gewoon helemaal zeggen maar op één vier deel van de rechterkant dus dan zijn het denken ik niet dezelfde 
A: 	ok nee dan zitten hij niet op dezelfde plek 
B: 	o dit zijn die een met dat hoed boven en voor zo'n afgesneden piramide achtig iets ja 
A: 	ja dat zijn tien bij mij 
B: 	ok bij mij A 
A: 	best grappig dat je er opeens allemaal echt ding in gaan zien toch 
B: 	ja inderdaad 
B: 	hij staan zeggen maar op de onderste rij en dan een beetje aan de linkerkant maar zullen nog wel krap één naar kunnen maar er staan niks naast link 
A: 	o bij mij staan er wel iets naast 
B: 	ok 
A: 	ok niet dezelfde plek dus 
B: 	nope 
A: 	dit zijn die met de driehoek hoed en de driehoek neus afkapten driehoek 
B: 	even kijken o daar o G 
A: 	ja dertien bij mij ja 
A: 	het zijn de veel links in de bovenhoek 
B: 	dat hebben ik ook en daarnaast zitten ook niet gelijk wat 
A: 	nee er zitten best wel veel ruimte tussen ja 
B: 	ja o dan zijn het dan zijn het weer dezelfde 
A: 	yes 
B: 	dit zijn weer dat dat ja hoed voorop en dat driehoek afsnijden ja 
A: 	ja dat zijn tien bij mij 
B: 	ok bij mij K 
B: 	en hij zitten zeggen maar ja ik denken weer op één vier deel vanaf rechts en onder het midden 
A: 	één vier deel van rechts onder het midden 
B: 	ja zeggen maar kwart van het beeldscherm 
A: 	ja 
A: 	ja bij mij opzich ook wel 
B: 	er zullen er nog wel één onder toepassen twee worden nee net niet 
A: 	twee zijn krap 
B: 	ja dan dan zullen ze een beetje in elkaar moeten schuiven of zo 
A: 	ja dat denken ik ja 
B: 	en rechts zitten er ook nog één 
A: 	ja rechts zitten er één maar die zitten iets veel omhoog bij mij 
B: 	ja ja bij mij ook 
A: 	ja ik denken wel dat het dezelfde plek zijn 
B: 	qok 
