B: 	oké hij hebben een neus 
B: 	een rond 
A: 	ja 
B: 	en dan dat zijn het en dan zo'n vierkan aan de bovenkant 
B: 	aan de linkerkant zitten dan zo'n 
A: 	zijn dat die vulpen zeggen maar die ik zo hebben noemen 
B: 	ja de vulp ja ja ja dat zijn hem 
A: 	ja 
A: 	ik hebben ze allemaal van dat soort gek naam geven 
B: 	nee 
A: 	dan zijn het veertien 
B: 	oké en hij zitten als je de middellijn hebben 
B: 	zitten die wat aan de onderkant aan naar rechts 
A: 	ja dat hebben ik ook 
A: 	met dan zeggen maar nog één er link van links veel naar onder 
A: 	en één helemaal rechts onderin maar ja hij staan ja hij staan vrij een beetje op zichzelf lijken het 
B: 	nou dat bij mij niet maar het zijn echt gewoon middellijn 
A: 	ja 
B: 	en dan iets naar rechts 
A: 	ja 
B: 	maar dan ook wat naar onder 
A: 	ja 
A: 	ja ik denken dat we ja dat we dan wel op dezelfde plek kijken inderdaad 
B: 	denken 
B: 	dat denken ik ook wel 
A: 	oké 
A: 	oké dit zijn degeen die ik altijd noemen met die neus en die vulpen erin 
B: 	ja die ja 
A: 	ja 
A: 	en die staaf 
B: 	ja dat zijn D 
A: 	en bij mij staan die in het Linkerbovenkwadrant 
A: 	en dan eigenlijk helemaal linksonder 
A: 	er zullen geen plaat veel link naast kunnen 
B: 	nee staan die niet bij mij hij staan bij mij rechts 
A: 	en 
A: 	oké 
B: 	in het Linkerbovenkwadrant 
A: 	ja 
B: 	ja 
A: 	ja wel in het Linkerbovenkwadrant maar dan verkeerd plek 
B: 	oké dus dan zijn het niet dezelfde plek 
B: 	dit zijn de neus aan de voorkant met bovenop de balpen of zoiets wat jij zeggen ja 
A: 	ja 
A: 	negen 
B: 	oké en hij staan bij mij ja linkerscherm 
B: 	en dan ongeveer in het midden maar dan net iets erboven zodat die in het Linkerbovenkwadrant vallen 
A: 	oké ja bij mij staan die echt heel duidelijk linksboven zeggen maar even het hoog plaat aan de linkerkant 
B: 	en 
B: 	nee nee nee nee 
A: 	nee 
A: 	dit zijn weer met de neus en de vulp 
B: 	erdoorheen steken toch 
A: 	niet erdoorheen steken nee dit zijn zeggen maar van zo'n zo'n zeggen maar vulpen zitten er dan in zeggen maar 
B: 	ja ja ja ik zien hem al 
B: 	ja ja ja G 
A: 	en hij staan redelijk in het midden 
A: 	maar dan net iets naar onder en net iets naar links 
B: 	redelijk in het midden iets naar onder iets naar links ja dat hebben ik ook 
B: 	en dan je zullen ongeveer zeggen rechts bovenin in het of linkeronderkwadrant 
A: 	in het 
A: 	ja precies 
B: 	ja ja 
B: 	zelfde plek 
B: 	dit zijn de neus met de vulp erin 
A: 	ja precies 
A: 	even kijken 
A: 	ja dat zijn vijf 
B: 	hij staan bij mij het Rechterbovenkwadrant 
B: 	maar dan eigenlijk een beetje links onderin 
A: 	link onderin van het rechterbovenkwadrant 
B: 	ja 
A: 	ja hebben we een ander plek 
B: 	oké 
A: 	dit zijn die met de neus en de vulp in het soort van het bak 
B: 	ja dat zijn J 
A: 	en die staan bij mij in het rechterbovenkwadrant en in het rechterbovenkwadrant staan die best wel heel erg in het midden 
B: 	nee 
