B: 	oké nu hebben ik het vierkant niet 
A: 	ja en nu hebben ik hem inderdaad 
B: 	ja 
B: 	ja 
A: 	ja ik vinden deze een beetje lijken alsof die een soort van neus hebben 
A: 	omdat die hij hebben zo'n ronde ja bobbel zeggen maar aan de voorkant 
A: 	dus dan hebben je er als het goed zijn nog maar twee 
A: 	en deze hebben er een soort van staaf doorheen 
B: 	een staaf erdoorheen 
A: 	ja door die bobbel zijn dat heen 
B: 	en lijken het op een ei 
A: 	die bobbel 
B: 	de bobbel 
B: 	ja 
A: 	ja ja 
B: 	dus de bobbel zijn een ei 
A: 	ja 
B: 	zitten die aan de rechterkant 
A: 	ja 
A: 	en daar zitten dan zo'n staaf doorheen met nog een een soort van punaise zitten erdoorheen 
B: 	even kijken maar er zitten een ei rechts vooraan 
A: 	en hij hebben 
A: 	ja 
B: 	en er er zitten een staaf door het ei heen ja oké nee dan weten ik welk het zijn 
A: 	ja door het ei inderdaad niet door 
A: 	ja 
B: 	en dan zitten er nog zo het lijken een beetje op een 
A: 	soort van kuifje zitten er nog bovenop 
B: 	het lijken een beetje op een blaad 
A: 	ja 
B: 	ja 
B: 	het lijken een beetje op een zo hoe ze een appel vaak afbeelden met zo'n zo'n zo'n steel of zo'n blaad zo 
A: 	ja inderdaad ja 
A: 	ja 
B: 	en dan een doorboren ei 
A: 	ja 
B: 	ja oké 
B: 	dan zijn het F 
A: 	en bij mij zitten die rechts in het scherm 
B: 	even kijken 
B: 	ja bij mij ook 
A: 	alleen dan wel in het midden 
B: 	ja 
B: 	helemaal rechts in het midden 
A: 	maar niet helemaal naar de zijkant bij mij 
B: 	ja nee het zijn niet het komt niet tegen de rand van het scherm aan nee kloppen 
A: 	het zijn niet 
A: 	nee want er zitten daar zitten nog zeggen maar één rij aan plaat voor 
A: 	tenminste er zitten nog één plaat naast bij mij 
A: 	tussen de rand van het scherm en dit plaat 
B: 	dan weten ik niet of het dezelfde plek zijn 
A: 	zitten er bij jou iets tussen 
A: 	bij mij hebben je zeggen maar vier in de in de rechtsbovenhoek 
B: 	nee 
A: 	hebben je zeggen maar vier plaat die in een soort van vierkant zitten 
B: 	ja 
A: 	en van dat vierkant zijn het bij mij linksonder 
B: 	nee dan zijn het niet dezelfde plek 
A: 	oké 
B: 	dus dan zijn het rood 
A: 	ja 
B: 	ja 
B: 	even kijken dit zijn die met dat doorbooren ei aan de rechterkant voor 
A: 	ja dat zijn vijf 
B: 	en even denken hij zitten aan de linkerkant redelijk bovenaan 
A: 	zeggen maar als je weer dat vierkant hebben in het midden dan boven die van Linksboven 
B: 	nee daar zitten er nog één iets veel boven het zijn iets veel naar links 
B: 	volgens mij zijn het niet dezelfde plek 
A: 	nee ik denken het ook niet dit zijn dit zijn bij jou nu diegene van als je een lijn trekken van Linksboven naar rechtsonder dat je dan 
B: 	nee 
B: 	ja ja 
A: 	ja oké dan zitten we niet op dezelfde plek 
A: 	dit zijn die doorbooren ei 
A: 	met dat appelblaad 
B: 	hebben jij net het nummer zeggen 
A: 	ja 
B: 	oké ja 
A: 	ja ik beginnen even te 
B: 	dus dat zijn doorbooren ei oké dat zijn A 
B: 	ja 
A: 	en bij mij zijn dat helemaal rechtsonder 
B: 	nee op ander plek 
B: 	dit zijn het doorbooren ei 
A: 	dat zijn vijf 
B: 	het zitten bij mij nu horizontaal zien rechts dus rechts van het midden 
B: 	en dan verticaal zien redelijk in het midden maar licht naar boven 
A: 	zijn die zeggen maar als je alles helemaal rechts hebben 
A: 	daar de middel van 
B: 	ja 
A: 	oké 
A: 	dit zijn weer die doorboren ei 
B: 	dat zijn H 
A: 	en bij mij zijn die als je beneden kijken in het midden 
A: 	als je als je gewoon beginnen vanuit het midden en dan naar beneden 
B: 	ja verticaal in het midden en dan naar beneden en dan hebben je 
A: 	ja 
A: 	en dan uitzitten er nog twee aan de Rechtsonderkant nee 
B: 	ja 
B: 	ja ja dezelfde plek 
A: 	ja 
B: 	dit zijn het doorbooren ei 
A: 	ja dat zijn vijftien 
B: 	en bij mij zitten die je hebben in de rechterbovenhoek als je er daar drie hebben zijn het die veel links 
A: 	nee bij mij zitten die veel naar het midden toe 
B: 	oké 
