A: 	ja ik hebben hem benoemen als puntmuts hij hebben zo'n gek vierkant 
B: 	ja ja ja 
A: 	ja 
B: 	en dan hebben die 
A: 	maar dan een heel groot en gek neus 
B: 	ja en een fliebel aan de achterkant 
A: 	ja rond wielt soort van aan aan de onderkant 
B: 	yes 
B: 	J 
A: 	bij mij staan die eigenlijk helemaal helemaal onderaan 
B: 	ja 
A: 	en dan aan de rechterkant een beetje in het midden van het scherm 
B: 	ja 
B: 	top 
B: 	dit zijn met de driehoekpunt bovenop het kop met die heel groot neus 
B: 	met het rond wieletje link onderin 
A: 	ja de puntmuts achtig 
B: 	puntmuts 
B: 	de puntmuts 
A: 	oké zes 
B: 	bij mij staan die aan de rechterkant van het scherm 
B: 	maar niet helemaal aan de rechterkant wel een stuk naar links 
A: 	ja 
B: 	en dan in het midden van het onderste deel 
A: 	ja bij mij ook 
A: 	de puntmuts met de groot neus 
B: 	ja E 
A: 	rechtsonderkwadrant en dan 
B: 	bijna in het midden van dat kwadrant 
A: 	nee hij staan wel echt links tegen de bovenkant aan zeggen maar bij het middencenter 
B: 	nee 
A: 	daar zitten die in de buurt 
B: 	nee 
A: 	oké 
B: 	dit zijn de puntmuts 
A: 	de puntmuts tien 
B: 	ja met de groot neus 
B: 	en dan staan die bij mij helemaal linksonder nou niet helemaal linksonder maar het zijn het enig plaat in die omgeving nog 
A: 	oké ja bij mij staan er één bij mij staan die wel in het linksonderkwadrant ook helemaal onder maar hij zitten wel echt in het midden van het linksonderkwadrant 
B: 	nee nee 
A: 	oké 
B: 	zitten wel veel naar links 
A: 	de puntmuts bij mij helemaal Linksboven 
B: 	ja G 
B: 	en dan staan die ook op dezelfde plek 
B: 	de puntmuts 
A: 	de puntmuts 
B: 	met de groot neus 
A: 	tien 
B: 	rechtsonderkwadrant 
B: 	en als je het midden van dat kwadrant pakken een stuk naar boven 
B: 	misschien ook iets naar rechts 
A: 	ja 
A: 	ja 
