A: 	oké nu hebben ik een rood vierkant 
A: 	ik hebben zo'n ja er een beetje aan de rechterkant ervoor zitten zo'n soort staaf 
A: 	met zo'n bolle in het midden 
A: 	en er opsteken zo'n ja rond uit het lijken een beetje op zo'n zuignap alsof die die vastheeft 
B: 	ook en dan ook met zo'n een staaf 
A: 	lepel of zo lijken het of die er een beetje in zitten in dat komme of ja zo'n soort dinge steken eruit 
B: 	ja 
B: 	oké 
B: 	ja dan zijn het bij mij F 
A: 	hij staan bij mij rechts op het scherm 
B: 	ja 
A: 	en dan bijstaan er ja drie plaat een beetje boven hij staat ongeveer in het midden van het scherm en 
A: 	ja er staan er nog één boven zeggen maar één rechtsboven en één rechts naast 
A: 	hij zitten een beetje op ja echt op de middellijn van het scherm en dan naar de rechterkant ongeveer op drie vier van het scherm denken ik 
B: 	nou bij mij staan die echt helemaal aan de rechterkant en daarnaast 
A: 	staan geen plaat veel daar passen geen plaat tussen 
B: 	nee dus dan 
B: 	nee 
A: 	oké dan zitten die op een ander plek denken ik 
B: 	ja 
B: 	ik hebben nou weer die een ook weer met zo'n een bolle aan de voorkant zeggen maar met zo'n staaf erdoorheen en dan weer een 
B: 	aan de einde van de staaf ook zo'n rond zeggen maar 
B: 	wat jij net een zuignap noemen 
A: 	ja die 
A: 	met dat dinge ook nog eruit steken 
B: 	ja 
A: 	oké dat zijn nummer vijf bij mij 
B: 	bij mij staan die ja nou staan die ongeveer ook weer op 
B: 	één drie denken ik van het scherm dan aan de linkerkant 
B: 	en er zullen nou ook wel nog een plaat boven kunnen zeggen maar dus hij hij staan dan wel en ja 
B: 	qua hoogte dan zeggen maar aan de bovenkant maar er zullen nou dan 
A: 	op één vier ongeveer qua hoogte of iets veel naar boven 
B: 	één drie ongeveer zullen ik zeggen qua hoogte 
A: 	nee dan staan die van mij denken ik iets hoog 
A: 	dat zijn misschien dan inderdaad omgeruild met dat ander plaat net 
B: 	ja 
B: 	dat denken ik 
A: 	want bij mij staan die een met die trompet iets laag en deze iets hoog 
B: 	ja bij mij zijn dan deze dan net iets laag en en dan met die trompet inderdaad hoog 
A: 	oké dan hebben we net wel goed doen dan staan die deze keer niet op dezelfde plek 
B: 	oké 
B: 	nee 
A: 	ik hebben nu die een met die zuignap 
A: 	dat bolle ervoor zeggen maar met die zuignap zo'n arm zo'n dinge eruit 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	bij mij liggen die zeggen maar aan de rechterkant en ongeveer op drie vier van het scherm 
A: 	en liggen die ja de middellijn zullen je naar boven kunnen trekken net iets daaronder zeggen maar op twee drie van het scherm 
B: 	nee bij mij liggen die eigenlijk wel echt bijna op de middellijn dus 
A: 	nee bij mij liggen die wel echt onder 
B: 	nee dan zullen het niet dezelfde plek zijn 
B: 	weer die een zuignap zeggen maar met dat dat rond en dan die staaf erdoorheen en 
A: 	ja 
A: 	nummer vijf zijn dat bij mij 
B: 	oké 
B: 	bij mij liggen die ja qua hoogte dan op het midden en dan net iets Erboven 
B: 	en ja ongeveer op twee drie denken ik van het scherm dan aan de rechterkant zoiets 
A: 	bij mij zullen er wel één plaat naast kunnen maar veel niet 
B: 	aan de rechterkant 
A: 	ja 
B: 	ja bij mij kunnen nog wel twee naast dus 
A: 	oké dan liggen die niet op dezelfde plek 
A: 	ik hebben nu die een met die zuignap staan bij mij helemaal midden onderin 
B: 	ja bij mij zijn dat H 
A: 	ja bij mij staan die dus ja helemaal onderin 
A: 	echt wel op de middellijn precies 
A: 	er staan geen plaat onder zullen heel misschien met prop kunnen maar 
B: 	ja bij mij staan die ook wel helemaal onderin en dan ja precies op de middellijn dat zullen ik niet zeggen ik zullen hem iets naar rechts 
A: 	staan er nog een plaat naast bij jou 
B: 	er opstaan bij mij nog twee plaat ernaast dus sog zeggen maar dat er er vaststaan nog één plaat naast die staan dan iets laag en dan nog een plaat ernaast die staan ook iets laag 
A: 	ja dat hebben ik wel 
A: 	ja ik zullen hem dan ongeveer de middellijn ja heel misschien staan die heel iets naar rechts 
B: 	maar ik denken dat het wel dezelfde plek zijn dan 
A: 	want bij mij staan er wel echt twee rechts plaat zeggen maar zo half schuin onder aflopen 
B: 	ja 
B: 	ja 
A: 	maar wel het midden 
B: 	dan zullen het wel dezelfde plek zijn denken ik 
A: 	ja 
B: 	die een met die zuignap zeggen maar dat rond en dan 
A: 	ja 
A: 	nummer vijftien zijn dat bij mij 
B: 	en bij mij staan die zeggen maar bovenin kunnen er nog wel een plaat erboven zeggen maar 
B: 	en aan de rechterkant zullen er nog krap twee plaat naast kunnen 
A: 	nee bij mij staan die wel op de middellijn qua hoogte 
B: 	nee dat zijn bij mij sowieso al niet 
A: 	oké zijn dat niet dezelfde plek 
