A: 	deze hebben een uitsteeksel aan de onderkant 
A: 	en aan de bovenkant zitten ook een uitsteeksel dat zijn een soort ruit vinden ik het lijken 
B: 	ja ja ja dan weten ik al welk het zijn 
A: 	met twee van die ding erin 
B: 	met twee van die toren aan de zijkant 
A: 	ja ja 
B: 	ja oké dan zijn het M 
A: 	en hij zitten bij mij aan de linkerkant van het scherm 
A: 	wat jij net zeggen er zitten er twee boven elkaar en dan daaronder uitzitten er nog twee naast elkaar 
A: 	daar zijn het bij mij de rechts van 
B: 	oké dan zitten die niet op dezelfde plek 
B: 	en deze hebben die ruit aan de bovenkant met twee van die torent aan de zijkant 
B: 	en een dinge beneden eruit aan de zijkant eruit en aan de voorkant eruit 
A: 	ja 
A: 	dat zijn negen 
B: 	oké bij mij staan die helemaal onderaan link 
B: 	rechts onder die drie 
A: 	ja 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn die met met die ruit aan de bovenkant met twee van die kasteelt aan allebei de kant 
B: 	ja ja ja 
A: 	en zo'n ding onderaan nog 
B: 	dat 
B: 	ja dat zijn H 
A: 	en van die acht zijn dit ja twee rij verticaal de boven 
B: 	ja dat zijn de zeggen maar als je zo 
A: 	de onderste van dat bovenste rij 
B: 	ja ja oké 
A: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	ik hebben diegene met de ruit zeggen maar boven en met twee van die torent die erin gaan 
A: 	ja 
A: 	ja dat zijn elf 
B: 	oké dat zijn bij mij bij hebben je links hebben je zo'n klein driehoek 
B: 	en daar zijn het linksboven van 
A: 	ja dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn met die ruit erin met die twee torent aan de zijkant 
A: 	en dat uitsteeksel onder nog 
B: 	ja zoeken ja dat zijn bij mij d 
A: 	die staan bij mij ja niet helemaal linksonder maar net beetje daarboven rechts 
B: 	oké 
B: 	dan staan die niet op dezelfde plek 
A: 	oké 
B: 	ik hebben diegene met die ruit en die twee torent erin 
B: 	die Erboven zitten en twee uitsteeksel 
A: 	ja 
A: 	dat zijn veertien 
B: 	oké 
B: 	aan de linkerkant zijn er twee best wel ver onder elkaar 
B: 	daarvan zijn het de middel 
A: 	wachten 
B: 	aan de linkerkant van het scherm hebben je boven in het midden en onder één 
A: 	ja 
B: 	en nog één zo een beetje zo rechts 
A: 	ja 
B: 	en het zijn de middel 
A: 	oké nee dan staan die niet op dezelfde plek 
B: 	oké 
