A: 	ok deze zijn met die piramide op zijn hoofd maar wel met de scherp punt en allemaal van die random blok en een soort 
A: 	potloodpunt aan de linkerkant zonder de rest van het potlood ja 
B: 	ok 
B: 	dat zijn J voor mij 
A: 	ok 
A: 	en die zitten in van de groot vlak rechtsonder 
A: 	en dan eigenlijk in de onderste helft in het midden 
B: 	ja bij mij ook 
A: 	ok dus dan zullen het op dezelfde plek zijn 
B: 	ok dit zijn met die puntig piramide op zijn kop 
A: 	ja 
A: 	met echt met die spits niet die afgevlakt 
B: 	die spits ja 
A: 	en dan allemaal random ding er ja 
B: 	allemaal random ding 
A: 	ja precies dat zijn nummer zes bij mij 
B: 	en hij staan in het rechter Ondervak en rechts van hem kunnen nog wel een plaat komen 
A: 	ja 
B: 	en onder hem ook één plaat 
A: 	ja 
A: 	en naar de hoek in principe ook nog een plaat 
B: 	ja bij mij staan daar een plaat 
A: 	ja bij mij ook met die met die drie dinge die er uit komen en dat plateau er onder 
B: 	nee bij mij zijn het iets ander 
A: 	of dat niet 
A: 	maar goed nou ik denken dat hij wel op dezelfde zelfde plek staan zullen in principe dan met dat 
B: 	ja 
A: 	er bekendstaan nu nog een plaat maar er zullen er nog zeggen maar in zo'n driehoek drie plaat nog twee plaat bij kunnen 
B: 	ja 
A: 	ja 
A: 	dit zijn die met die scherp driehoek bovenop en die dat potloodpun aan de zijkant 
B: 	ja dat zijn E 
A: 	en hij liggen rechts onder en dan links boven 
A: 	zullen er zeggen maar nog één onder tussen kunnen 
B: 	en rechts van hem 
A: 	drie ? twee en een half á drie 
B: 	want wel ik denken dat mijn iets rechts iets naar rechts liggen want er passen wel één onder maar er toepassen er echt denken ik twee rechts van 
A: 	o nee er passen wel veel dan twee twee en een half moeten sowieso wel kunnen bij mij 
B: 	ok dan doen we rood 
A: 	ja 
B: 	dit zijn met die puntig driehoek en een potloodpunt 
A: 	ja dat zijn nummer tien 
B: 	en hij liggen linksonder en dan weer linksonder maar er past er nog wel één link van 
A: 	ah nee die van mij er toepassen er wel twee link van dus die liggen veel rechtsonder 
B: 	ok 
A: 	dit zijn met die scherp driehoek bovenop met de potloodpunt 
B: 	ja dat zijn voor mij G 
A: 	en hij liggen Linksboven en dan weer Linksboven 
B: 	ja 
A: 	en dan in het midden van het klein linksboven vlak zo'n beetje 
B: 	en er past niet echt iets naast 
A: 	nee 
B: 	ok 
B: 	dit zijn met die puntig driehoek en een potloodpunt 
A: 	ja dat zijn nummer tien 
B: 	en hij liggen rechtsonder en dan aan de bovenkant in het midden 
A: 	rechts 
A: 	horizontaal midden 
A: 	verticaal midden 
A: 	dus ja 
B: 	die in het midden 
A: 	rechtsonder ja 
A: 	zelfde 
