B: 	ja deze hebben eigenlijk een soort plateau op zich heen en het zijn niet onderop het zijn net iets veel richting het midden 
B: 	en er eindigen een soort glijbaan ook op dat plateau of zo twee van die staaf bovenop 
A: 	ja 
A: 	dan 
A: 	ja en dan één er nog aan de zijkant staaf ja ja nummer zes 
B: 	ja 
B: 	ok weten je nog dat we het net over rechts bovenin zo'n vierkant hebben hebben 
A: 	ja 
B: 	deze staan daar eigenlijk net links boven staan redelijk rechts van het midden maar best wel hoog 
A: 	zelfde plek 
A: 	ja 
A: 	ja zelfde plek 
A: 	ja dat zijn lijk dat zijn een plateau wat net niet onderin maar iets er boven doorheen booren en eigenlijk met zo'n glijbaan toet er ook voor en dan twee omhoog ja 
B: 	ja 
B: 	ja dat zijn dan C 
A: 	die staan bij mij rechts helemaal bovenaan de één blok die je dan zien van hier 
B: 	ja zelfde plek 
B: 	dit zijn weer dat plateau waar die die glijbaan of zo lijken het wel een beetje op uitkomen twee van die staal bovenop en dan nog zo'n ding met een hoek hoek erin 
A: 	ja ok 
A: 	ja 
A: 	ok dat zijn dan nummer dertien 
B: 	ja bij mij staan hij helemaal links bovenin 
A: 	nee bij mij niet 
A: 	ja dit zijn eigenlijk met die glijbaan met die plateau 
B: 	ja ik zijn hem even aan het zoeken ja 
A: 	en met dat bovenop ja 
B: 	helemaal goed ja dat zijn dan J 
A: 	en als we het over dezelfde rij van onderaan ophebben dan zijn het de veel rechts 
B: 	ja dat zijn ook dezelfde plek 
B: 	nee bijna verkeerd knop 
B: 	ja dit zijn weer dat plateau met die soort glijbaan die twee staaf bovenop en ja 
A: 	ja 
A: 	ja ja dat zijn dan nummer negen 
B: 	en hij staan bij mij als je dat vierkant rechts maakt rechts bovenin 
A: 	ja 
A: 	nee bij mij zitten hij rechts onderin 
A: 	ja dit zijn die met die glijbaan 
B: 	ja dat zijn N van Nico 
A: 	als je helemaal bovenin gaan zeggen maar die die vier die één twee drie vier en dan de drie dus eigenlijk 
B: 	ja 
B: 	ja zelfde plek 
