B: 	dit plaat hebben drie bollet aan allebei de kant 
B: 	en een schijf aan de voorkant en een vierkant aan de onderkant 
A: 	ja 
A: 	dat zeggen maar die drie soort van ruit zeggen maar aan elkaar plakken 
B: 	ja 
A: 	ja 
A: 	oké dat zijn nummer vijf bij mij 
A: 	en hij staan bij mij 
A: 	er staan één plaatje boven en twee staan er zo onder zeggen maar en hij staan helemaal aan de linkerkant 
B: 	bij mij staan er twee plaat boven 
A: 	oké 
B: 	hij staan wel hij staan links 
B: 	zeggen maar van de linkerhelft van het scherm in het midden ongeveer 
B: 	en dan bijstaan er inderdaad wel zo twee plaat onder 
A: 	oké moeilijk 
B: 	hij staan denken ik op een kwart zo van links naar rechts 
B: 	en dan van boven naar beneden net onder het midden 
A: 	nee dan denken ik niet dat we hetzelfde hebben want bij mij staan die van boven naar beneden net boven het midden 
B: 	oké dan zijn het niet dezelfde 
A: 	nee 
A: 	oké ik doen rood 
B: 	ja 
B: 	oké 
A: 	dit zijn die een met die twee identiek vormpjes aan de zijkant zeggen maar 
A: 	met een groot 
A: 	blauw rechthoek of vierkant eronder en daar link dan nog weer zo'n boog uit en op de voorkant zitten ook een cirkel plakken met ook een boog eruit 
B: 	ja 
B: 	met die zes dinget 
A: 	ja 
B: 	oké 
A: 	drie aan beide kant ja 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	en hij staan 
A: 	helemaal rechtsonder in de hoek 
B: 	nou bij mij passen er nog wel twee naast aan de rechterkant 
A: 	nee dat 
B: 	oké dan doen ik rood 
B: 	dit zijn met die drie dinget link en rechts en een schijf aan de voorkant en het plat aan de onderkant 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	en die staan best wel in het midden van boven naar beneden maar dan heel ietsiepietsie naar boven denken ik 
B: 	bij mij naar beneden 
A: 	oké 
B: 	dus 
A: 	ja dan hebben we denken ik niet hetzelfde 
A: 	deze hebben die drie dinget link en die drie dinget rechts en die geplakte schijf aan de voorkant met dat tuu en link dat 
B: 	ja 
A: 	tuu en aan de onderkant dat vierkant 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	en hij staan aan de rechterkant 
A: 	maar wel best wel tegen het midden aan 
B: 	nee hij staan wel in het midden van de rechterkant 
A: 	nee dat zijn dan hebben we denken er staan zeggen maar ja nee ik denken het gewoon niet doen maar rood 
B: 	met die drie dinget link en rechts 
A: 	oké 
B: 	en die schijf aan de voorkant 
A: 	dat zijn nummer negen 
A: 	en die staan best wel in het midden heel iets naar links 
A: 	en qua boven en beneden staan die heel iets naar boven 
B: 	mijn staan wel duidelijk boven 
B: 	er staan niks veel boven 
A: 	nee dat zijn niet hetzelfde 
A: 	nee 
A: 	dit zijn met die zes dinget drie link en drie rechts 
B: 	dat zijn bij mij L 
B: 	en hij staat bijna in het midden een beetje rechtsboven ervan 
A: 	nee dat zijn denken ik niet hetzelfde bij mij staan er nog één op dezelfde hoogte hoogte link 
B: 	nee 
A: 	nee 
