A: 	oké dus je hebben dat komme 
A: 	bovenop liggen dus weer dat rond bolle 
A: 	en 
A: 	net als wat dat neus wat je daarnet hebben 
B: 	dat neus 
A: 	zeggen maar zo'n bolle 
A: 	die liggen erbovenop en dan daarvoor staan een een een balk 
A: 	en aan de zijkant van het komme zitten zeggen maar twee armp die beetje rondlopen 
B: 	ja 
B: 	ja 
B: 	ja oké 
B: 	d 
A: 	oké dus als je weer het midden van het scherm hebben 
A: 	net links ervan helemaal onderaan 
B: 	ja 
A: 	staan ver ook niks veel onder 
B: 	ja 
A: 	maar wel iets naast nog een paar 
B: 	ja 
B: 	echt net links daarvan ongeveer 
A: 	ja 
B: 	ja 
B: 	oké staan op dezelfde plek dus dat zijn geel 
B: 	er zijn een bak en het bak hebben twee arm deze hebben jij al voor mij doen net 
B: 	en hij hebben een neusje op zijn hoofd 
B: 	zeggen maar zo'n bolle 
A: 	ja ik zoeken hem even 
B: 	geen probleem 
B: 	en voor hem staan een balk 
A: 	ja 
A: 	yes 
A: 	nummer vijftien 
B: 	hij staan bij mij helemaal rechtsonder in de hoek 
B: 	kunnen niet veel veel veel naar rechts niet veel veel naar onder 
A: 	nee oké bij mij staan die nog echt wel ja wel rechts maar wel links daarvan als in er staan er ook nog één naast 
B: 	nee 
A: 	dit zijn die een waar dat bolle bovenop liggen en dat rechthoekig staaf ervoor staan en dan twee rond dinge aan de zijkant twee armp 
B: 	ja 
B: 	letter L 
A: 	en die een waarvan ik net zeggen zeggen maar dat die in het midden van Linksboven staan 
B: 	ja 
A: 	nu staan die nog ietsje link daarvan 
B: 	ja 
A: 	en dan ook een heel klein beetje naar boven 
B: 	nee 
B: 	link 
A: 	of heel iets naar rechts daarvan sorry 
A: 	en dan heel iets naar boven 
B: 	ja 
B: 	mee eens er staan er bij mij één link van die wel precies weer in het midden zitten 
A: 	ja 
B: 	ja 
B: 	dan denken ik dat we ze hetzelfde hebben 
B: 	hij hebben een balk voor zich en hij hebben een rond bolletje boven hem en hij hebben twee van die ijzerig armp 
A: 	ja 
A: 	nummer zes 
B: 	hij staan een klein beetje rechts van vijfenzeventig procent van het scherm 
B: 	dus het midden zijn vijftig procent vijfenzeventig procent zijn rechts 
B: 	klein beetje rechts van vijfenzeventig procent en en staan eigenlijk qua hoog en laag precies in het midden zullen ik zeggen 
A: 	ja vinden ik ook 
A: 	dat zijn mijn ook zijn dan 
B: 	oké 
A: 	dit zijn die een waar dat bolle op liggen en dan met die rechthoekig staaf ervoor en die twee armp 
B: 	yes 
B: 	letter J 
A: 	en die staan wel in het midden van het midden maar van de rechterhelft 
B: 	ja 
A: 	ongeveer 
B: 	ja hij staan ik zullen zeggen iets boven het midden 
B: 	heel klein beetje 
A: 	ja 
B: 	heel 
A: 	zeggen maar dat die op de lijn staan of iets gewoon naar boven toe 
B: 	ik zullen zeggen dat die dat zeggen maar de balk van de lijn af hangen maar het bak op de lijn staan 
B: 	het bak staan op de lijn 
B: 	net als je een G schrijven in lijntjesschrift dat zeggen maar het bolle van de G wel erop staan maar 
A: 	ja oké ja 
A: 	ik denken dat dat ongeveer wel hetzelfde zijn 
B: 	oké 
B: 	hij hebben een balk voor zich hij hebben twee armp en een balle op zijn hoofd 
A: 	ja 
A: 	nummer drie 
B: 	hij staan rechts van van nee ja rechts van het midden stuk naar rechts 
B: 	zitten maar zo'n stuk tussen de zijkant van het scherm en hem in 
B: 	en qua hoog en laag staat die ongeveer in het midden van het midden heel klein beetje naar onder 
A: 	ja hebben ik ook 
