A: 	top 
A: 	ok hij hebben een beetje een neus 
A: 	dus eigenlijk een ovaal aan de voorkant of een beetje schuin aan de voorkant en daar zitten eigenlijk een ja stok doorheen en die hebben dan weer een rond aan het uiteinde 
A: 	aan de bovenkant van het kop hebben je eigenlijk weer dat lepel er zitten ver ook niks aan de bovenkant je zien ook niks aan de achterkant 
B: 	ja hij hebben zeggen maar dat stok doorheen daar zitten een cirkel aan 
A: 	ja 
B: 	ok dan 
A: 	aan het uiteinde 
B: 	dan zijn het F 
A: 	ok hij zitten aan de rechterkant van het scherm en er kunnen eigenlijk zeggen maar nog één plaat naast hij staan weer ongeveer op midden 
A: 	ja midden bijna helemaal rechts kunnen alleen nog één plaat naast 
B: 	even kijken ik denken dat hij dan wel op dezelfde plek staan 
A: 	ok 
B: 	o ja ja dit zijn met die neus en daar gaan zo'n balk door die neus en zo'n rond eraan 
A: 	o ja dat 
A: 	en één dinge aan de bovenkant dat zijn vijf 
B: 	ja 
B: 	hij zitten zeggen maar aan de rechterkant boven 
A: 	rechts o nee sowieso niet 
B: 	nee nee link 
A: 	o ok 
B: 	Linksboven ja er passen aan de linkerkant nog wel anderhalf à twee plaat en daarboven 
A: 	ja hier zitten wel echt dit tussen 
A: 	past voor jou ook echt nog wel veel 
B: 	ja er toepassen denken ik twee plaat naast of zo ? ja ja en aan de bovenkant passen er één 
A: 	nou dit zitten er bij mij nog aan de bovenkant 
A: 	ja dan zullen het toch wel dezelfde moeten zijn zijn wel dezelfde plek 
B: 	ja 
A: 	ja dit zijn ook weer met die neus alleen zitten er dan zo'n stok doorheen met een rond aan het uiteinde 
B: 	ja dat zijn A 
A: 	hij zitten aan de rechterkant van het scherm wel ruim onder het midden kunnen nog 
B: 	ruim onder het midden nee 
A: 	jawel ja 
B: 	ja dit zijn die met die neus en dan die balk er doorheen 
A: 	ja dat zijn vijf 
B: 	hij zitten aan de rechterkant van het midden en erboven past nog ongeveer anderhalf plaat 
B: 	hij zitten zeggen maar net iets rechts dus aan de rechter balk 
A: 	o dus er toepassen nog best wel veel plaat rechts naast 
B: 	twee denken ik 
A: 	nee 
A: 	ja dit zijn die weer die neus met de stang er doorheen 
B: 	ja dat zijn H 
A: 	zitten aan de onderkant van het scherm wel midden kunnen denken ik geen plaat veel onder 
B: 	ok wel eigenlijk bijna in het midden 
A: 	ja 
B: 	of ja dat zijn wel dezelfde plek 
B: 	dit zijn met dat de neus en dan stok er doorheen 
A: 	zijn vijftien 
B: 	aan de rechterkant boven het midden Erboven past denken ik nog wel een plaat en rechts ervan ok 
A: 	nee 
