A: 	ja oké 
B: 	oké ik hebben die met dat draaien stuk eronder dat eruit steken 
A: 	ja 
B: 	en dan eindigen het op zo'n driehoekig kaas 
A: 	op zo'n driehoek ja dat zijn nummer vier 
B: 	oké 
B: 	en bij mij staan die helemaal rechts bovenin 
A: 	helemaal niks veel ver anders 
B: 	nee ja helemaal bovenin helemaal rechts 
A: 	ja 
A: 	oké dan staan die op een ander plek bij mij zijn er nog iets ander rechts van 
B: 	staan nog wel ding eronder 
B: 	oké 
A: 	oké 
A: 	ja dit zijn weer inderdaad dat draaien ding zo naar beneden met dat driehoek eronder 
B: 	ja ja dat zijn A bij mij 
A: 	en bij mij staan die ja de de helft van de helft links 
A: 	en dan ja ongeveer op het midden wel 
B: 	oké bij mij en zitten er nog iets link daarvan 
A: 	nee 
A: 	ja er zitten een beetje schuin Linksboven en net iets link beneden 
B: 	oké nee dan zijn het ander plek 
B: 	bij mij zijn die helemaal links dus 
A: 	helemaal links oké nee 
B: 	yes 
B: 	Alright 
B: 	awesome 
B: 	weer dat draaien ding eronder dat eindigen 
A: 	ja 
A: 	nummer tien 
A: 	nou die worden makkelijk 
B: 	ja 
B: 	hij zijn helemaal onderin 
A: 	ja 
B: 	ongeveer de helft van de helft links bij mij 
A: 	ja bij mij ook 
A: 	ja zelfde plek 
B: 	top 
A: 	dit zijn weer met die gedraaide naar beneden met het driehoek 
B: 	oké ja de L bij mij 
A: 	helemaal rechts bovenin maar op zich qua plaats zijn die ongeveer half half 
B: 	ja 
A: 	en daar iets rechts van de helft 
B: 	rechts van de helft 
B: 	ja zelfde plek 
A: 	ja 
A: 	top 
B: 	nice 
A: 	met handgebar zijn het toch makkelijk dan wanneer je alleen maar praten ja ongeveer 
B: 	ja echt van ongeveer daar 
B: 	terwijl het gewoon het spiegelbeeld zijn snapen ik het wel gelijk ja het zijn dan ja precies daar 
A: 	snapan je het nog 
A: 	makkelijk 
B: 	oké 
B: 	oké weer dat met het draaien eronder 
A: 	ja nummer vier 
B: 	hij staan net iets link van het midden 
A: 	ja 
B: 	en net iets onder de helft 
A: 	ja bij mij ook dus ik denken dat het dezelfde plek zijn 
B: 	oké 
B: 	top 
B: 	oké top 
A: 	weer met dat draai en 
B: 	ja F 
A: 	die worden makkelijk 
B: 	nice 
A: 	net ietsje rechts uit het midden en net ietsje boven de helft 
B: 	oké rechts uit het midden 
A: 	rechts uit het midden 
B: 	oké nee dan staan die ander plek 
A: 	oké 
