B: 	oké deze hebben drie bollet uitsteeksel aan allebei de kant 
A: 	ja 
B: 	en er zitten een vlak onder 
A: 	ja en zo'n plat rond ding aan de voorkant 
B: 	ja 
A: 	ja oké dan zijn het vijf 
B: 	oké hij staan bij mij aan de linkerkant van het scherm 
B: 	daar staan er zeggen maar één boven dan nog één en dan bijstaan er daarna twee 
B: 	en bij mij zijn het daar de rechter van 
A: 	wachten één boven nog één 
B: 	ja zeggen maar de veel linkerrij 
B: 	daar hebben je één boven dan nog één daar daarna zijn er twee 
A: 	ja 
A: 	ja 
B: 	en daarvan zijn het bij mij de rechter 
A: 	van die twee onderste 
B: 	ja 
A: 	oké dan zitten die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn die met die drie bollet aan allebei de kant die op zo'n ding staan 
B: 	ja 
B: 	oké 
B: 	dat zijn J 
A: 	en die staan bij mij helemaal rechtsonder 
B: 	nee dan staan die niet op dezelfde plek 
B: 	oké ik hebben die die met die drie bolal aan de zijkant aan allebei de kant 
A: 	ja 
A: 	en dat plat ding aan de voorkant 
B: 	ja 
A: 	ja oké dat zijn elf 
B: 	bij mij zijn dat de onderste van die acht 
A: 	de alleronder 
B: 	ja zeggen maar in niveau 
B: 	dus hij het zijn zeggen maar de twee rij van links de onder 
A: 	ja oké 
A: 	dan zijn die niet op dezelfde plek 
B: 	oké 
B: 	oké 
A: 	ik hebben die met die drie bollet aan allebei de zijkant en die ding eronder 
B: 	ja 
B: 	dat zijn P 
A: 	en die staan bij mij in die driehoek helemaal Linksboven 
B: 	oké dan staan die niet op dezelfde plek 
B: 	dat zijn staan ze op dezelfde plek 
B: 	oké ik hebben die met die drie gelijk kraal aan de buitenkant 
A: 	ja 
A: 	en dat ding waar die op staat 
B: 	ja 
A: 	ja dat zijn negen 
B: 	oké het zijn de bovenste in het midden 
B: 	er zitten er alleen nog maar op die hoogte zitten er één helemaal links 
A: 	nee dan zijn die niet op dezelfde plek 
A: 	dit zijn die met die drie bollet aan allebei de kant 
A: 	en dat plat ding voor 
B: 	ja 
B: 	oké 
B: 	dat zijn L 
A: 	die staan ja best wel bovenaan niet de allerboven staan er nog één link naast 
B: 	nee bij mij zijn het als je van linksonder doortreken naar rechts dan zijn het de vier 
A: 	nee 
B: 	oké dan zijn het niet dezelfde plek 
A: 	nee 
