B: 	oké 
A: 	deze hebben een balk aan de voorkant en een bol erbovenop 
B: 	even kijken 
A: 	en die balk steken uit aan de onderkant 
B: 	ja 
A: 	en aan de linkerkant zitten ook nog een uitsteeksel aan de rechterkant ook nog een klein maar die staan er niet helemaal op denken ik 
B: 	ja met een hoek erin dat uitsteeksel 
A: 	ja 
B: 	ja en die balk zijn eigenlijk gewoon los 
A: 	ja het lijken alsof die daarvoor staan zeggen maar 
B: 	ja oké 
A: 	ja 
B: 	dan zijn het D 
A: 	hij zitten bij mij ja net in het midden of net links 
A: 	beetje daar ergens 
B: 	ja 
A: 	helemaal onderaan 
B: 	ja 
B: 	en dan zitten er één rechts boven en één link naast 
A: 	ja 
B: 	oké 
A: 	ja 
B: 	dan zitten die op dezelfde plek 
B: 	oké 
B: 	deze hebben een balk aan de voorkant 
B: 	deze hebben we al hebben de balk aan de voorkant en zo'n bol erbovenop en twee van die arm aan de zijkant 
A: 	bol bovenop 
A: 	ja 
A: 	ja oké dan zijn het vijftien 
B: 	oké bij mij staan deze helemaal rechts onderin 
A: 	oké bij mij staan er nog iets ander naast dus dan zitten die niet op dezelfde plek 
A: 	dit zijn die met die balk aan de voorkant die een beetje los lijken te staan 
B: 	ja en een bal daarbovenop ja 
A: 	en die bol bovenop 
A: 	ja 
B: 	oké dat zijn L 
A: 	en die zijn van die achten in het drie rij verticaal de boven 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn degeen waar de balk voor staat met twee uitsteeksel en een bol bovenop 
A: 	ja 
A: 	oké dat zijn zes 
B: 	oké bij mij staan die in de driehoek rechts rechts in het midden 
A: 	nee staan die niet op dezelfde plek 
A: 	dit zijn die met die bol bovenop en die balk aan de voorkant die een beetje los lijken 
B: 	die een beetje losstaan ja 
B: 	dat zijn J 
A: 	ja als je aan de rechterkant van het scherm kijken dan zien je een soort vierkant 
B: 	ja 
A: 	en daar zijn die linksboven van 
B: 	ja 
B: 	ja ze zijn hij hij staan een beetje scheef 
A: 	ja 
B: 	ja oké dan maar dat zijn op dezelfde plek 
A: 	ja 
A: 	oké 
B: 	ik hebben diegene waar de balk voor staat en die bol daarbovenop en die twee uitsteeksel 
A: 	ja 
A: 	dat zijn drie 
B: 	hij staan theoretisch zien het verst naar rechts 
B: 	wel een beetje in het midden 
A: 	ja oké dan staan die op dezelfde plek 
B: 	ja 
