B: 	ik hebben nou dat plaat met ja zeggen maar kop dat eigenlijk ook op een tafel staan en waarbij dan die van die ribbelt aan allebei de 
A: 	ja van zo'n soort spiraalding aan de zijkant en zo'n en zo'n 
B: 	ja met drie met drie drie dinget zeggen maar 
A: 	ja 
B: 	drie diamant zeggen maar op elkaar een soort van 
A: 	zo'n rond ervoor toch 
B: 	ja een rond ervoor ja 
A: 	zo'n ding 
A: 	ja 
A: 	oké dat zijn bij mij nummer vijf 
B: 	en bij mij staan die ja hoe leg je dat nou uit 
B: 	hij zitten ongeveer op het midden van het scherm zeggen maar qua hoogte 
B: 	en hij staan dan zeggen maar aan de linkerkant 
B: 	maar er vaststaan nog wel een plaat er zeggen maar ongeveer er kunnen nog wel een plaat naast aan de linkerkant dus 
A: 	ja bij mij staan er een plaat half schuin onder aan de linkerkant zeggen maar 
B: 	ja 
B: 	inderdaad nog 
A: 	en dan staan er één nog boven en één half schuin onder 
A: 	en dan liggen die bij mij ongeveer op het midden op de middellijn net heel net iets boven de middellijn 
B: 	en bij mij liggen die net net onder de middellijn 
A: 	of ja 
A: 	bij jou liggen die 
B: 	zijn bij mij je hebben een twee plaat Erboven hebben ik er zeggen maar 
A: 	nee dan liggen die bij jou net iets ander 
B: 	oké 
A: 	bij mij zitten er maar één plaat boven en hij zitten dat plateau staan zeggen maar op de middellijn dus hij komen er net iets boven 
B: 	ja oké 
B: 	die ja nee bij mij zitten die net eronder dus dan 
A: 	oké dan staan die niet op dezelfde plek 
B: 	ja 
A: 	ik hebben nu met die spiraalding met die drie dinge aan de zijkant en zo'n bolle ervoor op zo'n plateau 
B: 	oké 
B: 	ja en zo'n plateau ja dat zijn bij mij J 
A: 	bij mij staan die helemaal rechts onderin 
B: 	ja bij mij niet dus 
A: 	oké 
B: 	dan hebben we ik hebben nou weer die een met die ja met die drie uisteekselt zeggen maar aan allebei de kant 
A: 	en een rond ding ervoor op die verhoging 
B: 	ja 
A: 	dat zijn nummer elf bij mij 
B: 	ja 
B: 	en bij mij ja zullen je ook echt kunnen zeggen dat die nou wel inderdaad op de middellijn liggen en dan ongeveer op één drie 
B: 	aan de linkerkant 
A: 	en bij mij liggen die echt net links van het midden ongeveer 
B: 	nee hij liggen niet net net links van het midden hij liggen echt wel 
A: 	ja 
A: 	ja bij mij liggen die zeggen maar als je de middellijn ja zullen je er wel naast kunnen trekken zeggen maar rechts net ernaast 
B: 	ja 
B: 	nee dat zijn bij mij niet bij mij liggen die wel en echt ook en ook qua hoogte liggen die in het midden 
A: 	ja bij mij liggen die ja inderdaad qua hoogte ook op het midden net iets Erboven misschien maar 
A: 	oké dan denken ik dat die niet helemaal op dezelfde plek liggen 
B: 	nee denken ik ook niet 
A: 	bij mij zitten er twee plaat link naast 
A: 	en nog een heel klein beetje ruimte over 
B: 	bij mij staan nog één plaat er link naast dus 
A: 	nee dan denken ik dat het die van mij wat veel naar rechts liggen dus dan liggen die niet op dezelfde plek 
A: 	ik hebben nu die een met die drie dinget ernaast zeggen maar 
B: 	ja 
A: 	spiraal en dat rond ding ervoor en de plaat eronder 
B: 	en 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	mij liggen die net iets rechts van het midden en boven het midden zeggen maar zullen heel krap een plaat boven kunnen maar eigenlijk niet echt ja 
A: 	zullen kunnen 
B: 	ja bij mij voor jou liggen die echt net rechts van het midden want bij mij liggen die wel ongeveer op één twee drie ongeveer dus 
A: 	nee bij mij liggen die wel echt net rechts van het midden 
B: 	nee dan zijn het niet dezelfde 
A: 	net naast de middellijn zeggen maar 
B: 	met die drie diamant zeggen maar aan de zijkant die uitsteken met dat rond aan de voorkant op dat plateau 
A: 	op dat plateau ja nummer negen 
B: 	en bij mij staan die echt ja in het midden zeggen maar helemaal bovenin 
A: 	nee bij mij staan die ongeveer op één drie qua hoogte 
B: 	nee bij mij kunnen er geen plaat veel boven denken ik 
A: 	oké 
A: 	staan die niet op dezelfde plek 
A: 	dit dit zijn die drie dinge die zeggen maar die soort spiraal met dat rond ervoor en dat plateau eronder 
B: 	ja 
B: 	dat zijn bij mij L 
A: 	en die staan bij mij ja er zullen heel krap een plaat boven kunnen hij staan aan de linkerkant ongeveer op één drie van het scherm 
B: 	nee hij staan bij mij al iets aan de rechterkant dus dat zijn dan sowieso niet dezelfde plek 
A: 	oké 
