A: 	deze hebben een driehoek bovenop een beetje naar de achterkant 
A: 	helemaal voorop hebben die ja wat zijn het ? soort trapeziumen maar niet helemaal recht 
A: 	en aan de onderkant zitten een cirkel ja die 
B: 	een rond 
B: 	ja links zo'n soort uitschuiftelescoop 
A: 	ook nog iets ja 
B: 	ja 
B: 	dat zijn de letter J 
A: 	die zitten voor mij in het vak rechtsonder en dan in het midden 
B: 	ja voor mij ook 
B: 	er zitten bij mij ver ook niks veel omheen 
A: 	nee daar zitten niet echt iets in de buurt 
B: 	nee 
B: 	dan hebben we het over dezelfde 
B: 	even kijken deze hebben dat plat of driehoek boven uitsteken en de telescoop aan de zijkant aan de linkerkant 
B: 	de 
A: 	ja check dat zijn zes voor mij 
B: 	die vinden we aan de rechterkant onderste vak 
B: 	en dan ergens halverwege 
A: 	ja 
B: 	en daar staan rechtsonder nog en linksonder nog een figuurt 
A: 	ja 
B: 	oké 
A: 	dat zijn moeten drukken dat zijn dezelfde denken ik 
B: 	oké 
A: 	dit zijn die met de driehoek een beetje boven aan de achterkant en de telescoop links 
B: 	ja dat zijn E voor mij 
A: 	die staan voor mij in de rechteronderhelft 
A: 	en daar dan ja daar staan er maar twee dan de links 
A: 	die een beetje nee bij jou niet 
B: 	veel rechts onderin 
A: 	nee het veel linksboven in de Rechteronderkant dat wel maar in dat vak Linksboven 
B: 	oké nee dan hebben we het niet over dezelfde want hij staan bij mij wel een beetje eenzaam ook 
A: 	ja al die rechter staan een beetje 
B: 	dit zijn die met het het plat driehoek bovenop en de telescoop aan de linkerkant 
A: 	yes dat zijn tien voor mij 
B: 	en die staan voor mij helemaal linksonder in de hoek 
A: 	nee nee daar hebben ik nog wel wat naast 
B: 	oké 
A: 	dit zijn die met de driehoek bovenop en de telescoop links 
B: 	ik weten welk je bedoelen 
B: 	ja 
B: 	dat zijn G 
A: 	hij staan voor mij helemaal linksboven in zijn één 
B: 	ja heel eenzaam 
A: 	beetje zielig 
B: 	het plat driehoek met de telescoop 
A: 	die zijn ja dat zijn nummer tien voor mij 
B: 	rechtsonder en dan echt midden in het vak 
B: 	ja iets veel naar boven naar de horizontaal lijn 
A: 	ja 
A: 	ja 
A: 	daar hebben ik hem ook 
