A: 	deze hebben twee armp aan de zijkant en dan hebben die aan de achterkant een vlak dat schuin omhooggaan 
A: 	en daar komen weer een soort ja watervalle uit 
B: 	ja ik ik hebben hem dat zijn voor mij K 
A: 	hij staan voor mij linksboven 
B: 	ja 
A: 	redelijk naar die hoek toe er zitten 
B: 	voor mij ook 
A: 	ja 
B: 	als je dan ja dit worden misschien wel heel technisch als je gaan kijken hoe ver uit de rand want ik hebben best wel veel ruimte ertussen nog 
A: 	ja ik hebben wel veel ruimte maar het zijn wel de veel aan de rechterkant hebben ik veel hoog maar 
A: 	voor links zijn die link in de hoek maar wel met ruimte dus ik denken dat het goed zijn 
B: 	oké ja nee dan dan zitten we gelijk ja 
B: 	ja 
A: 	ja 
B: 	er zitten best wel ruimte genoeg tussen om er nog één 
A: 	ja dat hebben kunnen 
B: 	ja 
B: 	even kijken deze zijn 
B: 	even kijken die hebben weer links en rechts een een staaf die uitsteken met een rond bolletje daar aan het einde aan de achterkant dat vierkant plaat met het watervalle 
A: 	ja ik moeten hem even zoeken maar ik weten welk je bedoelen ja 
A: 	dat zijn negen voor mij 
B: 	die staan bij mij rechts en dan het bovenste vak 
A: 	die van mij staan helemaal in het midden van dat vak 
B: 	die bij mij staan wel iets veel naar rechts in dat vak 
A: 	iets maar wel in het midden 
B: 	ja 
A: 	van er zitten er één boven en één onder en die zitten een beetje 
B: 	ja die daarboven die zitten ietsjes naar links 
A: 	ja 
B: 	iets ver naar links 
B: 	en die daaronder zitten weer ja zitten ook inderdaad ja beetje 
A: 	zitten er een beetje tussen maar het zijn die die tussen die twee zitten wel 
B: 	ja ja 
A: 	dan denken ik wel dat we dezelfde hebben 
B: 	dan denken ik inderdaad dat we dezelfde hebben ja 
A: 	dit zijn die met de twee armp aan de zijkant en dan achteraan dat ding dat omhooggaan 
A: 	met de waterval 
B: 	ja 
B: 	dat zijn F voor mij 
A: 	die staan voor mij links en dan redelijk in het midden van het heel linkervak 
B: 	nee hij staan bij mij wel links maar tegen de scheidingslijn aan 
B: 	dit zijn die met die twee uitsteeksel naar links en rechts het plaat en de waterval 
A: 	waar zijn die 
A: 	ja dat zijn drie voor mij 
B: 	en die vinden we vinden we bij mij linksonder en dan onder in het vak ongeveer halverwege 
A: 	nee die van mij zitten veel veel echt linksonder in de hoek 
B: 	oké dan hebben we denken ik niet hetzelfde 
A: 	dit zijn die met de waterval aan de achterkant 
B: 	dat zijn L voor mij 
A: 	poot 
A: 	hij staan bij mij heel dicht tegen het kruis aan ik denken dat het kruis hem zelfs 
B: 	nee totaal niet 
B: 	nee staan bij mij helemaal rechts 
B: 	yes dit zijn weer die met die twee uitsteeksel links en rechts het plaat aan de achterkant en de waterval 
A: 	waar zijn die ? ja dat zijn vijf voor mij 
B: 	sowieso onder het de scheidingslijn van boven naar beneden meegaan er wel doorheen 
B: 	ik 
A: 	dat denken ik wel ja 
B: 	ik vinden hem lastig uit te uitleggen deze maar ja hij 
B: 	het groot deel van het plaat staan linksonder maar de of de horizontaal lijn of sorry verticaal lijn gaan er wel doorheen 
A: 	ja want daarnaast zitten er één en die zitten nog een beetje laag en dan zitten rechts heel lang niks 
B: 	ja kloppen 
A: 	ja 
