A: 	ja ja dit zijn weer wat we net zo hebben over zo'n pluim en dan hebben je er hebben je er twee aan zitten één aan de voorkant en één er boven op 
A: 	en dan hebben je dan aan de zijkant hebben je soort van twee arm waar ook zo'n kubus eigenlijk van smal naar breed gaan aan de rechterzijde 
B: 	ja o die hebben zeggen maar dat zelfde ding dat bovenop uitsteekt opsteken aan de voorkant en dan zo'n ding dat langzaamaan groot worden 
A: 	ja 
A: 	ook aan de voorkant ja ja 
A: 	groot worden ja die ja 
B: 	ja dan zijn het E 
A: 	ok hebben we weer over die vierkant zeggen maar wat we net hebben rechtsboven 
B: 	ja 
A: 	en dan staan hij aan rechter kant rechts beneden zeggen maar die als je die vierkant hebben staan hij aan de rechter onder ja 
B: 	o 
B: 	rechts onder ok nee dan zijn het niet dezelfde plek 
B: 	ja dit zijn weer diegene waarbij de de bovenkant dat zelfde ding uitsteken als aan de voorkant en dan zitten er daar nog 
B: 	twee ding naast met die blok die steeds groot worden en een ding dat een beetje afbuigen 
A: 	ja 
A: 	dat zijn dan Numero elf 
B: 	en die staan bij mij in dat vierkant links bovenin 
A: 	ja dat kloppen 
A: 	ja dit zijn weer die met die twee dezelfde pluim dus één bovenop en één aan de voorkant 
A: 	en dan hebben je aan de zijkant hebben je zo'n blok die langzaam bred worden en aan de onderkant hebben je zo'n raar draai nog erbij 
B: 	ja 
B: 	dat zijn J 
A: 	ok 
A: 	als je rechts op het scherm kijken zien je rechts boven die losse figuur staan dan hebben je daar onderin hebben je eigenlijk een soort driehoek kunnen je vormen 
B: 	ja 
B: 	ja 
A: 	en dan hebben je er ja de punt van de driehoek de bovenste punt dan 
B: 	nee dat zijn dan niet op dezelfde plek 
B: 	dit zijn weer diegene waarbij er aan de voorkant en aan de bovenkant hetzelfde ding uitsteken de blok die die groot worden en nog een soort slurf of zo eraan 
A: 	ja 
A: 	vinden 
A: 	ja dat worden dan dit nummer negen 
B: 	het zijn eigenlijk de degeen die het veel rechts onderin staan 
A: 	nee 
B: 	ja maar dan zijn wow wachten wachten even niet niet van je hebben zeggen maar die rij van drie dat zijn het niet 
A: 	ja jawel die hebben we net hebben 
A: 	ja die de die Olympische Spelen 
B: 	nee nee als je kijken degeen 
A: 	oke o 
A: 	die met die twee dan 
B: 	nee wachten even hoor hoe gaan ik dit uitleggen je hebben eigenlijk hebben je rechts onderin hebben je één die best wel vrij staan toch ? onder die Olympische Spelen nog 
A: 	nee 
A: 	ja 
A: 	ja 
B: 	nou ja die zijn het bij mij 
B: 	dus zeggen maar rechts en dan de veel of als je als je het zeggen maar in twee zullen verdelen dan degeen die het veel rechts onderin staan je hebben wel één die laag beneden staan maar deze staat veel naar rechts 
A: 	nee 
A: 	nee 
A: 	nee bij mij zijn hij echt die als je drie twee dan hebben je die die twee dan van de twee rij dan 
B: 	o jaja ok nee dan zijn het niet dezelfde 
A: 	ja dus dat 
A: 	dit zijn die die met die met dezelfde pluim van boven en aan de voorkant en aan de zijkant hebben je zo'n kubus die langzaam groot worden en aan de ander kant hebben je zo'n worm achtig gebeuren ja 
B: 	ja 
B: 	dat zijn B 
A: 	als je de vierkant hebben dan links onderin van de vierkant 
B: 	als je dat vierkant hebben aan de rechterkant ? ja bij mij zitten hij daar rechts onderin dus dat zijn dan niet dezelfde plek 
A: 	aan de rechterkant ja 
A: 	nee bij mij rechts 
B: 	nu hebben je weer dat uitsteeksel dan bovenin en aan de voorkant eruit komen en dan hebben je nog die kronkel en die die uitgeklapt kubus 
A: 	ja 
A: 	ja daar zijn hij 
A: 	nummer vier 
B: 	hij staan bij mij helemaal links bovenin 
A: 	ja bij mij ook 
