A: 	even kijken het figuur zijn een een soort kop waar het lijken alsof er een lepel uitsteken aan de bovenkant eigenlijk hetzelfde figuurt ongeveer als wat we net hebben 
A: 	en aan de voorkant zitten een bolle en daaruit steken een ja soort staaf 
B: 	een soort neuspiercing 
B: 	prachtig maar dan heel extreem 
A: 	zoiets ja 
B: 	of zo 
B: 	ja ik denken dat ik wel weten welk dat zijn 
A: 	oké 
B: 	dat zijn F 
A: 	hij staan bij mij aan de rechterkant van het scherm 
A: 	zeggen maar als dit het scherm zijn dan staan die hier hij staan in het midden zeggen maar te opzicht van boven en onder staat die echt in het midden 
B: 	ja 
A: 	en aan de rechterkant zijn er nog ruimte voor ongeveer één anderhalf figuur over 
B: 	ja 
B: 	ik denken dat die op dezelfde plek staan 
B: 	nog even om het zeker te weten zitten er een figuur boven 
A: 	ja 
B: 	en onder zitten er helemaal niks 
A: 	onder zijn staan bij mij ook een figuur maar er zijn wel ruimte voor twee figuur aan de onderkant zeggen maar 
B: 	ja 
B: 	ja ik denken dat het dezelfde zijn 
B: 	dezelfde plek 
B: 	oké dit zijn de neuspiercing 
B: 	soort van 
B: 	dus het lepel wat erin opsteken en dan dat ding 
A: 	het dinge erdoor 
B: 	ja 
A: 	ja 
A: 	nummer vijf 
B: 	en hij staan twee plaat vanaf boven 
B: 	dus er toepassen twee plaat tussen dit en de bovenkant en hij staat ongeveer op een kwart vanaf links 
A: 	oké 
A: 	nou dan staan die zeker niet op dezelfde plek 
A: 	dit zijn de het poppe met de neuspiercing 
B: 	ja 
B: 	A 
A: 	en hij staan bij mij laten we zeggen op een kwart vanaf rechts 
A: 	en er past nog anderhalf plaat onder en nog anderhalf tot twee plaat aan de rechterkant naast 
B: 	zullen je zeggen dat die op het midden zitten 
B: 	verticaal 
A: 	nee nee 
B: 	oké dan niet 
B: 	yes 
B: 	neuspiercing 
A: 	nummer vijf 
B: 	hij staan een kwart vanaf het midden naar rechts en hij zitten net iets boven het midden 
A: 	hoeveel past er rechts nog naast tot de rand 
B: 	een stuk of drie vier 
A: 	drie oké dan staan die niet op dezelfde plek 
A: 	dit zijn de neuspiercing 
B: 	even kijken 
B: 	H 
A: 	en hij staan bijna helemaal onderaan er zijn nog ruimte voor één plaat onder en hij staan dan net iets rechts van het midden 
B: 	ja 
B: 	de neuspiercing 
A: 	vijftien 
B: 	een kwart van rechts en er past nog anderhalf plaat boven 
B: 	ongeveer 
A: 	dat zijn niet op dezelfde plek 
