B: 	dit zijn eigenlijk het poppet met de dik neus iets op zijn hoofd een kegel ook nog op zijn hoofd met een 
A: 	een rechthoek op zijn hoofd 
B: 	ja rechthoek en 
A: 	en en komen er zeggen maar gootje uit zijn oor 
B: 	ja één 
A: 	ja 
A: 	ja 
B: 	wat een driehoekig vormp hebben een triangel een kegel 
A: 	ja ja echt zo'n ja ja ja 
A: 	nou dan weten ik hem al 
A: 	dat zijn nummer veertien 
B: 	hij staan bij mij aan als je dan het beeldscherm wel in twee verdeellen staan die bij mij aan de rechterkant 
A: 	ja bij mij ook 
B: 	stellen dat jij de Q van het beeldscherm als als lijn trekken zeggen maar dus niet één niet een evenredig 
B: 	gedeelte maar wel die lijn trekken dan zijn het één goed figuur wat dan rechts staan dat zijn dan deze waar we het over 
A: 	ja 
A: 	ja 
A: 	hij raken hem niet 
B: 	hij raken hem niet het zijn een ander figuur bij mij dat die dat die op de lijn liggen 
A: 	nee 
A: 	ja 
A: 	ja dat zijn ook mij 
B: 	maar die tellen dan niet mee dus het zijn echt het één figuur wat dus niet de lijn raken zijn dan bij mij waar we het over hebben 
A: 	ja en hij en daaronder zijn bij mij nog best wel veel ruimte 
B: 	ja bij mij ook wel 
A: 	zullen nog één figuur kunnen denken ik 
B: 	ja ja 
A: 	en Erboven kunnen er nou hier als ik zo tel zijn er drie figuur boven 
B: 	ja bij mij ook 
A: 	dus hij staan op dezelfde plek 
B: 	ja 
A: 	dit zijn zijn met een soort van gootje wat uit zijn oor komen en een rond neus 
B: 	ik zijn even aan het zoeken hoor 
A: 	rond neus gootje uit het oor een kegel en een blok 
B: 	ja ja de kegel en een 
B: 	ja weten ik dan gaan het om N tweepoot 
A: 	ja bij mij staan die helemaal helemaal links 
A: 	tegen het scherm aan ja tegen het scherm 
B: 	bij mij staan die ook links maar hij staan 
A: 	er kunnen er geen veel tussen 
B: 	bij mij wel 
A: 	oké 
B: 	bij mij staan er dan ook nog allemaal ding omheen 
A: 	oké vaststaan niet op dezelfde plek dus 
B: 	staan niet op dezelfde plek rood 
B: 	dit zijn die met die rond neus 
B: 	zonder piercing gewoon alleen de neus met twee staaf op zijn hoofd en zo 
A: 	met zo'n gootje 
B: 	met zo'n goo erin 
A: 	ja dat zijn Numero negen 
B: 	hij staan bij mij aan de linkerkant 
A: 	ja 
B: 	daarboven zullen er twee anderhalf kunnen 
A: 	nou dan houden het al op 
B: 	bij mij zitten zeggen maar het rood pinne zitten precies op de op het goo 
A: 	nee bij mij zullen er boven helemaal niks veel kunnen bij mij staan die links echt vrijwel in de hoek 
B: 	oké 
A: 	dus niet dezelfde plek 
B: 	niet 
A: 	met die dik neus en dat watergoo 
A: 	uit zijn oor 
A: 	en dat blok 
B: 	ja dan gaan het om G 
A: 	hij staan bij mij als je de B van het beeldscherm naar boven trekken gelijk links eigenlijk 
B: 	ja 
B: 	ja net onder het midden zeggen maar als je de lijn horizontaal 
A: 	en er kunnen 
A: 	ja 
A: 	ja en er zullen er nog één onder één één onder kunnen 
A: 	en aantal boven 
B: 	bij mij kunnen er dan ongeveer drie nog wel boven en ongeveer anderhalf eronder 
A: 	ja anderhalf eronder zullen ik zeggen drie erbof 
B: 	ja 
B: 	helemaal goed staan die op ja dezelfde plek whoehoehoe 
B: 	dit zijn het normaal nee wachten ik zeggen het verkeerd dit zijn zeggen maar die met een rond neus twee dinge op zijn kop en een waterpijp aan de linkerkant 
A: 	dat ja dat zijn dan Numero vijf 
B: 	staan bij mij aan de rechterkant 
A: 	ja bij mij ook 
B: 	als je de lijn naar één ja hij staan net niet stellen dat je de lijn tussen E en N trekken 
B: 	en daar de rechts de helft weer van 
A: 	ja 
B: 	dan staan die aan de linkerkant van die helft 
B: 	dan raken die zeggen maar de drie lijn dus als je het drie lijn in het veld zullen zetten vier vak van zullen maken dan zullen die in het drie vak vallen tegen het drie lijntje aan 
A: 	nog een keer 
A: 	hij hij staan bij mij 
B: 	midden je hebben het midden aan de rechterkant 
A: 	hij kunnen 
A: 	ja en bij mij staan die heel rechts en er kunnen nog een half naast 
B: 	en 
B: 	hij staan heel rechts bij jou 
A: 	ja best wel rechts 
B: 	stellen dat stel dat je het beeldscherm in vier vak zullen delen dan zullen hij dus in het drie of in het vier vak vallen 
A: 	er kunnen bij mij nog een half naast denken ik 
B: 	bij mij kunnen er twee en een half naast 
A: 	oké dan kloppen het dan staan die niet op dezelfde plek 
A: 	ja met die dik neus en het goo 
B: 	ja dat worden dan J 
A: 	hij staan bij mij aan de rechterkant 
A: 	vrij bovenin 
A: 	er zullen er misschien nog een klein boven kunnen 
B: 	bij mij passen er echt wel vol twee nog boven 
A: 	oké nee dan staan die niet op dezelfde plek 
