A: 	deze hebben onder het kop een soort uitstulpsel en dat hebben die aan de rechterkant ook het zijn een soort van twee van die grijpar 
A: 	en dan komen er nog een balk uit een beetje zo'n Pinokkioneusidee 
A: 	en dan erbovenop zitten nog een een kantelen vierkant waar ook twee van die kubus die zeggen maar steeds groot worden 
A: 	die komen eruit 
B: 	ja dat zijn N 
A: 	en bij mij zitten die aan de kant 
A: 	veel veel iets veel naar rechts van het midden denken ik 
A: 	en ook als je hem horizontaal pakken eronder 
B: 	oké dat zijn een ander plaats dan bij mij 
B: 	dit zijn weer diegene met het vierkant kantelen dat dat Erboven uitsteekt 
B: 	en twee van die oplopen kubus uit dat vierkant 
A: 	ja en dan nog drie armding 
B: 	eruit 
B: 	en 
B: 	ja ja 
A: 	ja oké 
A: 	negen 
B: 	en die staan op de linkerschermhelft 
A: 	ja 
B: 	bijna in het midden maar net een slag naar rechts en dan onderin 
A: 	bij mij staan die niet echt bijna in het midden maar wel slag naar rechts 
B: 	ja het zijn wel duidelijk veel naar rechts dan in het midden 
A: 	ja oké dan zijn het wel hetzelfde 
A: 	dit zijn die met met die vierkant aan de bovenkant en dan twee van die groot worden kubus die eruit steken 
A: 	en dan nog drie arm aan de rechterkant die eruit steken aan de onderkant en de zijkant en de voorkant 
B: 	ja met die kubus aan allebei de kant van het 
A: 	ja ja ja ja ja 
B: 	ja 
B: 	dat zijn H 
A: 	en die staan bij mij aan de linkerhelft 
A: 	en dan als je hem dan weer horizontaal verdeellen staan die er vlak boven 
A: 	en verticaal zien staan die weer veel naar rechts 
B: 	ik denken niet dat dat hetzelfde zijn 
B: 	dit zijn die met die ruit of het vierkant erboven uitstekend met de kubusjes die groot worden 
A: 	elf 
B: 	en en nog 
B: 	ja 
B: 	aan de linkerkant 
B: 	daarvan bijna in het midden maar net iets naar links 
B: 	en boven het midden van de horizontaal lijn 
A: 	flink boven 
B: 	ja 
A: 	dit zijn met dat kantelen vierkant aan de bovenkant waar die twee kubus uit komen die steeds groot worden 
A: 	en dan drie arm 
B: 	ja ja dat zijn D 
A: 	en die zitten aan de linkerkant van je scherm 
A: 	en daarvan weer iets naar rechts 
A: 	en wel redelijk onderin 
B: 	aan de rechterkant van je linkerschermhelfen 
A: 	ja 
B: 	nee 
B: 	dit zijn weer met dat vierkant erbovenop met de groot worden kubus aan allebei de kant van dat vierkant 
B: 	en nog de drie armp 
A: 	veertien 
B: 	aan de linkerkant van het van de schermhelft en daarvan ook nog aan de linkerkant 
B: 	en 
A: 	en dan 
B: 	wel echt duidelijk aan de linkerkant van het scherm 
A: 	niet niet dat je twijfelen 
B: 	nee helemaal niet 
