A: 	nu hebben jij weer die vierkant toch 
B: 	ja 
B: 	deze hebben zo twee klein wat hoe heten dat ? niet een kegel maar een 
B: 	shit mijn wiskunde 
B: 	in ieder geval twee spriet bovenop 
B: 	en zo'n plaat erdoorheen onderaan 
A: 	ja ja ik vinden dat een beetje op een tutu lijken maar ik weten ook wel 
B: 	die plaat 
A: 	ja 
B: 	ja oké dat hebben ik er niet in zien 
A: 	ja 
B: 	maar 
A: 	met zo'n slurf hebben die ook nog 
B: 	ja een slurf en iets dat lijken op een pijp 
A: 	en zo'n soort van 
A: 	ja 
A: 	ja oké dat zijn zes 
B: 	bij mij staan die rechts van het midden bovenaan 
A: 	ja 
A: 	hij hebben alleen bij mij hebben die nog zeggen maar alleen rechtsonder één die dichtbij zijn maar aan de ander kant zijn eigenlijk best leeg 
B: 	ja 
B: 	hier zijn ook één die rechtsonder dichtbij zijn en dan voor de rest zo links zitten er een soort leeg ruimte 
A: 	ja 
B: 	links en onder 
A: 	oké dan denken ik wel dat ze op dezelfde plek zitten 
B: 	ja dat zijn hetzelfde 
A: 	dit zijn die met die tutu weer 
A: 	met die plaat er dwars doorheen 
B: 	ja die met met de slurf 
A: 	ja 
B: 	ja dus dat zijn C 
A: 	en dat zijn bij mij echt de veel bovenste 
A: 	zitten een beetje aan de rechterkant van het beelscherm 
B: 	ja dat zijn hetzelfde denken ik 
A: 	ik met mijn vierkant 
B: 	dit zijn weer die met de tutu 
A: 	even kijken hoor waar zijn die 
B: 	met de slurf 
A: 	ja 
A: 	ja 
A: 	dat zijn dertien 
B: 	die zitten bij mij links bovenaan helemaal 
A: 	nee bij mij zijn het zeggen maar van het Linkervierkant zijn het dan linksonder 
B: 	nee dan zijn het een ander 
A: 	dit zijn weer die tutu 
B: 	waar zijn die 
A: 	met die slurf 
B: 	ja dat zijn J 
A: 	en bij mij zijn het gewoon als je in het midden zitten en dan gewoon de onder 
B: 	ja dat zijn dezelfde plek 
B: 	dit zijn die met de slurf en een tutu 
A: 	ja dat zijn negen 
A: 	en bij mij zijn die er dan gewoon de veel rechterkant 
A: 	die het veel naar rechts zitten in het midden 
B: 	nee niet dezelfde plek 
A: 	dit zijn weer die tutu 
B: 	waar zitten die ? N 
A: 	en dit zijn als je gewoon het midden hebben dan de veel bovenste en dan rechts daarvan 
B: 	ja 
