B: 	oké 
B: 	dan hebben ik die met die twee verrekijkert 
A: 	ah ja 
B: 	ja 
A: 	en dan zo'n zo'n vierkant vlak en een antenne op zich 
B: 	en dan zo'n vierkant dinge aan de zijkant 
B: 	ja 
A: 	ja 
A: 	nummer twee 
B: 	die staan bij mij links onderin 
A: 	ja 
B: 	en dan ongeveer als je zeggen maar dat kwartje hebben ongeveer in het midden onderaan 
B: 	dus er kunnen geen blok veel onder 
A: 	ja oké nee dan staan die bij mij hij staan veel bovenaan bij mij dan 
B: 	maar hij kunnen nog wel Erboven 
B: 	ja 
A: 	ja 
A: 	dus dan staan die niet goed 
B: 	dus dan rood 
A: 	rood 
A: 	dit zijn de verrekijker 
A: 	met twee binocular zeggen maar 
B: 	met twee 
B: 	even kijken waar die staan 
B: 	daar 
B: 	G 
A: 	ja 
A: 	en dan staan die weer linksonder 
A: 	hij staan wel echt tegen de middellijn aan 
B: 	ja 
A: 	en de horizontaal lijn ja daar zitten die niet tegenaan maar wel heel dicht in de buurt zeggen maar 
B: 	wel bijna 
A: 	ja er zullen niks veel boven kunnen 
B: 	ja 
B: 	ja echt wel in het hoek zeggen maar maar er kunnen nog een klein stuk boven die antenne bij mij 
A: 	ja ja 
B: 	ja 
B: 	oké geel 
B: 	oké dit zijn met die twee verrekijker en die antenne 
A: 	ja nummer negen 
B: 	en die staan bij mij links onderin 
A: 	ja 
B: 	wel tegen de middellijn aan 
A: 	ja 
B: 	er zitten nog één dinge onder 
A: 	ja 
B: 	en er kunnen nog wel bijna één boven denken ik 
A: 	één boven 
A: 	ja dan staan het goed 
B: 	ja 
A: 	ik hebben de verrekijker met twee 
B: 	met twee dat zijn D 
B: 	en die staan bij mij bijna 
A: 	hij kruisen eigenlijk precies de verticaal lijn 
B: 	ja 
A: 	en eigenlijk bijna ook de horizontaal lijn hij zitten er net iets boven zullen ik zeggen 
B: 	ja 
B: 	ja hij zitten zeggen maar wel in het midden midden maar dan net niet helemaal 
A: 	ja 
A: 	ja 
B: 	oké dus dat zijn denken ik wel hetzelfde 
A: 	ja 
B: 	dit zijn met die dubbel verrekijker 
A: 	ja nummer één 
B: 	en die staan bij mij nou eigenlijk wel tegen het verticaal midden aan en ik denken dat het horizonaal midden hem ook nog wel kruisen 
A: 	nee 
B: 	ja 
A: 	die zijn omgedraaien ja 
B: 	die zijn wisselen met die penseel van mij volgens mij 
A: 	ah ja 
B: 	ja 
A: 	de verrekijker met twee 
B: 	even kijken dat zijn bij mij B 
A: 	staan rechtsonder 
A: 	en ja wel net naast de verticaal de verticaal lijn 
A: 	en er zitten niks veel onder 
A: 	zullen nou nog net een half blok onder kan 
B: 	half of zo 
A: 	ja 
B: 	ja denken wel hetzelfde 
A: 	ja 
