B: 	deze hebben een een spijker op de kop 
B: 	en een vierkant plaat aan de voorkant 
B: 	en twee blok aan de zijkant die steeds groot worden 
A: 	ja 
A: 	van die laseroogjes 
B: 	ja 
A: 	dat zijn twee voor mij 
B: 	en die vinden we in het linkerondervak 
B: 	en dan echt halverwege 
A: 	nee die van mij zitten wel linksonder maar dan helemaal linksboven dus dat zijn een ander plek 
B: 	oké 
A: 	dit zijn die met links de groot worden vierkant en een soort ja wat zitten erin ? Antennetje bovenop 
A: 	groot vlak aan de voorkant 
B: 	ja dat zijn voor mij G 
A: 	ja 
A: 	die zitten voor mij in het linkerondervak en dan tegen het kruis aan 
B: 	ja bij mij ook dat kunnen eigenlijk helemaal niet missen 
B: 	dus dan hebben we het over dezelfde 
B: 	even kijken deze hebben dat anetenne aan de bovenkant en het vierkant vlak aan de voorkant en de groot worden blok aan de linkerkant 
A: 	en de blok yes dat zijn negen voor mij 
B: 	hij staan linksonder en dan een beetje in het hoek van waar de lijn elkaar kruisen 
A: 	ja daar hebben ik hem ook 
A: 	groot worden vierkant links 
A: 	Antenne bovenop 
B: 	ja 
B: 	dat zijn D voor mij 
A: 	deze zitten voor mij redelijk op de verticaal scheidingslijn 
A: 	en als ik een vak zullen moeten kiezen zullen het linksboven zijn 
B: 	ja dat denken ik ook wel zitten echt best wel dicht bij het kruisje 
A: 	ja 
B: 	ja 
B: 	dit zijn met de antenne het vierkant plaat en de twee wat groot groot worden vierkant 
A: 	ja dat zijn één voor mij 
B: 	even kijken in het rechtervlak 
B: 	en dan bovenste vak 
B: 	ja denken dat de horizontaal lijn hem misschien net nog wel snijden 
A: 	ja want daarnaast hebben je er één en die zitten wat laag die doorgaan duidelijk door die lijn 
B: 	ja ja zeker 
A: 	ja 
A: 	ja dan hebben we dezelfde 
A: 	dit zijn die met de vierkant plaat voorop en de groot worden vierkant links 
B: 	ja 
B: 	G 
A: 	hij staan voor mij in het linker nee sorry rechterondervak 
A: 	en dan links een beetje tegen de lijn aan 
B: 	nee bij mij staan die link 
B: 	helemaal links in het 
A: 	nee 
