B: 	ik hebben het rood 
A: 	oké 
B: 	ik vinden het wel een beetje lijken op een cocktail 
B: 	met een schijf citroen misschien een ja 
B: 	en dan zitten er een soort lepeltje boven 
B: 	en er zitten eigenlijk aan de zijkant dan een 
A: 	een handvat 
B: 	een handvat 
A: 	met een klein bekert zeggen maar eronder 
B: 	ja 
A: 	heel klein 
A: 	oké dertien 
B: 	oké 
B: 	ja bij mij staan die eigenlijk een beetje onder 
B: 	en dan maar niet helemaal onder 
A: 	ja 
B: 	in het midden 
B: 	en dan ja eigenlijk in het midden gewoon in het midden dan niet links of rechts en dan onder zeggen maar de twee rij 
B: 	van onder de twee rij 
A: 	dus niet links niet dus echt precies een beetje in het midden 
B: 	ja 
A: 	en dan de twee rij 
B: 	ja van onderen 
A: 	ik denken dat die gelijk staan 
B: 	oké 
A: 	of ze moeten heel vals gaan spelen dat die net 
A: 	maar ik ik denken dat die gelijk staan dus dan 
B: 	ja 
A: 	ik weten eerlijk zeggen niet veel wat we deze hebben hebben 
A: 	maar er zitten een een rond schaal achter 
A: 	aan de zijkant steken een een een pilaar of iets uit 
A: 	en boven opsteken een soort van pollepelachtig iets uit 
B: 	ja 
B: 	dat zijn O 
A: 	en hij staat redelijk in het midden iets veel naar rechts en ongeveer de tussen de twee en drie hoog 
B: 	ja ja dat kloppen ongeveer wel 
B: 	dit zijn weer die soort cocktail zeggen maar 
B: 	met dat kanne eronder 
A: 	ik zitten te kijken waar die staan 
B: 	op dat 
B: 	volgens mij zijn het weer een nieuw ronde trouwens 
A: 	ik denken het ook 
A: 	even kijken welk cocktail 
B: 	nou ja dus zeggen maar dan hebben je zo zitten stijgen er zo'n soort lepel uit en dan aan de zijkant zijn er aan de een kant zo'n ding 
B: 	ja zo'n soort balk en dan dan zijn er zo'n rond ja ananasschijf citroenschijfje of zo 
A: 	daarboven hebben je nog iets wat uitsteken 
A: 	en aan de zijkant steken ook iets zo uit 
B: 	ja 
B: 	ja 
A: 	ja kloppen en daarachter hebben je ja dat zijn denken ik uiteindelijk een cirkel of iets wat ja kloppen 
B: 	ja 
A: 	acht 
B: 	ja en hij staan bij mij helemaal rechtsboven 
A: 	echt helemaal erin 
B: 	nou niet helemaal erin maar bij ja vrij ja gewoon 
A: 	maar zullen er nog iets kunnen tussen kunnen denken je 
B: 	van boven waarschijnlijk niet van rechts nog wel 
A: 	dan staan die denken ik niet op de goed plek 
A: 	volgens mij omschrijven je deze als cocktail 
B: 	cocktail waar zijn je 
A: 	met die citroenschijfje en 
B: 	ja 
B: 	ah C 
B: 	van cocktail 
A: 	ja 
A: 	er zullen boven nog één of een half bij kunnen 
A: 	en hij staan wel aan de rechterkant maar beetje in het midden van de rechterkant dus als je rechts weer door twee delen in het midden 
A: 	en boven staat die vrij hoog maar er zullen nog een half bij kunnen 
B: 	ja 
B: 	de cocktail 
A: 	de cocktail waar zijn je ? hier 
A: 	zeven 
B: 	en ja hij staan ja vrij naar onderen 
B: 	en dan ja links maar niet links link gewoon ja midden ja 
A: 	zullen er link nog iets bij kunnen 
B: 	ja één à twee ding 
A: 	ja nee dan zijn hier zeker niet 
A: 	denken ik dat 
A: 	cocktail 
B: 	de cocktail C 
A: 	hij staan rechtsboven 
A: 	maar er zullen rechtsboven zullen er in feit niks veel bij kunnen en rechts zullen er nog wel één naast kunnen staan 
B: 	oké 
B: 	dat zijn niet hetzelfde 
