A: 	er zitten best wel een groot staaf doorheen met twee rond vlak aan de uiteinde 
A: 	gaan recht door het beker heen 
A: 	de een kant zijn kort en de een kant zijn lang 
B: 	staaf met rond vlak 
A: 	ja het zijn een beetje een rond rond vorm 
A: 	rond staaf met twee rond vlak daarnaast 
B: 	ja 
A: 	en als je daarnaar kijken zitten zijn één kant kort en één kant zijn lang 
A: 	en er komen ook een vierkant uit 
A: 	uit de bovenkant schuin 
B: 	er komen een vierkant uit de bovenkant 
A: 	schuin 
B: 	schuin 
A: 	maar het belangrijk zijn dus het Ronde gaan dwars door de achterkant van de beker heen het zijn een rond vormp 
B: 	ja 
A: 	met twee afgeron vak 
A: 	twee rond er aan de uiteinde ervan 
B: 	ja 
B: 	oké 
B: 	soort knobbelt 
A: 	ja twee knobbelt 
B: 	ja 
B: 	K 
A: 	en hij zijn helemaal aan de linkerkant in de hoek 
A: 	er staan een plaat vlak onder 
B: 	hij zitten echt in een hoek 
A: 	ja hij zitten in de hoek van link 
A: 	en hij zitten vlak boven een ander plaat 
B: 	echt 
B: 	oké maar hij zitten niet tegen het scherm aan of zo 
A: 	niet tegen het scherm aan nee 
B: 	zitten er veel ruimte tussen 
A: 	ik denken wel gewoon het heel plaat wel kunnen er nog wel tussen 
B: 	oké en hij zitten exact ergens boven 
A: 	ja staan exact exact ergens boven 
B: 	hij zitten op dezelfde plek 
A: 	oké 
B: 	het zijn weer die beker waar aan de achterkant een soort staaf doorheen gaan en die hebben die soort bollet aan de uiteinde 
A: 	ja 
A: 	ja dat zijn 
B: 	en dat vierkant erachter 
A: 	dat zijn negen 
A: 	en waar staan die 
B: 	hij zitten aan de in het midden van de rechterkant van het scherm 
B: 	en dan wat hoog 
A: 	nee bij mij niet 
B: 	oké 
A: 	helemaal niet zelfs 
A: 	weer met die twee bollet aan de uiteinde van de cilinder eigenlijk 
A: 	dus 
B: 	ja 
B: 	die stompe bollet 
A: 	ja die stompe bollet 
B: 	ja 
B: 	oké 
A: 	en hij 
B: 	en die vierkant erachter 
A: 	ja 
A: 	ja en het zijn letter 
B: 	ja danken je wel 
B: 	letter F 
A: 	ja 
A: 	ja 
A: 	en even kijken hoor en die zitten aan de linkerkant 
A: 	in het midden van link 
A: 	hij zitten 
B: 	tegen het midden aan 
A: 	ja hij zitten echt tegen het midden aan van link 
B: 	ja 
A: 	en hij gaan hij zijn 
B: 	net iets hoog dan gemiddeld 
B: 	hoog dan het midden 
A: 	nou ik weten het eigenlijk niet ik denken dat die nee eigenlijk niet 
B: 	gewoon het midden 
A: 	ja gewoon midden 
B: 	het lijken wel veel 
B: 	ja 
A: 	ja 
B: 	nou dan zullen die wel op dezelfde plek zitten 
