A: 	deze hebben twee uitsteeksel één rechts één link met van die bollen op het einde 
A: 	rechts zijn die wat lang en aan de achterkant staan nog een vierkant of zo 
B: 	ja 
B: 	oké ja dan zijn het K 
A: 	en bij mij zitten die ja het veel linksboven zeggen maar 
B: 	ja dan staan die op dezelfde plek 
B: 	oké deze hebben die uitsteeksel met aan de zijkant een bol waarvan de een lang zijn dan de ander 
A: 	ja 
B: 	en aan de achterkant zitten wat ik vinden een beetje zo'n metselding lijken 
A: 	metselding 
B: 	maar met zo'n balk zeggen maar zo'n plat en dan zijn nog een streep daaraan 
A: 	ja 
A: 	ja oké dus het zijn die met met van die uitsteeksel met die rond bol op het einde 
B: 	ja 
B: 	ja ja ja 
A: 	ja oké 
A: 	dan zijn het negen 
B: 	oké 
B: 	bij mij staan die aan de rechterkant van het scherm 
B: 	daar zijn er daar zijn er zeggen maar een sliert van vijf 
A: 	ja 
B: 	en het zijn de twee van boven 
A: 	ja dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn die met die twee uitsteeksel met die bollen aan het einde die aan allebei de kant ja die niet even lang zijn zeggen maar 
B: 	ja ik moeten even zoeken waar die staan 
A: 	met dat metselding 
B: 	ja ik moeten alleen even zoeken waar die staan want anders hebben het ja ja oké ja ja dat zijn F 
A: 	ja 
A: 	oké en die staan bij mij ja je hebben linksboven zo'n groep met acht ding 
A: 	en dan zijn die niet het één rijtje links maar het twee twee rij 
A: 	en dan de onderste dus eigenlijk de alleronder van die acht 
B: 	oké nee dat staan die niet op dezelfde plek 
B: 	oké 
B: 	ik hebben die met die twee uitsteeksel met een bol erop die niet even lang zijn 
A: 	ja 
B: 	en die metselding 
A: 	oké dat zijn drie 
B: 	oké 
B: 	aan de linkerkant van het scherm staan er nu zeven 
B: 	met zo vier in het aan de onderkant in een vierkant weer en het zijn daar de rechtsonder van 
A: 	ja 
A: 	ja 
A: 	oké dan staan die niet op dezelfde plek 
A: 	dit zijn die met die twee ongelijk uitsteeksel met die bol op het einde 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	en dat driehoek in het midden wat jij zeggen 
B: 	ja 
A: 	daar zijn die rechtsonder van 
B: 	nee dan staan die niet op dezelfde plek 
B: 	ik hebben diegene met die uitsteeksel en een bol op erop en dan dat die ongelijk zijn aan twee kant 
A: 	ja 
A: 	even zoeken 
B: 	ja staan weer anders 
A: 	wow 
A: 	ja ja vijf 
B: 	oké 
B: 	onderin in het midden hebben je er twee 
B: 	daarvan zijn het linksboven 
A: 	ja dan staan die op dezelfde plek 
B: 	oké 
