A: 	dit zijn het figuur waar een soort van piramide of een driehoek bovenop staan 
B: 	die 
B: 	dat zijn en dan hebben die een ding voor en een raar ding links 
A: 	ja precies en een soort van cirkel onderaan 
B: 	ja dat zijn 
B: 	ja 
B: 	J 
A: 	en bij mij staan die even kijken van de middellijn staan die rechts 
A: 	redelijk in het midden van de rechterkant van het scherm 
A: 	wel helemaal onderaan er zullen niks veel onder passen 
B: 	ja hebben ik ook 
B: 	dit zijn die een met de punt boven op dat driehoek 
A: 	ja zijn bij mij nummer zes 
B: 	en hij staan aan de rechterkant 
A: 	ja 
B: 	er past er nog één rechts naast en hij staan een stuk onder de middellijn er passen er één onder 
A: 	ja ik denken dat we dezelfde plek hebben 
A: 	ik hebben die met die piramide bovenop 
B: 	de piramide bovenop 
A: 	of het driehoek 
B: 	driehoek en dan een vaag dinget links en 
A: 	ja 
A: 	zo'n blok rechts 
B: 	ja 
A: 	beetje in het midden 
B: 	dat zijn E 
A: 	bij mij staan die aan de rechterkant van het scherm 
A: 	onder de middellijn 
B: 	ja 
A: 	past er nog wel één flink onder 
B: 	ja 
A: 	oké en even kijken ja net onder de middellijn laten maar zeggen 
B: 	en 
B: 	en dan staan die in aan het midden in het midden van het rechtervak zeggen maar 
A: 	niet in het midden van het rechtervak 
B: 	passen er twee naast 
A: 	ja ver er passen er wel echt drie naast 
B: 	drie naast dus hij staat bijna tegen de middellijn aan 
A: 	ja 
B: 	oké nee daar zijn de mijn niet 
B: 	dit zijn die een met de driehoek bovenop 
A: 	ja 
B: 	de punt 
A: 	nummer tien 
B: 	en hij staan onder link 
A: 	mij 
A: 	bij mij staan die helemaal onderaan het scherm 
B: 	ja bij mij ook 
A: 	oké 
B: 	of ja met die ruimte ertussen nog zeggen maar ja 
A: 	ja ja ja 
B: 	en er past er net één link van 
A: 	net 
B: 	wachten 
B: 	nou ja nee hij past er wel liggen er een beetje aan of je die ruimte overhouden zeggen maar 
A: 	even nee bij mij passen er wel twee naast 
B: 	nee dat past bij mij echt niet 
A: 	ik hebben die met dat driehoek bovenop 
B: 	ja 
B: 	dat zijn G 
A: 	en hij staan bij mij helemaal links bovenin past niks veel boven of links naast 
B: 	ja het zijn een beetje krap aan de linkerkant 
A: 	bij mij zullen het echt niet veel passen laten maar zeggen 
A: 	hetzelfde figuur zullen er niet nog een keer passen 
B: 	nee bij mij ook niet 
B: 	denken ik 
B: 	ik hebben die met de driehoek bovenop 
A: 	nummer tien 
B: 	hij staan aan de rechterkant van het scherm een beetje in het midden van het rechtervlak en dan onder de middellijn 
A: 	als je laten maar zeggen in het rechtervak kijken staan die dan veel link of veel rechts 
B: 	veel rechts 
A: 	ja bij mij ook 
A: 	er past er nog één naast en anderhalf onder laat maar zeggen 
A: 	twee één ik ja 
B: 	passen er bij jou twee onder denken je of bijna 
A: 	als je kijken op het scherm laten maar zeggen wat zullen kunnen passen van hoe je het zo neerzet dan past er sowieso nog één 
B: 	ja 
A: 	maar als je echt alleen die figuurt nemen dan zullen er net twee passen 
A: 	maar wel echt net als je twee klein nemen 
B: 	past staan die wel onder de middellijn 
A: 	ja wel net 
A: 	ja 
B: 	oké ik denken dat die op dezelfde plek zijn 
