B: 	okan jij moeten hem dus raden 
A: 	ja 
B: 	ja er zitten een soort van het zijn een soort van kop en daar zitten een lepeltje in en een steel eraan en aan de bovenkant zitten een 
B: 	half rond aan de onderkant zijn hij wat spits ik vinden het een beetje een koffiekopje 
A: 	ok zitten er iets aan de zijkant 
B: 	ja aan de linkerkant zitten een steel 
A: 	en er zitten er zijn maar één uitsteeksel zeggen maar aan de bovenkant 
B: 	ja 
B: 	nee ja er zijn zeggen maar één soort van lepeltje denken ik en er zijn een half rond aan de achterkant 
A: 	ok 
A: 	okan dan gaan ik voor dertien 
B: 	hij zijn een beetje in het midden van het scherm maar dan onderin niet helemaal aan de onderkant 
A: 	ok 
B: 	ja ik denken wel eigenlijk gewoon in het midden en zeggen maar één plaat van de onderkant af ongeveer 
A: 	ja dan denken ik dat hij op dezeld plek staan 
B: 	ok zelfde zijn geel 
A: 	deze hebben weer de cirkel aan de achterkant hebben weer zo'n lepeltje 
A: 	en aan de zijkant nog één ja niet echt een armp want hij gaan niet zo maar rechts 
B: 	ja 
B: 	ok dat zijn O 
A: 	hij zitten net iets rechts van het midden aan de ja net ook boven het midden en dan zullen nog één plaatje boven kunnen 
B: 	hij zitten boven het midden 
A: 	ja 
B: 	nee 
B: 	ja dit zijn dat kop met de lepeltje die er in hangen half rond aan de achterkant 
A: 	dat zijn acht 
B: 	hij zitten zeggen maar beetje rechts in de hoek past rechts misschien nog één naast boven niet 
A: 	ok dat zijn dezelfde 
A: 	dit zijn met de cirkel aan de achterkant lepeltje bovenin een uitsteeksel aan de linkerkant 
B: 	ja dat zijn C 
A: 	zitten aan de rechterkant van het scherm kunnen geen plaat veel boven nog twee plaat ongeveer rechs van 
B: 	als je er twee plaat naast willen hebben je dan nog wel een beetje ruimte over 
A: 	het zijn zeggen maar 
B: 	ja dat zijn wel hetzelfde 
B: 	ja dit zijn met dat kop met dat half rond aan de achterkant 
A: 	ja dat zijn zeven 
B: 	hij zitten zeggen maar linksonder niet helemaal tegen de onderlijn aan zeggen maar er past niet een plaat onder maar 
B: 	hij zitten er ook niet helemaal tegenaan links past ook nog wel anderhalf plaat 
A: 	o nee 
A: 	ja dit zijn met die cirkel aan de achterkant die half cirkel met lepeltje erin en staafje aan de zijkant 
B: 	dat zijn C 
A: 	hij staan helemaal wel tegen de bovenste rand aan kunnen nog een plaat rechts naast ok 
B: 	nee 
