A: 	dit zijn een soort van die mok waar aan de bovenkant een soort van satelliet 
A: 	zitten dat zijn eigenlijk maken van vierkan waarbij er aan de onderkant ook nog zo'n uitsteeksel zitten 
B: 	ja 
B: 	zitten een soort van een gradueel verschil in het zijn het een driehoekig ding en dan zitten er maar 
A: 	ja 
A: 	ja 
A: 	hij lijken driehoekig maar het zijn een vierkantje 
A: 	zeggen maar 
A: 	want hij zijn draaien net 
A: 	en erdoorheen lopen blok 
B: 	ja 
A: 	en aan de voorkant steken nog een een soort van neus uit 
B: 	ja 
A: 	en aan de rechterkant zitten nog een een een hoekig hengsel 
B: 	hebben die ook aan de onderkant een gebogen veel 
A: 	ja 
A: 	ja 
B: 	ja dan zijn dat bij mij nummer M denken ik 
A: 	oké 
A: 	en waar die staan zijn als je het scherm weer in vier deel pakken 
A: 	dan zijn het het blok linksonder en daarin zitten die rechtsboven 
B: 	linksonder zeggen je al 
B: 	dus in principe zeggen maar dit zijn dan het scherm en dan zitten die linksonder bij jou 
A: 	ja hij zitten in het zeggen maar de dat blok linksonder 
B: 	ja 
A: 	en in dat blok zitten die weer rechtsboven 
B: 	ja bij mij staan die dus als ik het scherm zo pak aan de bovenste kant van het linkerkwart dus dat zijn dan niet hetzelfde nummer 
A: 	ja 
A: 	oké 
B: 	ik hebben de basisvorm waarbij er soort van balk naar voren lijken te komen en aan de rechterzijkant zitten dan een soort balk met een hoek erin 
B: 	onderaan een veel hoekig of ja van vierkant vormen hoek en bovenin zijn de ruitvormig die wedg een soort van 
B: 	ja ze lijken ingeplant in in in de basisvorm en aan beide zanten kant zijn er van die bolkig taps toelopen blok 
B: 	en er zijn twee ruitvormig hoek 
A: 	even kijken hoor 
B: 	dus je hebben zeggen maar de basisvorm en dan bovenin van die ruitvormp 
A: 	ja 
B: 	twee van heel erg 
A: 	verschillend 
B: 	van gelijk formaat die zijn dan achter de basisvorm plaatsen 
B: 	twee daarvan die dus vrijwel naast elkaar 
A: 	zijn dat lijken dat een beetje op een satelliet 
B: 	ja 
A: 	of niet 
A: 	ja 
A: 	en dan komen er één als een soort van neus uit en aan de onderkant zitten nog 
B: 	ja 
A: 	ja dat zijn nummer negen hier 
B: 	ja 
B: 	en bij mij zitten die dan linksonder richting midden denken 
B: 	dus er zullen in principe nog drie of er zullen twee rood vlak nog naast kunnen hij zitten in de in het midden of verticaal lijn 
B: 	link 
B: 	onder 
A: 	even kijken hoor 
A: 	want hij zitten bij mij tegen de middellijn eigenlijk aan 
A: 	onderin 
B: 	ja 
B: 	en dan aan de linkerkant van het scherm 
B: 	toch 
A: 	nee bij mij rechts onderin tegen echt zeggen maar de middellijn die niet bestaan 
B: 	dan denken ik dat we op een ander plek zitten want bij mij zitten die wel echt link 
A: 	dat 
A: 	ja 
A: 	oké 
A: 	ja ik hebben de mok met die soort van satelliet die daar linksboven aan vastzit maken van vierkan waarvan er 
B: 	ja 
A: 	zo'n dubbel vierkantje net een kwartslag draaien zijn 
A: 	aan beide kant komen er blok uit 
B: 	ja 
A: 	en aan de onderkant zitten zo'n zo'n piele zo'n bochtig blok wat eruit steken en aan de voorkant een 
B: 	even denken 
B: 	ja 
B: 	zeggen maar het zijn een lijken een beetje op een ouderwets bonenmaler misschien of zo maar 
A: 	ja ja 
B: 	ja dat zijn H 
B: 	H bij mij ja 
A: 	handig 
B: 	precies 
A: 	en hij staan Linksboven 
B: 	ja 
A: 	en daarvan eigenlijk weer een beetje in het midden 
B: 	midden denken 
A: 	richting de horizontaal lijn 
B: 	ja 
B: 	ja dan denken ik dat we hetzelfde hebben 
B: 	bij mij zijn het degeen die ik eerder vergelijken hebben met één met een bonenmaler 
B: 	dus in principe bovenop zitten die twee ruitvormig object 
B: 	en dan aan weerszijde die balk die dan blok met taps toelopen begrijpen je wat ik bedoelen 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	ja 
B: 	en bij mij staan die dan Linksboven 
B: 	er zullen nog een object aan de linkerkant naast kunnen 
B: 	maar dat zijn zeggen maar de het kwart waar die in zitten 
A: 	ja 
A: 	dit zijn jou koffie machine 
B: 	ja 
A: 	met die satellietvorm Erboven 
B: 	dat zijn nummer 
B: 	ja dat zijn nummer D 
A: 	oké 
B: 	of letter D 
A: 	hij zitten in het vlak linksonder 
A: 	en dan eigenlijk op het midden tussen de scherm van het rand onder en de middellijn 
B: 	bij mij zitten 
B: 	ja bij mij zitten die link helemaal onderin dus 
A: 	oké 
A: 	ja 
B: 	ik hebben de de bonenmaalmachine met 
A: 	top nummer veertien 
B: 	yes 
B: 	en bij mij staan die dan veel op de horizontaal lijn aan de buiten kant van het scherm 
B: 	linkerkant überhaupt van het scherm 
B: 	er kunnen links niks veel naast want daar staan die te dicht voor bij de rand 
A: 	oké 
A: 	ja 
A: 	dat zijn anders 
