B: 	oké hier zitten een plaat door het kop 
A: 	ja 
A: 	oké 
B: 	dan opsteken er link nog een balk uit met een hoek 
A: 	ja 
B: 	en recht voor komen nog een balk eruit en bovenin komen twee klein balkjes eruit 
A: 	oké dat zijn zes 
B: 	hij staan helemaal boven in het scherm bij mij 
A: 	ja bij mij ook 
B: 	aan de rechterkant van het scherm net of tenminste het zijn 
A: 	net na het midden 
B: 	ja 
A: 	ja ja 
A: 	en dan uitzitten er bij mij nog twee naast zeggen maar naar de rechterkant toe 
B: 	ja 
A: 	oké 
A: 	ja dan denken ik dat het hetzelfde zijn wel 
A: 	dit zijn weer met zo'n zo'n plat schijf erdoorheen 
A: 	en dan twee klein balkjes erbovenuit 
A: 	en een soort glijbaan naar beneden aan de voorkant en dan nog een armp die zo omhoog opsteken 
B: 	ja dat zijn C 
A: 	en die staan bij mij rechts bovenin 
A: 	en wel redelijk in het midden maar iets veel naar links 
A: 	hebben je daar genoeg aan 
B: 	rechts bovenin 
A: 	ja 
B: 	in het ja dat zijn denken ik hetzelfde 
B: 	deze hebben weer zo'n plaat erdoorheen met jij zeggen mooi een glijbaan 
B: 	en twee van die dinge erop 
A: 	ja ja ja 
B: 	en links nog het uitsteeksel 
A: 	dertien 
B: 	op de linkerschermhelft staan die ook aan de linkerkant 
A: 	ja 
B: 	en bovenin 
A: 	ver bovenin 
B: 	ja 
A: 	of er net boven 
A: 	boven de horizontaal 
B: 	als je de bovenste schermhelft weer in twee verdeelen daarvan in het midden ongeveer dus als je hem in vier verdeellen 
A: 	dan zijn het hem niet denken ik 
B: 	oké 
A: 	dit zijn die een met de glijbaan en en een vierkant door het kop heen 
B: 	ja en die twee schoorsteen 
A: 	ja ja ja 
B: 	ja 
B: 	dat zijn J 
A: 	en die staan bij mij als je je scherm door twee verdeellen dan hak je hem eigenlijk door en dan zitten hij aan de onderkant 
B: 	ja maar je hakt hem niet in het midden door 
A: 	nee nee 
B: 	oké ja 
B: 	dit zijn weer met dat plateau erdoor en de glijbaan en de twee uitstekend balk en link ook nog 
A: 	dat zijn negen 
B: 	en deze zitten van de rechterschermhelft alsnog aan de rechterkant 
B: 	en net iets boven het midden 
A: 	horizontaal boven het midden 
B: 	ja 
A: 	dan denken ik dat het niet zijn 
A: 	dit zijn de glijbaan 
A: 	met die schoorsteen 
B: 	ja dat zijn N 
A: 	en die zitten boven in je scherm en dan net aan de rechterkant van het midden 
B: 	ja 
