B: 	de er zitten een soort van haak aan de linkerkant 
B: 	en er steken twee dinget bovenuit 
B: 	en er zitten een vierkant schijf doorheen 
A: 	ja ja 
A: 	oké 
A: 	zijn zes 
A: 	hij staan bij mij aan de rechterkant van het scherm en dan bovenaan 
B: 	ja net naast het midden 
A: 	ja ja 
B: 	oké dan zijn die gelijk 
A: 	oké 
A: 	dit zijn dat komme met een een platformp ertussen 
A: 	en dan zitten er nog zo'n soort ja ik zien het een beetje als een soort van glijbaan maar 
B: 	ik zien het ook als een glijbaan 
A: 	ja 
B: 	C 
A: 	en bij mij zitten die dan aan de rechterkant zitten die helemaal bovenaan 
B: 	ja bij mij ook 
B: 	bij mij zijn weer met de glijbaan 
A: 	ja want het zijn ja ja dat zijn dertien 
B: 	dan weten je denken ik welk ik bedoelen 
B: 	en staan bij mij helemaal linksboven in de hoek 
A: 	mij staan die niet bovenin dus dat kloppen dan niet 
B: 	oké 
A: 	dit zijn degeen met platform in het midden en de glijbaan 
B: 	ja J 
B: 	helemaal in het midden helemaal onderaan 
A: 	ja 
A: 	ja 
B: 	dit zijn de glijbaan 
A: 	de glijbaan waar zijn je 
A: 	ja dat zijn negen 
B: 	nee die zitten bij mij helemaal rechts en dan net iets boven het midden 
A: 	maar bij mij zitten die helemaal rechts maar net iets onder het midden 
B: 	oké dat zijn een ander 
A: 	dit zijn met glijbaan en het platform erdoorheen ja 
B: 	ja 
B: 	waar zijn die 
B: 	N 
A: 	zitten als je het midden hebben zitten die iets rechts en bovenaan 
B: 	ja 
B: 	bij mij ook 
