B: 	ik hebben nou ja het je kunnen het een beetje vergelijken met een wijnglas zeggen maar dus dan zijn het zo'n beker en daaronder zitten dan nog zo'n staaf met een een driehoek eronder zeggen maar 
A: 	ja 
B: 	en dan hebben je nog twee van die blok en nog ja een soort van rietje wat eruit opsteken een beetje 
A: 	ja 
A: 	recht op zo'n spiraal staan die of zo ik weten niet 
A: 	of ja zo'n ding hij staan omhoog in ieder geval 
B: 	ja 
A: 	dat zijn nummer vier bij mij 
B: 	oké 
B: 	en dan staan die bij mij zijn het het plaat eigenlijk het veel rechts bovenin 
A: 	bij mij staan die wel rechts maar niet helemaal aan de rechterkant zeggen maar 
B: 	dus 
A: 	er vaststaan nog wel er kunnen nog wel een plaat staan nog wel een plaat naast zeggen maar bijna 
B: 	ja bij mij zijn het echt het veel rechts plaat bovenin zeggen maar dus er kunnen nog wel een plaat naast maar ja dit zijn wel het 
B: 	plaat rechts bovenin zeggen maar het veel dus 
A: 	oké ja dan denken ik dat die van mij iets veel naar links staan want die van mij staan zeggen maar op drie vier van het scherm ongeveer 
B: 	nee bij mij kunnen er eigenlijk eigenlijk nog net nog dat plaat kunnen dan eigenlijk dan nog een keer ernaast zeggen maar maar 
A: 	wachten even 
A: 	maar dan zitten het scherm helemaal vol 
B: 	ja 
A: 	oké dan staan die niet op dezelfde plek denken ik 
B: 	oké 
A: 	ik hebben nu die een die op die driehoek met die staaf zeggen maar erop staan op die verhoging een soort beker of zo zullen je het kunnen zien soort trofee 
A: 	gewoon ja ik weten niet 
B: 	ja 
A: 	met die blok ook erop 
B: 	ja 
B: 	dat zijn A bij mij 
A: 	hij staat ongeveer hij staan aan de linkerkant ongeveer op één vier 
B: 	ja 
A: 	staan net iets onder het midden 
B: 	ja bij mij staan die al boven het midden dus dat zijn niet dezelfde plek dan 
A: 	oké 
B: 	nou hebben we weer die soort van trofee zeggen maar met wel dat driehoek en dan 
A: 	met die vierkan erop 
B: 	ja 
A: 	ja 
A: 	nummer tien 
B: 	en bij mij liggen die helemaal onder in het scherm 
B: 	en dan ongeveer op één één drie denken ik 
A: 	één vier 
B: 	aan de linkerkant 
A: 	ja bij mij liggen die 
B: 	er staan nog een er vaststaan nog links en rechts zeggen maar een plaat ernaast aan allebei de kant 
A: 	ja bij mij liggen die net iets veel naar rechts dan het plaat net 
A: 	zeggen maar 
A: 	en het scheelen niet zo heel veel 
B: 	ja inderdaad ongeveer 
A: 	een beetje naar rechts 
A: 	en ongeveer inderdaad op één ja één vier zullen je wel kunnen zeggen bijna denken ik 
B: 	ja hij liggen bij mij in ieder geval helemaal onderin en dan dan 
A: 	liggen er één plaat naast en er zijn er nog wel iets ruimte ernaast toch ? gewoon 
A: 	zullen er bijna twee plaat naast kunnen toch 
B: 	aan de linkerkant zullen inderdaad nog ruim twee plaat ernaast kunnen wel 
A: 	ja 
A: 	ik denken dat die wel op dezelfde plek ja ik afvragen me af of die van jou net iets veel naar rechts liggen 
B: 	denken ik 
A: 	bij mij liggen die echt op één vier van het scherm denken ik 
A: 	ja 
A: 	nee 
B: 	ik zullen niet zeggen dat die bij mij één vier liggen denken ik maar 
B: 	net iets over één vier zeggen maar dus net nog net iets ver opgeschoven naar rechts 
A: 	twijfelachtig 
B: 	ja 
A: 	ja wel helemaal onderin toch 
B: 	ja helemaal onderin 
A: 	bij mij staan er één plaat naast aan de linkerkant 
A: 	en er zullen krap nog een plaat naast kunnen 
B: 	ja bij mij staan inderdaad aan de linkerkant ook nog een plaat 
B: 	en aan de rechterkant hebben je ook een plaat en die staan ongeveer op de middellijn zeggen maar 
A: 	ja bij mij staan ja dan staan die net links van de middellijn ongeveer die ernaast toch 
B: 	ja 
A: 	oké ja ik denken dat die gewoon op dezelfde plek staan 
B: 	ja 
A: 	ik hebben nu die soort trofee zeggen maar helemaal rechtsboven staan die bij mij 
B: 	ja 
A: 	dat driehoekig ding 
B: 	bij mij zijn dat L 
A: 	ja bij mij staan die echt helemaal rechtsboven 
B: 	ja bij mij ook helemaal rechts bovenin maar dat kunnen 
A: 	ja met een beetje proppen maar dat kunnen niet veel echt ja 
B: 	ja maar het zijn wel het plaat het veel rechts bovenin ja 
A: 	veel rechtsboven 
A: 	ja denken dat dat dezelfde zijn 
B: 	weer die een trofee zeggen maar die op dat plateau en dan met die twee kubus 
A: 	de driehoekig ding toch 
B: 	ja de driehoekig ding inderdaad en dan 
A: 	ja 
A: 	dat zijn bij mij nummer vier 
B: 	en bij mij staan die net iets onder de middellijn zeggen maar en dan ook weer net iets aan de linkerkant 
B: 	als je dus het midden nemen 
A: 	ja 
A: 	bij mij ook 
A: 	inderdaad net iets naar links 
B: 	ja 
A: 	en net iets eronder 
B: 	ja 
A: 	oké 
A: 	ik hebben die trofee 
A: 	die staan ongeveer in het midden bij mij 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	en bij mij staan die net iets rechts van de middellijn en net op de zeggen maar net iets Erboven 
B: 	nee bij mij staan die al links dus dat zijn al niet dezelfde plek dan 
A: 	oké 
