A: 	ja 
A: 	dit ja ik vinden het een beetje op een vogel lijken met twee staaf aan de rechterkant 
A: 	soort van bek en dan bovenop zo'n punt 
B: 	ik vinden die ook op een vogel lijken 
A: 	en dan zo'n ja zo'n staaf naar links en dan dat ja gekronkelen staafje aan de onderkant 
B: 	ja 
B: 	dat zijn I bij mij 
A: 	en hij staan ja links van de helft net daarnaast 
A: 	en ja aan de bovenkant 
A: 	ja een beetje halverwege de bovenkant 
A: 	als je het midden door de helft doen en dan daar in het midden aan de bovenkant 
B: 	ja 
B: 	die weer door de helft 
B: 	bij mij ook 
B: 	even kijken hoor 
B: 	link van het midden 
B: 	net links van het midden 
B: 	dan zo als je die weer door de helft delen dan daar weer de helft van 
A: 	ja 
B: 	dat zijn wel hetzelfde denken ik 
B: 	dit zijn die op een vogel lijken 
B: 	met van die ja 
A: 	ja die twee staaf en dat punt 
B: 	ja 
A: 	het staart en de vleugel 
B: 	ja 
A: 	dat zijn twee 
B: 	bij mij staan die in de linkeronder hoek 
B: 	maar wel nog met best wel veel ruimte links en onder 
A: 	ja 
B: 	zo'n stuk link 
A: 	ja 
B: 	zo'n stuk nog eronder 
A: 	ja dat hebben ik ook 
A: 	dus dat zijn hetzelfde 
B: 	oké 
A: 	ja dit zijn de de vogel met de snavel en de driehoek en het ja krulstaartje aan de Linkeronderkant en 
B: 	ja 
B: 	dat zijn M 
A: 	en hij staan ja op de onderste rij bij mij 
A: 	net iets ja de middellijn en dan de linkerhelft en dan links van het midden van de linkerhelft 
B: 	ja bij mij ook bij mij zitten nog zo'n stuk link 
A: 	ja 
A: 	ja mij ook 
B: 	en zo'n stuk eronder 
A: 	ja 
B: 	oké 
B: 	dit zijn die vogel 
B: 	met de vlakke afgevlakt driehoek 
A: 	ja 
A: 	ja 
A: 	dat zijn negen 
B: 	hij staan aan de linkerkant en als je dat deel weer doormidden doen dan daar rechts van 
B: 	en dan als je hem zo doormidden delen dan daar weer de helft van 
B: 	op die lijn 
A: 	ja ja 
A: 	bij bij mij ook 
B: 	oké 
A: 	dit zijn de vogel 
A: 	het snuit en de plat driehoek 
B: 	ja dat zijn F 
A: 	hij staan rechts van het midden 
A: 	en best wel aan de onderkant 
B: 	ja 
A: 	ja aan de onderkant nog zo'n stuk 
B: 	bij mij ook 
B: 	ja 
B: 	dit zijn die vogel 
A: 	vogel vogel ja 
B: 	ja 
A: 	zes 
B: 	staan iets link van het midden 
B: 	en dan bijna precies deze helft 
A: 	ja bij mij ook 
B: 	oké 
