A: 	oké deze hebben bovenop een soort nou ja laten we het een omgekeerde bloempot noemen 
A: 	en aan de rechterkant twee lat of plank zeggen maar 
A: 	even lang even groot zijn ze 
B: 	een omgekeerde bloem ja ik weten welk je bedoelen dat zijn bij mij I 
A: 	en hij staan bij mij best wel bovenaan links van het midden 
B: 	ja en er staan er nog één link van 
A: 	er staan er nog één link van ongeveer op dezelfde hoogte 
B: 	oké ja dan zijn het dezelfde plek 
A: 	oké 
B: 	deze hebben twee van die streepjes naar rechts en een soort afgekapte driehoek erbovenop 
A: 	ja dat zijn bij mij twee 
B: 	en bij mij zitten die op de plek die jij net beschrijven 
B: 	de veel links van de éénnalaat rij 
A: 	de veel links van de de 
B: 	de twee rij van onder zeggen maar 
A: 	ja dus als je je hebben er helemaal links hebben je er één 
B: 	ja 
A: 	en dan hebben je er ongeveer drie zo bij elkaar en dan zijn het de onder 
B: 	ja je hebben er links hebben je er één en dan hebben je er een soort van vier naast elkaar en dan daar de onderste van inderdaad 
A: 	ja 
A: 	ja oké dan zijn het dezelfde plek 
A: 	deze hebben weer die twee plank aan de rechterkant die hetzelfde zijn 
B: 	met dat hoed bovenop soort van 
A: 	weten je dan genoeg 
A: 	met dat hoed bovenop ja 
B: 	dat zijn bij mij M 
A: 	en hij zitten bij mij helemaal links onderaan 
B: 	bij mij ook 
B: 	dit zijn weer met die twee streepjes naar rechts 
A: 	met die twee streepjes naar rechts ja dat zijn bij mij negen 
B: 	bovenaan hebben je er linksboven twee naast elkaar daar de rechter van 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn die met die twee plank aan de rechterkant 
B: 	dat zijn bij mij F 
A: 	en je hebben er rechts ongeveer rechtsonder zo drie op een rij 
A: 	daar zijn het de middel van 
B: 	ja 
B: 	die met die streepjes naar rechts 
A: 	die met die streepjes naar rechts en dat ding erbovenop dat zijn nummer zes 
B: 	ik zeggen net die eigenlijk moeten je het vanaf links hebben je er een soort van drie op een rij richting het midden 
B: 	en dan zijn het de veel rechter 
A: 	nee ik hebben er link helemaal link één best wel perfect in het midden zitten 
A: 	en als je daarvan naar rechts gaan 
A: 	die 
B: 	dat zijn hem wel denken ik 
A: 	dat zijn hem wel 
A: 	ja 
B: 	ja 
B: 	ja dat denken ik wel 
A: 	oké dan gaan we er gewoon voor 
