B: 	ja dit doen mij eigenlijk denken aan een man met een verrekijker en een antenne op zijn hoofd 
A: 	o ja ja ik vinden het vooral een robot maar 
B: 	ja kloppen ja ja dat zijn inderdaad dat 
A: 	op zich verrenkijk ja bij mij zijn dat twee 
B: 	ok bij mij B 
A: 	ok 
B: 	en hij staan een beetje link ook weer op één vier onderin link ervan zitten niks veel en rechts ervan zitten wel iets 
B: 	en Erboven zitten ook nog wat en nog wat 
A: 	zitten hij helemaal onderin 
B: 	ja wel gewoon echt op de laag laag 
A: 	o nee dan zijn het niet zelfde 
B: 	ok 
A: 	dit zijn de man met de verrekijker of de robot 
B: 	o die die even kijken waar die staan hier G 
A: 	ja dertien 
B: 	ok 
A: 	bij mij staan hij zeggen maar van die vier in het midden 
B: 	ja 
A: 	toch ? staan hij zijn het de linkst ond 
B: 	en er zitten ook zeggen maar daaronder niks naast en wat link duren het even voordat er weer wat komen en onder ook nog wat link schuin onder 
A: 	ja 
A: 	ja 
A: 	ja linksonder zitten er één ja dat dansen poppe 
B: 	ja ja 
B: 	jaja ja dat zijn hetzelfde ja 
B: 	o dit zijn dat robot dinge met verrekijker en die antenne 
A: 	o ja dat zijn negen bij mij 
B: 	ja 
B: 	ok bij mij B 
B: 	en hij staan beetje link van midden horizontaal en eronder zitten nog wat en 
B: 	ja Erboven zitten ook nog wat ding maar hij zitten zeggen maar ook zeggen maar net beetje onder het midden 
A: 	ja 
B: 	en naar rechts staan nog iets 
B: 	en er links iets ver omhoog staan ook nog wat en link nog veel schuin staan er ook nog wat maar er zitten niet gelijk direct echt op dezelfde hoogte wat naast 
A: 	staan er zeggen maar als je link schuin naar onder gaan staan staan er staan er dan wat 
B: 	ja 
A: 	ok 
A: 	en helemaal precies er onder vaststaan ook wat 
B: 	ja 
A: 	en precies er naast aan de rechterkant ook 
B: 	ja 
B: 	eigenlijk zijn hij best wel omringen alleen zeggen maar rechts schuin zijn de veel leeg plek 
A: 	en links schuin niet 
A: 	zeggen maar beetje omhoog schuin 
B: 	nee 
B: 	nee daar staan wel wat 
A: 	o echt meteen 
B: 	nou denken ik zo'n stuk of zo 
A: 	want zeggen maar degeen die er onder staat die staan er wel veel dichter bij dan degeen die schuin boven staan 
B: 	ja ja dat wel 
A: 	dat wel 
A: 	ik denken dat hij wel op dezelfde plek staan 
B: 	ok 
A: 	dit zijn de robot verrekijker 
B: 	o die D 
A: 	zeven 
B: 	ja 
A: 	hij staan best wel in het midden ja echt heel klein beetje naar links toe misschien 
A: 	en direct boven hebben hij niks veel en aan de linkerkant zitten er 
A: 	een ruimte waar er nog wel één zullen passen een beetje links schuin onder zitten er wel één maar rechts schuin zitten weer helemaal niks 
B: 	o dan zijn het denken ik wel op dezelfde plek ja 
A: 	ok 
B: 	o dit zijn de robot met de verrekijker en dan antenne 
A: 	ja zijn één bij mij 
B: 	ok bij mij P 
B: 	en hij zitten best wel eigenlijk een beetje in het midden zeggen maar zo zitten hij in het midden en zeggen maar van het midden zo zitten hij net rechts ervan 
A: 	nee mijn zitten zeggen maar van zo zitten hij best wel omhoog 
B: 	o nee dan zijn het denken ik een ander plek ja 
A: 	ok 
B: 	want deze zitten echt gewoon heel net zo ja 
A: 	dit zijn de robot verrekijker 
B: 	o hier B 
B: 	ja welk ja ik weten niet of dat cijfer ok 
A: 	ja negen ja 
A: 	en hij zitten op de onderste rij redelijk in het midden 
B: 	maar er zitten zeggen maar nog wel nog een ver ond rij tenminste helemaal links in de hoek zitten nog één die iets ver naar onderen zitten 
A: 	ja die zijn iets naar onder geschoven maar niet helemaal er onder zeggen maar 
B: 	ja 
B: 	nee kloppen nee 
A: 	die beginnen zeggen maar op de helft van de robot 
B: 	jaja ja ja dan zijn het denken ik op dezelfde plek 
A: 	ja 
A: 	ja ik denken het ook 
