A: 	nee deze vinden ik niet leuk 
B: 	ja sommig lijk te veel op elkaar 
A: 	deze kunnen ik niet hij hebben niks herkenbaar vinden ik 
B: 	oké 
A: 	hij hebben het zijn het zijn een een cup hij staan gewoon net 
B: 	ja 
A: 	en hij hebben twee uitsteeksel aan beide kant 
B: 	ja 
A: 	die die vrij op elkaar lijken één zijn iets lang één zijn iets kort met een bolle aan de uiteinde 
B: 	ja 
A: 	en dan hebben die een soort ja ik vinden het een zonnepaneel of zo aan de achterkant 
B: 	ja 
B: 	oké ja 
B: 	ja ik vinden dat een beetje dat die staaf lijken een beetje alsof die er doorheen doorgaan inderdaad de een kant zijn een beetje kort en de ander kant zijn lang 
A: 	ja 
A: 	ja oké 
B: 	ja oké dan zijn dat bij mij K 
B: 	we gaan nog best wel snel volgens mij 
A: 	hij staan Linksboven 
A: 	en ook helemaal niks veel inderdaad niks veel ernaast of zo 
B: 	ja bij mij ook niet nee 
A: 	al vinden ik hem nou niet helemaal echt in de uithoek staan zeggen maar 
B: 	nee hij staan toch wel best wel een stuk ervan af 
A: 	ja maar er zitten gewoon niks veel omheen aan die linkerbovenkant 
B: 	maar er passen zeggen maar nog wel een heel kop boven en ook nog een heel kop naast 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	dan zijn het denken ik hetzelfde dus dan weer geel 
B: 	oké dit zijn met die die balk erdoorheen met die bollet aan het eind 
B: 	waarbij die aan de een kant zo'n klein stuk arm hebben en aan de ander kant een lang stuk en dan dat zonnescherm aan de achterkant 
A: 	ja 
A: 	ja 
A: 	en het zonnepaneel ja 
A: 	oké super nummer negen 
B: 	en die staan bij mij rechtsboven 
B: 	en er kunnen zeggen maar er kunnen nog één naast 
B: 	en er kunnen nog anderhalf boven ongeveer 
A: 	ja bij mij zitten er ja er zitten eigenlijk bijna evenveel ruimte tussen naast en boven 
A: 	rechts en boven 
A: 	en kunnen er één blok onder 
A: 	zeggen maar 
B: 	tot de middellijn 
A: 	nou net niet misschien 
A: 	ja wel 
A: 	kunnen wel één blok misschien nog onder 
B: 	tot het midden niet bij mij denken ik 
A: 	dit zijn een dit zijn een tricky one 
B: 	nee 
B: 	nee 
B: 	even kijken 
A: 	ik hebben echt zijn de de de grootte 
B: 	ja 
A: 	naar links en naar rechts hetzelfde 
A: 	de breedte naar links en naar 
B: 	bij mij van het 
A: 	naar de middellijn 
B: 	naar van naar het midden 
A: 	ja 
B: 	ja bijna links iets veel dan rechts 
A: 	ja bij mij echt wel duidelijk links veel zeggen maar 
B: 	denken ik 
A: 	bij mij zullen er één blok rechts naast kunnen 
B: 	nee 
B: 	ja link bij mij denken ik echt wel mis 
A: 	bij mij kunnen er link twee blok en rechts één blok 
B: 	misschien twee ja 
B: 	en rechts één 
B: 	nou ik denken dat het toch wel op dezelfde plek staan eigenlijk 
A: 	ja we zitten eigenlijk op dezelfde 
B: 	ja 
A: 	het zijn een beetje een een een net half blok zeggen maar dat er pas 
B: 	ja 
B: 	ja 
A: 	oké dan zeggen we hetzelfde ja 
B: 	het zijn echt wel 
B: 	ja 
A: 	ja 
A: 	ik hebben diegene met de de de zonnepaneel op de achterkant en die twee raar uitsteeksel die erdoorheen 
B: 	ja die twee die staaf zeggen maar 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	ja bij mij staan die Linksboven een beetje in het kwart tegen de hoek maar ik weten niet waar die bij jou 
A: 	nee bij mij staan die wel net linksonder 
B: 	oké 
B: 	nee dat zijn niet dan 
B: 	rood 
A: 	ja 
A: 	oké 
B: 	oké ik hebben weer die met dat zonnepaneel en die staaf die er zo doorheen zitten 
A: 	ja 
A: 	ah daar nummer drie 
B: 	ze zijn weer veranderen 
A: 	ja 
B: 	die staan bij mij links onderin 
B: 	en dan ongeveer ja verticaal 
A: 	zitten bij mij ook niks veel naast 
B: 	bij mij niet 
B: 	nee verticaal staan die ongeveer halverwege 
B: 	en dan zitten er nog één naast en er kunnen er nog wel één naast 
A: 	nee nee nee 
B: 	nee 
A: 	dan zijn die draaien bij mij met de piramide 
B: 	dat denken ik ook want daarnaast staan die met die piramide bij mij 
A: 	echt ? ja ? kijken 
B: 	ja 
A: 	dus die zijn niet goed 
A: 	ja de zonnepaneel en de raar arm 
B: 	oké 
B: 	even kijken waar die zijn 
A: 	de ongelijk arm 
B: 	daar 
B: 	L 
B: 	ja niet die maar zeggen maar die 
A: 	ja de ongelijk ja 
B: 	ja 
B: 	dat zijn L 
A: 	ja hij staan eigenlijk rechtsonder maar wel precies op het kruispunt zeggen maar 
B: 	nee 
A: 	nee 
B: 	nee 
A: 	oké helemaal verkeerd dus 
B: 	oké 
B: 	Jezus 
B: 	dit zijn die met die met die één kort arm één lang arm en die bollet en dan het zonnepaneel aan de achterkant 
A: 	ja ik zoeken hem 
B: 	moeten we weer even leren waar al die plaat staan 
A: 	ik hebben hem 
A: 	nummer vijf 
B: 	die staan bij mij ik denken het verticaal midden raken hem 
B: 	ja die raken hem echt wel 
A: 	ja 
A: 	ja 
B: 	en het horizontaal midden niet daar staan die nou zeker wel één blok onder 
A: 	kloppen 
B: 	er kunnen nog wel één onder kunnen nog wel één boven 
A: 	ja hij staan goed 
B: 	ja 
