B: 	oké deze ja deze vinden ik ook best wel lastig 
B: 	dat zijn je hebben weer dat kop zeggen maar dan hebben die zo'n soort rond neus daarop 
B: 	en dan hebben die twee van die staaf erin 
A: 	ja 
B: 	één zo'n soort rechthoekig lineaal 
A: 	dat zijn ook de enig met twee staaf erin volgens mij 
B: 	ja volgens mij wel 
A: 	ja 
B: 	één zo'n lineaal en één zo'n soort puntig kristaldinge 
A: 	juist ja ja 
B: 	ja 
A: 	en dan hebben die zo'n zo'n zo'n afvoerbak naar de zijkant toe en zo'n 
B: 	ja ja 
A: 	ja oké 
B: 	zo'n tui 
A: 	dat zijn voor mij nummer veertien 
B: 	oké 
B: 	nou als we weer van het midden gaan staan die bij mij aan de rechterkant 
A: 	ja 
B: 	en dan als je weer in kwart verdeelen zeggen maar horizontaal dan staan die rechts onderin 
B: 	maar wel in het punt van van de kwartje zeggen maar 
A: 	ja bij mij ook inderdaad 
B: 	in de hoek 
B: 	ongeveer 
A: 	maar ik vinden hem hij hij zijn hij zitten zeggen maar ja in dat in dat punt even kijken in dat punt 
B: 	ja 
B: 	hij staan misschien iets veel naar rechts dan het midden dan de middellijn zeggen maar 
A: 	ja iets veel naar rechts en ook iets onder het midden zeggen maar wel hij hij raken die middellijn niet aan 
B: 	en dan zeggen maar ja als je hier de hoek hebben staan die een beetje zo hier 
B: 	ja 
B: 	net nee net niet 
A: 	oké dan dan zijn ik het mee eens dus dan zijn die goed dus dan zijn het geel 
B: 	ja 
B: 	zo'n 
A: 	zijn degeen met twee spatelt de lineaal en de penseel 
B: 	ja 
B: 	en dat ander dinge 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij N 
A: 	staan die Linksboven 
A: 	bijna helemaal aan de zijkant 
B: 	nee 
A: 	oké 
B: 	bij mij staan die links en dan kruisen die een beetje ik denken dat die staan waar bij jou die trofee staan 
B: 	als ik het zo bekijk 
A: 	juist 
B: 	oké nu hebben ik dat kop met dat met die lineaal en die penseel erin 
B: 	en dat bolle erop zeggen maar 
B: 	dus met die twee staaf erin 
A: 	ja daar zijn die 
A: 	nummer negen 
B: 	die staan bij mij aan de linkerkant 
B: 	net boven het midden 
A: 	bij mij staan die echt helemaal in de hoek 
B: 	oké nee 
A: 	oké 
A: 	ik hebben degeen met de lineaal en de penseel erin 
B: 	ja 
A: 	staan bij mij in het midden 
B: 	ja bij mij ook 
B: 	dat zijn G 
A: 	oké 
B: 	en die staan zo een beetje links van het midden bij mij 
A: 	ja link van het midden en wel net iets naar onder zeggen maar vergelijken met de horizontaal lijn 
B: 	ja 
B: 	ja hij staan ook een beetje in zo'n trap met met die hanenkam zeggen maar 
B: 	ja 
A: 	ja 
B: 	soort van 
A: 	die hanenkam zijn moeilijk want die kunnen we niet ja nee maar dat kloppen inderdaad ja 
B: 	ja 
B: 	dus denken wel hetzelfde 
A: 	dat kloppen 
B: 	nu hebben ik dat kop met die lineaal en dat penseel erin 
A: 	ja nummer vijf 
B: 	en die staan bij mij rechtsboven zeggen maar 
A: 	staan ook niks veel boven of naast bij mij 
B: 	nee 
B: 	er kunnen nog wel wat boven maar er staan niks boven 
A: 	ja 
A: 	er kunnen net één neg nog rechts bijna 
B: 	nee 
B: 	er kunnen er nog één rechts maar er zijn er er staan er nog één rechts en dan kunnen er nog één 
B: 	half 
A: 	nee dat kloppen niet dan 
B: 	dus dan zijn die andersom met een ander denken ik 
B: 	die ballerina staan er bij mij nog naast 
A: 	nee 
B: 	nee 
A: 	nee 
B: 	hij staan zeggen maar bij mij vanaf de verticaal lijn 
A: 	ja 
B: 	staan die aan de rechterkant 
A: 	en de horizontaal lijn 
B: 	en horizontaal staan die net Erboven 
A: 	zitten er wel net boven 
B: 	ja 
A: 	ja 
A: 	en dan 
A: 	en dan zullen er ja er zullen er zullen nog een half naast kunnen 
B: 	tot waar 
A: 	naar de buitenkant toe 
A: 	naar rechts toe 
B: 	nee 
B: 	nee 
B: 	er kunnen er kunnen er echt nog drie naast 
B: 	hij staan echt bijna bij dat kruis bij mij 
B: 	als je zeggen maar zo'n kruis trekken 
A: 	oké dan kloppen het helemaal niet inderdaad 
B: 	nee 
A: 	nee nee 
B: 	nee 
A: 	ik hebben de penseel en lineaal 
B: 	ja dat zijn J 
A: 	en dan staan die rechtsboven 
A: 	eigenlijk precies in het midden van dat vak 
B: 	nee 
B: 	daar staan bij mij die met dat neuspiercinkje 
A: 	ah nee nee 
B: 	dus dan zijn die andersom 
