B: 	oké 
B: 	deze hebben een soort van een plaat eromheen zitten 
B: 	als je snpen wat ik bedoelen 
A: 	even kijken 
B: 	dat zijn er 
A: 	ik denken dat aan de bovenkant of aan de onderkant 
B: 	ja een beetje aan de onderkant hij hebben zo'n armpjeachtig iets aan de linkerkant 
A: 	zo'n soort van L 
B: 	ja 
A: 	ja oké dan weten ik welk je bedoelen ik denken dat het nummer zes zijn 
A: 	ja 
B: 	hij staan bovenin 
A: 	ja 
B: 	en aan de rechterkant van het scherm 
B: 	maar veel richting de middellijn zeggen maar 
A: 	ja 
B: 	ja 
A: 	zullen er nog één boven passen of niet veel 
B: 	net niet 
A: 	ja oké dan denken ik dat die op dezelfde plek staan inderdaad 
B: 	ja 
A: 	ik hebben die een met dat vierkant laten maar zeggen een beetje aan de onderkant erdoorheen 
A: 	en dan die L aan de linkerkant 
B: 	die 
B: 	ja 
B: 	dat zijn C 
A: 	en bij mij staan die een helemaal bovenaan er passen er geen veel naar de bovenlijn en dan aan de rechterkant beetje in het midden laten maar zeggen 
B: 	ja 
B: 	ja daar hebben ik hem ook staan 
B: 	dit zijn die een met dat vlak eromheen 
B: 	dat vierkant zo 
B: 	en de L 
A: 	ja 
B: 	aan de linkerkant 
A: 	ja zijn bij mij nummer dertien 
B: 	en hij staan Linksboven 
B: 	past er misschien net één link naast maar geen boven net niet 
A: 	nee staan die bij mij niet 
B: 	oké 
A: 	ik hebben die een met de L aan de linkerkant 
B: 	even kijken 
A: 	en dat vierkant erdoorheen 
B: 	daar 
B: 	dat zijn J 
A: 	bij mij staan die net rechts van de middellijn aan de onderkant 
A: 	past er geen veel onder 
B: 	ja 
B: 	dat hebben ik ook 
B: 	dit zijn die een met het vierkant eromheen 
B: 	en de L aan de linkerkant 
A: 	searching sound 
A: 	nummer negen 
B: 	en hij staan aan de rechterkant van het scherm 
A: 	helemaal rechts 
B: 	ja 
B: 	er past hij past er zelf niet veel rechts naast 
A: 	bij mij passen er echt helemaal niks veel naast 
B: 	staan die echt tegen tegen de rand aan 
A: 	ja 
A: 	bijna wel ja 
A: 	echt een centimeter of zo ervan af 
B: 	nee dan nee bij mij passen er ja 
A: 	oké 
A: 	wachten ja dan moeten ik wel drukken 
B: 	dan moeten je ja 
A: 	ik hebben degeen met de de L aan de linkerkant 
B: 	dat zijn N 
A: 	bij mij staan die helemaal aan de bovenkant van het scherm 
B: 	ja 
A: 	en net iets ik denken net rechts van de middellijn 
B: 	ja hebben ik ook 
