A: 	ik vinden deze er heel plat uitzien omdat die rechts hebben die twee precies dezelfde ja een soort isteken zijn het eigenlijk 
A: 	en bovenop zijn een soort ja espressocu of zo of een hoed 
A: 	en links iets ik weten niet precies wat en link in het midden van het kop zitten nog een nog een vinne 
A: 	bovenop zitten zo'n ja klein cupje 
A: 	dat zijn het enig wat bovenop zitten 
B: 	ja een soort 
B: 	en die uitzien er plat uit 
B: 	en hij hebben aan de rechterkant staan twee 
A: 	ja 
A: 	ja precies dat zijn dat isteken 
B: 	oké ja ja ik vinden het een soort kip maar 
A: 	een kip 
A: 	ja ja ja ja oké 
B: 	dan zijn het zijn het I 
A: 	oké 
A: 	en hij staan bij mij even kijken iets omhoog en dan één naar links 
B: 	ja dat zijn dezelfde plek dus rood 
B: 	toch 
B: 	zelfde zijn rood ja 
A: 	ja ja 
A: 	zo ja 
B: 	dit zijn de kip 
B: 	met aan de rechterkant die twee of dat dat istek 
A: 	ja 
A: 	twee 
B: 	en dit poppet staan in het midden en dan een stuk naar links en een beetje naar onder 
A: 	ja beetje midden linksonder zeggen maar 
A: 	als als dat zo'n als dat als dat één als dat één als we die het heel scherm in twee vierkant onderverdelen staan 
B: 	ja 
B: 	ja dan staan die dan staan die aardig in het midden denken ik ja 
A: 	ja 
A: 	oké dan staan die op dezelfde plek rood 
A: 	dit zijn de kip 
B: 	de kip 
B: 	dat zijn M 
A: 	met het isteken 
B: 	ja 
A: 	en hij staan bijna helemaal linksonder 
B: 	ja 
B: 	dat zijn dezelfde plek dus rood 
A: 	ja 
B: 	dit zijn de kip 
A: 	negen 
B: 	hij staan boven 
B: 	en dan naar de linkerkant 
A: 	ja 
A: 	kunnen nog één boven net 
B: 	net kunnen er één boven en aan de ander linkerkant kunnen twee figuur nog wel 
A: 	ja 
A: 	dezelfde plek rood 
A: 	ja 
A: 	de kip 
B: 	de kip dat zijn F 
A: 	en iets naar beneden 
A: 	of een heel stuk naar beneden 
A: 	iets naar rechts 
A: 	niet helemaal naar beneden er zijn nog een wit lijn een wit stuk er wel tussen maar daar kunnen geen figuurt veel net niet 
B: 	en staan die echt een beetje rechts 
B: 	of een heel stuk rechts 
A: 	een wel een stuk 
A: 	als het hebben jij ook drie dat er daar drie figuurt zitten 
B: 	ja 
B: 	er zitten drie figuurt bij elkaar ja 
A: 	ja 
A: 	en de middel zijn het 
B: 	oké 
B: 	maar bij mij kunnen er echt nog wel drie figuurt tussen aan die ander kant 
B: 	of aan de rechterkant kunnen echt nog wel drie figuur tussen 
A: 	ja 
A: 	oeh wachten even 
A: 	drie figuur 
A: 	nee dat ja trouwens wel 
A: 	ja 
B: 	ja 
A: 	zijn het de middel van die drie onderste zeggen maar 
B: 	het zijn de middel van de drie onderste en er kunnen echt nog een hoop tussen 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	dus dan kloppen het dan zijn het rood 
A: 	rood 
A: 	ja 
B: 	kip 
A: 	zes 
B: 	en de kip staan in het midden 
B: 	en dan een stuk naar links 
A: 	ja 
A: 	zelfde plek 
