A: 	oké het zijn een ja kop en daarvoor zitten zo'n zo'n verticaal vierkant staaf en dan bovenop een balle 
A: 	en dan links en rechts beide een een een ronde staaf met een knik erin 
B: 	ja 
B: 	dat zijn D 
A: 	en hij staan ja op de onderste ja rij 
A: 	en dan ja net iets link van het midden 
B: 	ja bij mij ook en bij mij zitten nog zo'n stuk ruimte tot de rand van de onderkant 
A: 	ja 
B: 	en echt ja echt net links van het midden bij mij 
A: 	ja 
A: 	ja net links naast het midden 
A: 	ja 
A: 	bij mij ook 
B: 	dat zijn wel zelfde denken ik 
A: 	ja 
B: 	dan moeten ik op geel knop drukken 
B: 	deze hebben een bolletje aan de bovenkant liggen 
B: 	en dan zo'n vierkant staaf aan de voorkant 
B: 	en dan die hebben we al hebben trouwens en aan de linkerkant zo'n rond buisje aan de rechterkant ook maar dan afgekapt 
A: 	ja 
A: 	ja 
A: 	ja met die verticaal buis 
B: 	buis 
B: 	ja 
B: 	staaf 
A: 	ja 
B: 	ja 
A: 	dat zijn vijftien 
B: 	bij mij staan die helemaal rechtsonder met nog zo'n stuk van beide rand af denken ik 
A: 	ja bij mij staan die in het midden van de rechterhelft dus veel veel naar links toe 
B: 	ja 
A: 	dus niet dezelfde plek 
B: 	zijn niet hetzelfde 
A: 	dit zijn die met die verticaal balk voorop 
A: 	bovenin dat balle 
A: 	en aan beide zijkant zo'n buigen ronde staaf 
B: 	ja 
B: 	dat zijn L 
A: 	hij staan als je het midden hebben link van het midden 
A: 	maar nog niet op de helft maar wel gewoon links 
B: 	ja 
A: 	en als je van boven naar beneden kijken het midden van de bovenste helft 
B: 	ja bij mij ook even kijken hoor 
B: 	bij mij staan die wel op de helft van zo'n kwart zeggen maar 
B: 	denken ik 
A: 	op de helft van de linkerhelft bedoelen je 
A: 	in het midden van de linkerhelft of niet 
B: 	nee als je zeggen maar weer die helft door de helft delen 
A: 	ja in het midden van zo'n zo'n zo'n kwart dan bedoelen je 
B: 	ja 
A: 	ja 
A: 	dat wel 
B: 	dan zijn het wel hetzelfde denken ik 
B: 	dit zijn die met het bolle bovenop 
B: 	en dan vierkant staaf ervoor en dan die staaf links en rechts horizontaal 
A: 	ja die verticaal balk 
B: 	ja 
A: 	dat zijn zes 
B: 	hij staan op de rechterhelft en dan niet precies het midden daar weer van maar daar net rechts van 
B: 	en dan zo zijn het wel het midden denken ik 
A: 	nee bij mij zitten die een stuk laag 
A: 	veel in het midden van de onderkant 
B: 	oké dan zijn het niet hetzelfde 
A: 	nee 
A: 	dit zijn die met de verticaal staaf aan de voorkant en het bolle 
A: 	en die twee haak aan de zijkant 
B: 	ja 
B: 	dat zijn J 
A: 	hij staan rechts 
A: 	best wel het midden van de rechterhelft 
A: 	en ook best wel het midden van boven en onder 
B: 	bij mij ook 
B: 	hij staan wel iets veel naar rechts 
B: 	klein beetje iets veel naar rechts 
A: 	net ja 
B: 	misschien net iets veel naar boven 
B: 	klein beetje 
A: 	nou best wel het midden 
B: 	zeggen maar als ik precies het midden doen dan raken die wel het onderstuk van het staaf 
B: 	maar de rest zitten er wel boven 
A: 	bij mij gaan de middellijn wel veel door echt het midden van het midden 
B: 	dan 
A: 	maar hoeveel hebben hoeveel ruimte hebben jij rechts ook 
B: 	zo 
A: 	dat kloppen dan weer wel 
A: 	ja misschien iets veel naar boven 
B: 	denken wel dat het zelfde zijn 
A: 	ja 
B: 	dit zijn die met bolle aan de bovenkant en dan vierkant staaf aan de voorkant en die twee dun dinge aan de zijkant 
A: 	ja 
A: 	ja die verticaal staaf 
B: 	ja 
A: 	dat zijn drie 
B: 	hij staat bijna tegen de rechterrand aan 
B: 	en dan iets onder dit midden 
A: 	ja 
A: 	ja maar best wel rechts 
B: 	ja 
B: 	nog zo'n stuk tot de rand 
