B: 	dit kop hebben vier uitsteeksel als eerst rechts weer zo'n ei op het kop 
B: 	dan opsteken er een rechthoekig plank uit en een ja 
A: 	kegel bowlingding 
B: 	ja zo kunnen je het noemen ja en het lijken een soort driehoekig dinge naar de linkerkant 
A: 	ja 
A: 	ja ja ja 
A: 	ja oké 
A: 	bij mij zijn dat veertien 
B: 	en deze staan net op de rechterschermhelft 
B: 	en dan ook net rechts rechts nee onder die verticaal lijn weer 
A: 	ja 
B: 	horizontaal sorry 
A: 	ja dan ja hetzelfde denken ik dan 
B: 	oké 
A: 	deze hebben weer zo'n ei aan de voorkant van het kop 
A: 	en dan opsteken er een gewoon een normaal rechthoekig balk uit 
A: 	en weer die kegelvorm op zijn kop 
A: 	en dan links nog een klein driehoekachtig balk 
B: 	ja dat zijn N 
A: 	en bij mij staan die helemaal links 
A: 	en dan net iets boven de horizontaal lijn 
B: 	dat zijn anders 
B: 	dit zijn die met het ei erop aan de rechterkant een balk steken uit en die kegel 
A: 	ja ja ja 
B: 	en aan de linkerkant steken nog een balk uit 
A: 	negen 
B: 	en die staan op de linkerschermhelft best wel naar de linkerkant 
B: 	en horizontaal zien bijna in het midden maar net iets Erboven 
A: 	nee dat zijn hem niet 
A: 	dit zijn dat ei aan de voorkant weer en dan een normaal balk Erboven en een kegel 
A: 	en dan nog een driehoek driehoekbalk aan de linkerkant 
B: 	ja dat zijn G 
A: 	en als je dan je scherm door de midden doen dan gaan die net naar links 
B: 	en net iets eronder het midden 
A: 	ja ja 
B: 	ja oké 
B: 	dit zijn even kijken een ei aan de voorkant 
B: 	en één rechthoekig balk eruit en één kegel eruit 
B: 	en aan de linkerkant nog een balk 
A: 	vijf 
B: 	en aan de rechterkant van het scherm 
B: 	zitten die verticaal zien net iets naar links 
B: 	en horizontaal zien net iets naar boven 
A: 	ja bij mij zitten die weer net iets naar rechts dus ik gok van niet 
A: 	dit zijn met een ei voorop en dan zo'n normaal balk eruit die kegel en dan een nog een driehoek aan de linkerkant 
A: 	driehoekbalk 
B: 	wat ? kunnen je het nog een keer zeggen 
A: 	een ei aan de voorkant 
B: 	ja ja 
A: 	en dan een normaal rechthoekig balk erbovenuit 
B: 	en die kegel 
A: 	en dan een omgekeerde kegel en dan nog een driehoekbalk aan de linkerkant 
B: 	ja ja dat zijn J 
A: 	en hij staan aan de rechterkant van mijn schermhelft 
A: 	en als je die in twee zullen doen staan die verticaal zien wel redelijk in het midden 
A: 	maar wel ver boven de horizontaal lijn 
B: 	nee 
