A: 	ok 
A: 	okan ja deze doen me niet per se aan iets denken of zo dus ik gaan hem gewoon omschrijven die hebben aan de voorkant een 
A: 	best wel lang rechthoekig balk en aan de twee zijkant een soort rond uitsteek aan allebei te kant en op de bovenkant een rond 
B: 	o ja volgens ja ik denken wel dat ik weten tenminste mij doen het beetje denken aan Bolpuntcom man ik weten niet of je het dan 
A: 	Bolpuntcom man ja ik snapen wel wat je bedoelen 
B: 	ja ok dan zijn het denken ik wel dezelfde ja dan dat zijn bij mij in ieder geval D 
A: 	okan ja 
A: 	ok bij mij zeven 
B: 	o dan moeten ik eerst nog drukken 
A: 	ja 
A: 	bij mij staan hij helemaal onderaan redelijk in het midden maar net iets naar links 
A: 	en aan de linkerkant staan er wel één met een klein beetje afstand en aan de rechterkant duren het best wel lang voordat er één komen 
B: 	o dan zijn hij niet hetzelfde want bij mij staan best wel dicht zeggen maar rechtsboven zitten al gelijk wat 
A: 	o nee nee dan 
B: 	ok 
B: 	o dit zijn o dit zijn weer dezelfde beetje dat bolpuntcom man waar het mij aan doen denken met die armpjes zo aan de zijkant en dat blok 
A: 	o 
B: 	er voor 
A: 	en dat bolle op zijn hoofd toch ? ja ok bij mij zijn dat vijftien 
B: 	ja ja 
B: 	ok bij mij K 
A: 	ok 
A: 	moeten even wennen dat het allemaal anders staan 
B: 	ja 
B: 	en het zitten zeggen maar echt gewoon echt helemaal rechts in de hoek gewoon 
A: 	nee 
B: 	ok 
A: 	dit zijn wat zeggen je hier ook alweer hier over ? Bolpuntcom man 
B: 	o die okan ja dat zijn bij mij L 
A: 	ja even om zeker te zijn dat ik wel de goed hebben die een met die pilaar hier zo en dan het hoofd en die armpjes zo ja bij mij oklen ja bij mij zijn dat twee 
B: 	ja ja die ja 
B: 	ok 
B: 	jij moeten omschrijven waar hij ja 
A: 	hij zitten zeggen maar tussen één vier en het midden in van link 
A: 	en er zitten niks direct boven maar hij zitten wel weer een beetje bij dat groep waar hij wel omringen zitten 
B: 	o ja dan zijn hij op dezelfde plek ja 
A: 	ok 
B: 	o wachten gaan ik weer even uitleggen 
A: 	ja maken ook eigenlijk niet uit gaan er om dat ze op dezelfde plek staan maken niet uit hoe je het uitleggen 
B: 	ja dat zijn waar 
B: 	dit zijn het Bolpuntcom man met een blok voor 
A: 	ja zijn zes 
B: 	ok bij mij M 
B: 	en hij staan zeggen maar beetje zo op het midden en dan denken ik op één vier deel van rechts 
A: 	zijn het zeggen maar van al poppet de veel rechts in de onderste hoek 
B: 	hij staan niet heel erg hij staan beetje midden hij staan niet nee zitten zeggen maar links onder schuin zitten nog wat maar best wel dichtbij en rechtsboven ook wat 
A: 	nee 
A: 	denken niet dat het bij mij zijn het best wel ja het zijn niet pers rechts in de hoek helemaal maar als je het vergelijken zijn het wel de veel rechts in de hoek zeggen maar 
B: 	ja ok nee dan zijn het denken ik een ander ja 
A: 	okan ja ander plek 
A: 	ja 
A: 	dit zijn het Bolpuntcom 
B: 	even kijken waar die zijn o daar J 
A: 	ja vijftien bij mij 
B: 	o 
B: 	even gauw de dinge 
B: 	o ja o ik zijn echt slecht 
A: 	hij zitten wel zeggen maar naar rechts toe maar niet het veel rechts en dan wel mooi in het midden ongeveer zitten niks boven en wel één direct onder 
B: 	maar echt wel ver naar rechts ? gewoon echt echt heel ver naar rechts of net van het midden af 
A: 	nn ja allebei niet eigenlijk er passen zeggen maar aan allebei de kant tot je aan de midden komen of tot dat je helemaal rechts komen zullen er nog één tussen toepassen 
B: 	even kijken zijn het dan een beetje zo op zeggen maar als je de helft van het beeldscherm hebben en daar de helft van zeggen maar beetje op ja die één vier van rechts 
A: 	ja op zich wel ja als je zeggen maar de helft van het beeldscherm indeellen in drie stuk dan zijn het zeggen maar precies het middel stuk 
B: 	ik hebben 
B: 	even denken 
B: 	ja ok dan ja nee dan dan zijn hij denken ik wel hetzelfde ja 
A: 	ja 
B: 	ja ja 
A: 	ok 
B: 	het bolpuntcom poppe 
A: 	ja even zoeken zijn drie bij mij 
B: 	ok bij mij A 
B: 	en hij staan helemaal rechts en dan net klein beetje onder het midden 
A: 	ja bij mij ook 
