A: 	oké ik we noemen dit man met de puntmuts het zijn eigenlijk de enig die zo'n soort van punt op zijn ding hebben en dan hebben die een soort van heel groot dik neus aan de rechts kant zitten 
B: 	ja 
B: 	ja 
A: 	en een soort van ja wat zijn het ? een soort van punt van een potlood wat dan aan de zijkant erin priken of zo 
B: 	ja hebbes 
B: 	ja ja 
B: 	wat hem heel pijn doen dat zijn J 
A: 	die staan bij mij rechts onderin in het in het kwadrant 
A: 	en dan zullen er denken ik ongeveer nog anderhalf rechts naast kunnen 
A: 	en er zullen niks veel onder kunnen 
B: 	ja 
B: 	en hij zitten ongeveer in het midden van dat kwadrant dan 
A: 	ik denken dat die ongeveer in het ja hij zitten net iets 
B: 	iets naar rechts 
A: 	ja ja ja ja zijn dezelfde plek ja 
B: 	ja 
B: 	dit zijn die een met die puntmuts en dat groot blok 
A: 	ja die staan bij mij sorry 
B: 	moeten jij eerst zeggen welk het zijn denken ik 
A: 	ja ik zien hem dat zijn nummer zes 
B: 	bij mij staan die in het rechtsonder kwadrant en dan ja onder kunnen er nog één aan de aan de ander kant rechts ook nog één 
A: 	ja 
A: 	ja ja als je daar weer een vierkant zullen maken zullen die daar weer helemaal linksboven van staan maar dan zullen er als ze er vier zullen plaatsen zeggen maar 
B: 	ja 
B: 	ja 
B: 	ja ja ja 
A: 	ja zelfde plek 
A: 	geel 
A: 	dit zijn die een met de puntmuts en die heel groot neus 
B: 	ja 
A: 	ja 
B: 	E 
A: 	rechtsonderkwadrant tegen de middellijn aan en er zullen misschien nog net een half boven kunnen of zo 
B: 	nee er kunnen wel iets veel boven hier nog 
B: 	dit zijn die met dat puntmutsje op en die groot neus 
A: 	ja nummer tien 
B: 	hij staan bij mij linksonder en er kunnen nog een half onderlangs en rechts nog een heel 
B: 	link sorry 
B: 	wauw 
B: 	ik zitten nu al voor jou 
A: 	links of rechts 
B: 	link voor mij links 
A: 	voor mij staan het namelijk zo dat als ik hem linksonder kijken in het kwadrant kunnen er nog twee link naast 
B: 	ik proberen het voor jou 
B: 	nee twee 
A: 	echt makkelijk nog twee 
B: 	zijn in de war 
B: 	maar zeggen maar tegen de het schermkant aan het einde daar kunnen er nog één naast 
A: 	ja 
A: 	nee echt niet 
B: 	oké dan zijn hem dat dus niet 
A: 	nee nee nee 
B: 	ik zijn nu in de war met links en 
A: 	ja 
A: 	dit zijn de puntmuts met de groot neus 
B: 	ja G 
A: 	staan in het Linksbovenkwadrant 
A: 	en een ja bijna in de hoek Linksboven maar dan net iets 
B: 	ja 
B: 	kunnen nog halfje link 
A: 	ja ja 
B: 	en dan een klein beetje 
A: 	zu we vanaf nu zeggen maar afspreken die format afhankelijk van het van het poppe wat we proberen te omschrijven 
A: 	dan kunnen we want sommig zijn wat groot dan de ander 
B: 	ja 
B: 	ja 
B: 	de puntmuts en de neus 
A: 	ja nummer tien 
B: 	staan bij mij rechtsonder 
B: 	redelijk bij 
A: 	naar boven toe 
B: 	ja maar niet tegen de lijn aan en dan iets veel naar rechts 
A: 	iets veel rechts van het 
A: 	ja ja ja hebben ik ook 
B: 	ja 
