B: 	ik hebben het doen me altijd aan gamen denken 
B: 	zo'n joystick bovenop en zo'n vierkant plaat aan de zijkant 
A: 	ja 
B: 	en twee van die verrekijkertjes aan de zijkant 
A: 	ik denken dat ik weten welk je bedoelen 
A: 	een joystick 
B: 	of een paddenstoel 
B: 	lijken erbovenop te vaststaan 
B: 	met twee van die verrekijker eigenlijk aan de zijkant 
A: 	ja ja ja 
A: 	ja 
A: 	ja dat zijn nummer twee bij mij 
A: 	en dan hebben die zo'n plaat aan de zijkant toch 
B: 	ja 
A: 	ja 
B: 	oké hij staan bij mij onderaan aan het scherm 
B: 	en dan als je iets link van het midden 
A: 	oké 
A: 	nee 
B: 	nee ? 
A: 	bij mij 
A: 	die die verrekijker met die met die plaat die gamer 
B: 	ja 
B: 	dat zijn G 
A: 	en dan centrum centrum en dan iets veel naar onder iets veel naar links 
B: 	de gamer 
A: 	ja dat zijn negen 
B: 	en dan centrum centrum 
B: 	en dan ongeveer vijftig procent naar onder en dan klein stuk naar links 
A: 	ja 
A: 	die met die verrekijker die gamer 
B: 	oké dat zijn D 
A: 	en die staan bij mij ongeveer wel centrum centrum iets hoog misschien maar 
B: 	bij mij ook 
B: 	de gamer 
B: 	met de twee verrekijker 
A: 	ja dat zijn nummer één 
B: 	ongeveer midden midden iets naar rechts 
B: 	klein beetje 
A: 	ja en iets hoog misschien ook of niet 
B: 	ja iets hoog misschien 
A: 	ja 
A: 	die met die verrekijker die gamer 
B: 	ja 
B: 	ja 
B: 	B 
A: 	en staan die van mid mid ja best wel wat naar onder en een heel klein stuk naar rechts 
B: 	ongeveer vijfentwintig procent naar onder ? ongeveer dertig procent naar onder 
A: 	ja 
A: 	ja 
B: 	vanuit mid mid en dan een klein stuk naar rechts 
A: 	ja 
B: 	ja 
