A: 	deze hebben een soort handvatding aan de bovenkant 
A: 	en dan aan de rechterkant een blok op een groot blok op een groot blok op een groot blok 
B: 	en zitten er link nog twee dinget 
A: 	ja datzelfde ding als die bovenop hebben zitten aan de linkerkant en daarachter zitten ook nog een dinge 
B: 	oké dan zijn het E 
A: 	en hij zitten bij mij aan de rechterkant van het scherm 
A: 	ongeveer in het midden 
B: 	nee 
B: 	bij mij zitten er nog zitten er nog één rechts van 
A: 	nee dat zijn bij mij niet 
B: 	oké dan zijn het een ander 
B: 	of ja ander plek 
B: 	deze hebben een soort ja 
B: 	kegel erop die er ook voor zitten en dan rechts die blok weer die steeds een klein blok en dan een groot blok en dan nog groot blok 
A: 	een kegel bovenop 
B: 	en links aan de zijkant nog 
A: 	en links aan de zijkant 
B: 	dat zijn ongeveer dezelfde kegel 
B: 	volgens mij zijn het één van de één die we hebben 
A: 	en zitten er ver nog wat 
B: 	ja rechts in elkaar stapellen blok 
B: 	en links boven dat kegelding zitten nog een klein raar frutje 
A: 	ja ik denken ik denken dat ik hem dat ik hem hebben 
A: 	dat zijn elf 
B: 	die wat we net hebben die iets rechts van het midden 
B: 	daar linksboven van 
A: 	nee bij mij zitten die er juist link een beetje onder 
B: 	nee dan zijn het niet hetzelfde 
A: 	oké 
A: 	deze hebben weer die soort kegel bovenop en dan ook aan de zijkant aan de 
A: 	linkerkant en dan die vierkant die steeds groot worden 
B: 	ja dat zijn bij mij J 
A: 	en je hebben er één rechtsboven staan 
A: 	daar zitten die schuin onder 
B: 	schuin onder als in je hebben er hier rechtsboven één en dan hebben je daar schuin onder en dan hebben je er daar nog één 
A: 	nee als je zeggen maar je hebben die een rechtsbof 
B: 	zijn die veel naar rechts of veel naar het midden 
A: 	hij zitten ja op een kwart of een drie of zo van rechts 
A: 	je hebben 
B: 	dan zijn het niet hetzelfde 
B: 	mijne zitten veel centraal 
B: 	hij zitten zeggen maar als je de bovenste hebben die ongeveer in het midden zitten 
B: 	daar iets rechts onder 
A: 	ja als je zeggen maar vanaf de rechterkant gaan tellen 
A: 	dan hebben je boven die zijn het veel rechts 
A: 	dan hebben je een stuk naar onder die dan het veel rechts zijn 
A: 	en dan hebben je de drie die het veel rechts zijn en die zijn het bij mij 
B: 	oké wacht wow wow nog een keer 
A: 	als je gaan kijken welk het veel rechts zijn 
B: 	ja 
A: 	dan hebben je als één die helemaal rechtsboven die zijn het veel rechts 
B: 	ja 
A: 	daarna gaan je een stuk naar onder 
A: 	die zijn daarna het veel rechts 
A: 	en dan gaan je een heel klein stuk naar boven 
A: 	want die zijn de drie veel rechts zeggen maar 
B: 	ja 
A: 	en die zijn het 
B: 	nee dat zijn niet hetzelfde 
B: 	deze hebben weer die twee kegel en die blok die 
A: 	ja die één aan de voorkant één aan de zijkant en dan die blok ja 
B: 	ja 
A: 	dat zijn bij mij nummer negen 
B: 	je hebben er rechts drie op een rij 
A: 	ja 
B: 	daar de veel rechtsonder van zeggen maar 
A: 	nee hij zitten er zitten bij mij hij zijn niet de veel iets zeggen maar hij zitten ingevouwen door allemaal ander ding 
B: 	dan zijn het niet dezelfde 
A: 	niet dezelfde 
A: 	deze hebben weer die kegel bovenop en die kegel aan de zijkant en dan die vierkant die steeds groot worden 
B: 	B 
A: 	en we hebben net die met die balk 
A: 	daar rechts boven zitten er één 
B: 	ja 
A: 	dat zijn deze 
B: 	nee 
B: 	deze zijn weer met die twee ding die zo gaan 
A: 	ja met die vierkant die steeds groot worden ja dat zijn nummer vier 
B: 	en die 
B: 	ja 
B: 	de veel Linksboven 
A: 	ja dat zijn dezelfde plek 
