A: 	bij mij zijn dit het kop 
A: 	en aan de rechts kant hebben die een soort van plateau alsof die een dienblad vasthouden 
B: 	ja die zo hebben ik hem ook omschrijven moeten hem even zoeken 
A: 	en aan de 
A: 	ja en aan de linkerkant hebben die een soort van raar neus waar een soort van popnagel inslagen lijken te worden 
B: 	hier 
B: 	ja hebbes 
A: 	of een trompet eruit lijken te komen net wat je wat je willen ja 
B: 	ja 
B: 	maar dan met een vierkant ding eraan 
B: 	geen rond 
A: 	ja ja ja ja ja 
B: 	ja 
B: 	oké dat zijn L 
A: 	die staan bij mij linksonderkwadrant 
A: 	kunnen niks veel onder en hij staat ongeveer in het midden 
B: 	nee er kunnen bij mij nog wel wat onder 
A: 	oké dan 
B: 	mijn staan nog veel ver naar links 
B: 	dit zijn die een met dat dienblad en dat aan de ander kant zo'n raar pijl 
A: 	ja 
A: 	even kijken waar staan die 
A: 	ja met die soort van popnagel die erin slaan worden ja 
B: 	ja die 
A: 	dat zijn bij mij zeven 
B: 	hij staat duidelijk in het linksbovenkwadrant en dan veel richting de middellijn maar dan wel bijna helemaal boven kunnen nog een half boven denken ik 
A: 	ja 
A: 	nee bij mij zitten die wel ver naar beneden dus dat zijn niet dezelfde plek 
B: 	nee 
A: 	dit zijn die een met dat dienblad en die nagel die erin slaan worden 
B: 	ja 
B: 	waar zijn je 
B: 	ik denken dat ze hem eruit hebben 
B: 	hier 
B: 	C 
A: 	en die staan bij mij tegen de middellijn aan maar in het rechtsbovenkwadrant en er zullen denken ik nog net één onder kunnen of zo 
B: 	nee hij staan onder 
B: 	nee 
B: 	dit zijn die een met dat dienblad en die dat raar spijkerdinge 
A: 	ja nummer één 
B: 	hij staan bij mij ja wat zullen we zeggen linksonder 
B: 	maar dan wel tegen de bovengrens aan er kunnen er nog een half denken ik misschien iets veel link ernaast 
A: 	ja ja 
A: 	ja ja ja ja half à heel misschien wel ja 
B: 	ja 
B: 	liggen eraan hoe groot die zijn 
A: 	ja denken ik wel ja 
A: 	dit zijn die een met het dienblad en die spijker die in zijn raar neus komen 
B: 	ja 
B: 	dat zijn A 
A: 	zitten op de horizontaal lijn ongeveer 
A: 	in het ja ik dus of het linksonder of Linksbovenkwadrant 
A: 	en dan ongeveer in het midden 
B: 	ja 
A: 	van die twee kwadrant 
B: 	zullen ik gewoon beginnen met hij staan in het Linkerkwadrant 
B: 	die met het dienblad 
B: 	blaad 
A: 	die staan bij mij of die hebben ik dertien 
B: 	zijn die bij jou ook links 
A: 	link op op de middellijn 
B: 	nee staat niet op de middellijn 
B: 	dus dat zijn dan al ja 
A: 	dan moeten ik dat doen ja 
