B: 	oké de volgen 
B: 	deze hebben dat een een vierkant plaat in het midden die hem zeggen maar doormidden haalt 
A: 	ja en dan zo'n soort schoorsteen aan de linkerkant 
B: 	ja en twee haart bovenop 
A: 	haart ja 
A: 	oké dan zijn het nummer zes 
B: 	hij staan als je verticaal middellijn hebben helemaal bovenin en dan één positie naar rechts 
A: 	ja daar hebben ik ook 
B: 	ja 
A: 	oké 
A: 	dan staan die gelijk 
A: 	dit zijn die een met dat vlak dwars erdoorheen 
B: 	oké 
A: 	en met die twee spriet bovenop 
B: 	dat zijn bij mij C 
A: 	en die staan helemaal bovenaan in de rechterslinger 
B: 	ja 
B: 	bij mij ook 
B: 	oké 
B: 	dit zijn die met het met de plaat doormidden zijn gehakt 
B: 	en de twee schoorsteent bovenop 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	staan helemaal linksboven 
A: 	nee 
A: 	dit zijn die een met het vlak dwars doormidden snijden 
B: 	ja 
A: 	met die twee ding bovenop 
B: 	dat zijn J 
A: 	en die staan in het midden helemaal naar beneden 
B: 	ja bij mij ook 
B: 	door het vlak doormidden halen 
A: 	ja dat zijn nummer negen 
A: 	nummer negen 
A: 	ja 
B: 	het zijn de als je de middellijn hebben horizontaal de veel rechts en dan de de bovensten zeggen maar 
A: 	nee ik hebben de een die eigenlijk het allermeest naar de rechterkant staan 
B: 	rechtsbof 
B: 	ja en dan naar beneden die van jou 
A: 	ja er staan er uitstaan er eigenlijk twee best wel ver aan de rechterkant 
B: 	ja 
A: 	en daarvan staan er één aan de bovenkant en één aan de 
B: 	ja ja ja 
B: 	mijn zijn de boven 
A: 	ik hebben 
A: 	ja ik hebben de 
A: 	dus dan niet 
A: 	de een met de balk dwars door de midden met de twee twee haart 
B: 	dat zijn N 
A: 	en die staan vanaf de middel één daarboven 
B: 	ja 
