A: 	oeh 
A: 	ik hebben beschrijven als zeggen maar iets van die elektrisch fiets 
A: 	deze hebben van die die twee hendel en dan zo'n mooi schermpje of zo 
A: 	waar de snelheid op staat en zo 
B: 	ja nou die dat zien zitten allemaal aan de achterkant van dat ding 
A: 	ja 
B: 	of niet 
A: 	ja 
B: 	ik ik vinden hem een beetje op een honkbalknuppel lijken die achter een kop liggen 
A: 	dat kunnen ook 
B: 	ja 
B: 	K 
A: 	oké 
B: 	bij mij zitten die zeggen maar als je het in weer in vier deel zo 
A: 	ja 
A: 	ja 
B: 	zitten die in dit deel en dan in het midden 
A: 	in het midden 
B: 	ja 
A: 	nee oké 
A: 	want we hebben dezelfde plattegrond toch jawel 
A: 	van mij zijn dan helemaal linksboven dan 
B: 	ja bij bij jou moeten die dan hier in het midden staan ongeveer van dat vlak 
A: 	ja 
A: 	nee oké dan niet 
B: 	oké 
B: 	nu hebben ik weer die met die met die hoe heten dat ? met die honkbalknuppel 
A: 	ja 
A: 	ja 
A: 	ja oké 
A: 	negen 
B: 	en bij mij staan die ja hij staan als je het in vier vlak verdeelen staan die in rechts 
B: 	in de rechterbovenvlak 
A: 	en dan aan 
B: 	en dan wel een beetje 
A: 	beneden 
B: 	ja 
A: 	want ja ik hebben zeggen maar één helemaal boven tegen dat rand aan of bijna 
B: 	ja 
A: 	en één daar beneden 
B: 	ja bij mij ook 
A: 	ja ? oké 
A: 	dit zijn ik weten niet veel wat je jij hier veel zeggen die handvat met die wat ik toen zeggen van die elektrisch fiets 
B: 	ja 
A: 	die honk die honk 
B: 	honkbalknuppel 
A: 	ja 
B: 	ja 
B: 	even kijken dat zijn F 
B: 	nu zijn het wel moeilijk ja 
A: 	oeh 
A: 	het kunnen op zich als je gewoon werkelijk de helft van de helft toenemen aan de linkerkant 
B: 	bij mij staan die zeggen maar komen het einde van die honkbalknuppel als je een lijn naar beneden trekken komen die net volgens mij net op die B van het logo 
A: 	nee dan niet dan niet dan niet 
B: 	dan hebben we een ander 
A: 	ja 
B: 	die honkbalknuppel 
A: 	ah weer opnieuw weten iets 
B: 	hebben ik nu 
A: 	drie 
B: 	en hij staan zeggen maar tussen linkerhoek en het logo en dan staan die daar in het midden 
A: 	oké nee dan niet 
A: 	hoeveel hoeveel plaat hebben jij naast elkaar ? ook twee 
B: 	ja 
A: 	oké nee dan niet 
A: 	de honkbalknop 
A: 	of hoe dat ding heten 
B: 	ja 
B: 	L 
A: 	dat driehoek en dan zijn het één driehoek die je zeggen en dan rechts daarvan 
B: 	nee bij mij niet 
A: 	oké 
A: 	weer 
B: 	die honkbalknuppel 
B: 	of elektrisch fiets 
A: 	ja vijf 
A: 	we kunnen trouwens weer van die vorm maken dat zijn echt eigenlijk wel handig 
B: 	ja 
A: 	ja 
B: 	hij staan ja 
A: 	link van het logo zeggen maar 
B: 	nee bij mij staan die bijna midden boven het logo 
A: 	oké 
A: 	maar wel links 
A: 	of rechts 
B: 	nee in het midden 
A: 	zo ja 
