B: 	oké 
A: 	oké 
B: 	hebben die onder poot zeggen maar 
A: 	nee 
B: 	nee 
A: 	hij hebben een lepeltje 
B: 	een lepeltje 
A: 	ja ik noemen het een lepeltje 
B: 	ja 
A: 	er zitten een lepeltje in het beker 
B: 	hebben die zo'n vierkant ding op zijn rug zeggen maar 
A: 	nee hij hebben een neus met een piercing 
B: 	ja ja 
B: 	nummer F 
B: 	staan die links rechts 
A: 	rechts 
B: 	rechts 
B: 	een beetje midden rechts 
A: 	nee wel een stuk van het scherm af en een beetje in het midden 
B: 	oké 
B: 	een beetje een stuk van het scherm af 
B: 	en dan veel naar boven toe of veel naar onder toe 
A: 	beetje eigenlijk wel in het midden van het scherm 
B: 	oké dan denken ik dat het O zijn 
B: 	deze hebben die neuspiercing 
B: 	met een bolle met die ja 
A: 	ja 
A: 	ja ja ja 
A: 	met dat lepel 
B: 	ja 
A: 	ja 
A: 	vijf 
B: 	het zijn aan de linkerkant en er staan er nog één schuin boven 
A: 	nee 
B: 	en dan 
A: 	zijn neuspiercing 
B: 	A 
A: 	en hij staan rechts en ver rechts kunnen zitten niks 
A: 	van hem 
B: 	er zitten er zeggen maar schuin boven nog één en schuin eronder 
A: 	of hij staan onder maar er zitten er link schuin links zitten nog wel iets maar voor de rest zitten helemaal niks 
B: 	nee 
B: 	neuspiercing 
A: 	vijf 
B: 	en hij zitten in het midden van de rechterkant van het scherm en er zitten er nog één naast 
B: 	aan de rechterkant 
A: 	ja aan de linkerkant 
B: 	nee 
A: 	nee 
A: 	zijn de neuspiercing weer 
B: 	H 
A: 	en hij zitten nou hij worden bijna rammen door die ander onderzeeër 
A: 	en hij zitten in het midden 
B: 	in het midden 
A: 	onderaan 
B: 	en dan zitten er zo'n rij van drie 
A: 	ja een beetje zo ja 
B: 	ja beetje zo schuin 
B: 	ja 
B: 	en dan de veel links 
A: 	ja 
B: 	ja 
B: 	die Piercingman 
B: 	mij doen het echt aan een wcontstopper denken 
B: 	als hij dat zo in zijn hand hebben 
A: 	ja zo 
B: 	ja 
B: 	toch 
A: 	ja 
A: 	zo van ik komen eraan ja 
A: 	zijn vijftien 
B: 	hij zitten rechts in het midden een beetje en dan een iets veel naar boven en dan zitten er schuin boven zitten er nog één 
A: 	één of meerdere 
B: 	hij zitten nou één 
A: 	nee 
