A: 	oké ik hebben nu die een met een soort van rechts een soort van uitschuifschijf 
A: 	en links zijn een raar vorm 
A: 	waar nog weer een ander soort van pilaar uit opsteken 
B: 	ja 
A: 	hij hebben best wel veel uitsteeksel bovenop hebben die niks 
B: 	ja 
A: 	oké 
B: 	dat zijn L 
A: 	oké en bij mij staan die dan best wel links van het scherm 
A: 	passen nog misschien wel twee 
A: 	naast hij staan een beetje op dezelfde hoogte van links en rechts als die we zonet hebben toen jij zeggen er toepassen er zeker twee naast 
B: 	oké ik 
A: 	op die hoogte staan die maar dan links en er past nu dus niks onder veel 
B: 	hier past wel iets onder en niks link dus dan zijn het niet dezelfde 
A: 	oké 
B: 	deze hebben die schijf horizontaal eruit steken aan de rechterkant 
B: 	en dan aan de linkerkant nog een gek vorm met een tuu eraan die zo steeds bred worden aan het einde vierkant 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	en die staan links een beetje in het midden van het van de linkerboven hoek zeggen maar 
A: 	past nog wel een groot boven misschien twee klein en sowieso twee link daarvan toepassen nog wel op het scherm 
B: 	ik denken dat de mijn veel omhoogstaat ik denken dat er maar één boven past 
B: 	en er staan er ook één boven 
A: 	oké 
A: 	en die staan misschien wat veel naar links dan denken ik of naar rechts 
B: 	ja 
B: 	ja 
B: 	er toepassen hij staat niet in het midden maar net links daarvan 
A: 	ja nee bij mij staan die wel echt veel op een kwart zeggen maar 
B: 	oké 
A: 	rood ja 
B: 	ja 
A: 	dit zijn die een met dat uitlopen ding links met dat vierkantje bovenop 
A: 	en rechts die plat schijf die zo uitsteekt en links nog weer ja die raar vorm die een beetje indeukt zeggen maar 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	en hij staan rechtsonder van het midden 
A: 	nee dat zijn nee bij mij staan die wel echt boven het midden 
B: 	oké 
B: 	deze hebben die gek uitsteeksel met dat vierkant en die ingedeuken ding 
A: 	ja 
B: 	of die dinge wat smal zijn en dan breed worden met een vierkant eraan aan dat gek ingedeuken ding en die schijf aan de ander kant 
A: 	ja ik weten welk je bedoelen ja daar ik zien hem ja dat zijn nummer zeggen maar je bedoelen die die uitlopen en dan dat vierkantje bovenop ja 
B: 	ja 
A: 	nummer één zijn dat 
A: 	en die staan het veel naar links van allemaal 
B: 	ja 
A: 	en net iets onder het midden 
B: 	ja 
A: 	oké 
A: 	ik hebben nu die een met rechts die schijf die uitsteken en dan links dat ingedeukken ding waar die tuut nog uit opsteken 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	en hij staan in het midden van boven naar beneden 
B: 	en dan 
A: 	op een kwart ongeveer van links naar rechts 
B: 	ja 
B: 	ja 
A: 	hij staan best wel een beetje in zijn één daar 
B: 	ja 
A: 	ja 
A: 	oké dat zijn wel hetzelfde 
B: 	dit zijn met dat die ingedeuken ding aan de linkerkant met de schijf aan de rechterkant en dat tuu of zoiets erbovenop 
A: 	ja 
A: 	dat zijn nummer dertien 
A: 	en die staan tussen die twee in die we net zeiden eigenlijk links precies in het midden 
B: 	ja 
