A: 	oké ik hebben deze omschrijven als een soort zonnepaneel of gaspedaal die achter dat kop zitten 
A: 	en 
B: 	ja oké 
A: 	en ja ver zitten er zo'n heel lang staaf eigenlijk achter het komme 
B: 	ja 
B: 	ja 
B: 	oké ik weten welk je bedoelen 
B: 	dat zijn K 
A: 	bij mij zitten die redelijk links maar niet ja er zitten er zitten driekwart ander voor eigenlijk 
A: 	van links en van boven zitten het ja een half boven denken ik zoiets 
B: 	oké 
B: 	dus wel redelijk bovenin en ook redelijk naar links 
A: 	ja 
B: 	ja ik denken dat ze op dezelfde plek zitten 
A: 	ja ik weten niet of wij precies dezelfde afbeelding eigenlijk zien 
B: 	nee 
A: 	hebben jij daar ook één onder staan nog 
B: 	ja één nee twee wacht twee staan eronder 
B: 	ik hebben dat gek ding met dat boek of die ruit bedoelen ik 
A: 	ja 
B: 	aan de zijkant 
B: 	en daaronder staan één of ander gek theekopjeachtig waar iets zo uit komen 
A: 	ja ja precies die hebben ik ook nog 
A: 	ik hebben er nog ik hebben er nog vier onder staan in totaal maar hij zitten wel linksboven bij mij 
B: 	ja 
A: 	alsnog bij jou ook 
B: 	ja 
B: 	ja ik denken dat ze wel op dezelfde plek staan 
A: 	ja oké 
B: 	oké 
B: 	oké ik hebben weer het gaspedaal 
A: 	ja oké 
B: 	weten je dan welk ik bedoelen 
A: 	met die lang stuk 
B: 	ja 
A: 	dat zijn negen 
B: 	en hij zijn de twee van rechts en hij staan ook hij zijn ook de twee van boven 
A: 	helemaal ja 
A: 	zitten er bij jou iets tussen nog of niet 
A: 	aan ruimte tussen de één en de twee 
A: 	van boven 
B: 	van boven 
A: 	want ik hebben heel iets ruimte nog dat ik denken van misschien zijn het net iets veel dan één 
B: 	ja oké het zijn wel iets veel dan één denken ik 
A: 	oké ja 
B: 	en ook trouwens van rechts zijn die ook iets veel dan één 
A: 	ja dat zijn bij mij denken ik ook 
B: 	oké dan denken ik wel dezelfde plek 
A: 	ja 
A: 	ja dat denken ik ook ja 
A: 	ik hebben weer het gaspedaal 
B: 	ja wachten ik zoeken hem even ja daar zijn die 
B: 	dat zijn F 
A: 	hij zitten poeh ik denken dat er twee link naast kunnen 
A: 	en hij zitten weer rond het midden maar ik denken dan net net iets eronder 
B: 	nee 
B: 	nee 
A: 	dan echt niet 
B: 	bij mij zitten die erbof 
A: 	oké ja 
B: 	ze zijn weer veranderen 
B: 	oké ik hebben het gaspedaal 
A: 	oké even zoeken hoor daar ja ja 
A: 	dat zijn nummer drie 
B: 	en hij zitten helemaal onderin en er toepassen er denken ik nog twee naast aan de linkerkant 
A: 	twee 
A: 	oeh bij mij staan die wel helemaal links of bijna 
B: 	ja 
A: 	ja er zitten er één nog net een heel klein stuk ernaast 
A: 	maar ze ze gebruiken niet het heel beeldscherm volgens mij dus 
A: 	bij mij zitten er ook nog één die ja of zelfs twee die er rechts ook nog iets onder steken 
B: 	nee 
A: 	iets door 
B: 	nee komen niks onder 
A: 	nee 
B: 	nee 
B: 	hij zitten echt helemaal onderin 
A: 	ja bij mij denken ik niet dan nee 
B: 	oké dan 
A: 	zijn net een halfje wat van een ander nog eronder 
A: 	kunnen er bij jou ook helemaal niks onder nog 
B: 	nee 
A: 	nee 
B: 	ja ik het zullen op zich misschien wel kunnen 
B: 	alleen dan hebben je niet veel zo'n mooi vrij rand weten je wel 
A: 	ja 
A: 	ja 
B: 	dus 
A: 	denken het niet dan 
B: 	nee ik denken het ook niet 
A: 	nee 
A: 	oké ik hebben die het gaspedaal 
B: 	oké 
B: 	ja 
B: 	dat zijn L 
A: 	en bij mij hij zitten weer rond het midden 
A: 	veel aan de onderkant wel 
A: 	en veel aan de rechterkant 
B: 	iets veel aan de rechterkant 
A: 	ja iets veel 
B: 	nee 
B: 	bij mij zitten die echt zo ver dat er nog maar één tussen past aan de rechterkant 
A: 	nee 
A: 	hij zitten halverwege de neus die we net hebben die 
B: 	nee oké dan nee 
A: 	nee 
B: 	nee 
B: 	oké ik hebben het gaspedaal 
A: 	ja 
A: 	ja dat zijn nummer vijf 
B: 	en hij zitten op de middellijn en dan past er denken ik nog een half onder 
B: 	iets veel dan een half 
A: 	veel 
B: 	ja veel dan een half misschien wel een heel 
A: 	ja 
A: 	ja bij mij ook 
A: 	hebben we een nieuw kaart of niet 
B: 	nee 
B: 	nou misschien wel 
A: 	jawel 
A: 	ja 
B: 	ja 
A: 	oké want ik willen weer gaan kunnen niet 
A: 	ja ik ik denken dat die inderdaad ook als je het midden hebben van boven naar beneden dan zitten die echt net daarnaast op die lijn 
A: 	denken ik of ja net erop 
B: 	net op wacht op deze lijn 
A: 	nee op die die deze lijn 
B: 	deze lijn 
A: 	ja 
A: 	ja net erop 
B: 	ik raak de heel tijd dat ding aan 
A: 	of 
B: 	ja er net wel op denken ik 
A: 	ja 
B: 	en ongeveer nog een heel eronder 
A: 	ja 
A: 	ik denken dat we wel dezelfde plek hè ? ja 
B: 	ja 
