B: 	oké nu hebben ik een soort ja een soort stoomboot hebben die hij hebben twee twee dinge op zijn hoofd 
B: 	en een groot neus die rond zijn ja een cilinder eigenlijk 
B: 	en hij hebben een hij zijn doorboren met een plaat 
A: 	ja en dan aan de linkerkant hebben je een soort van L eraan zitten 
B: 	ja en nog een haak ja ja 
A: 	ja 
A: 	dus die gaan we vanaf nu stoomboot noemen 
B: 	ja stoomboot 
A: 	oké 
A: 	welk zijn die bij jou 
B: 	hij H 
A: 	H zes 
B: 	en hij staan boven in het scherm 
A: 	ja 
B: 	iets veel rechts dan links voor mij in ieder geval iets veel rechts 
B: 	en even kijken er staan nog twee er kunnen nog er staan nog twee poppet naast 
B: 	maar wel één daaronder en één echt daarnaast 
A: 	kunnen er één nog boven passen 
B: 	wat zeggen je 
A: 	kunnen er nog één boven passen 
B: 	nee er kunnen niks veel boven 
B: 	hij zitten helemaal boven in het scherm 
A: 	dan staan ze op dezelfde plek 
A: 	plaat recht door de emmer heen een L aan de zijkant van het hoofd twee spriet bovenop 
B: 	ja ja ja ja ja ja 
A: 	zestien 
B: 	C 
B: 	C zestien 
A: 	aan de rechterkant helemaal bovenaan in het midden van het midden naar rechts 
B: 	ja 
A: 	oké 
B: 	zelfde plek 
B: 	de stoomboot met de rond neus 
B: 	die langwerpig ronde neus plaat door het midden 
A: 	ik weten welk je bedoelen maar ik moeten hem eerst vinden 
B: 	wat zeggen je 
A: 	ik moeten hem vinden 
B: 	ja 
A: 	met de L aan de zijkant 
B: 	ja 
A: 	ja oké 
B: 	I 
A: 	I dertien 
B: 	Linksboven 
A: 	nee niet hetzelfde 
A: 	ja gewoon helemaal links bovenin 
B: 	ja 
B: 	staan niks veel naast nee 
A: 	stoomboot van jou 
A: 	met die L aan de zijkant 
B: 	ja even kijken 
B: 	J en bij jou 
A: 	vijftien 
B: 	J vijftien 
A: 	ongeveer in het midden van links naar rechts en helemaal onderaan 
B: 	ja en dan iets veel 
A: 	net wat rechts 
B: 	ja zelfde plek 
A: 	oké 
B: 	deze noemen we de stoomboot 
B: 	met L'etje 
A: 	ja 
A: 	welk zijn het 
B: 	M 
B: 	sorry 
A: 	M negen ja maken niet uit 
A: 	ik vergeet het zelf ook de heel tijd 
B: 	helemaal rechts 
B: 	ja niet helemaal maar dan wel iets iets boven het midden 
A: 	nee 
A: 	je stoomboot 
A: 	met de L aan de zijkant 
B: 	ja even kijken ja 
A: 	acht 
B: 	N achten 
A: 	van links naar rechts staan die in het midden 
A: 	ongeveer net net wat naar rechts helemaal bovenin 
B: 	ja 
B: 	iets ja 
B: 	ja zelfde plek 
