A: 	oké bij mij zijn het ik denken dat het een soort van waterpomp zijn maar het zijn een één de basisvorm met dan een soort van vierkant staaf aan de aan de rechtsvoor 
A: 	en dan liggen er een ei bovenop 
B: 	ja en dan twee van die 
A: 	en dan twee van die soort van ding of zo waar je handvaat wat het ook zijn 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja oké hebbes 
A: 	ja 
B: 	dat zijn D 
A: 	oké bij mij staan die helemaal onderaan 
A: 	eigenlijk net links van BenQ 
B: 	ja bij mij ook 
A: 	ja 
B: 	zijn lekker makkelijk 
B: 	dit zijn die we net hebben die hoe noemen je dat nou 
B: 	met zo'n paal en ervoor en dan twee van die dinge die eruit komen 
A: 	ja de de pomp 
A: 	met die met dat ei wat erbovenop liggen 
B: 	ja 
B: 	ja die 
A: 	ja ja dat zijn bij mij vijftien 
B: 	die staan helemaal rechts onderin veel kunnen ik er niet van maken 
A: 	nee bij mij staan die wel onder maar niet helemaal rechts 
A: 	dus dat zijn rood 
A: 	dit zijn de pomp 
A: 	met dat ei wat erbovenop liggen met die staaf waar die eigenlijk aan lijken te hangen of zo 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	Linksbovenkwadrant 
B: 	ja 
A: 	en dan iets uit het midden van het linksbovenkwadrant en dan ongeveer ook in het midden van hoe hoog die zitten zeggen maar 
B: 	nee 
B: 	dit zijn ik weten niet veel hoe je dat zeggen maar met die bol erop en die staaf voor en dan twee van die dinge die er zo uit 
B: 	hoe noemen je dat nou 
B: 	kop met zo'n rond bol erop en dan zo'n staaf die ervoor staan 
A: 	ja de de pomp 
B: 	ja pomp 
A: 	ja 
B: 	ja 
A: 	ja ja met het ei wat erbovenop liggen 
B: 	ja 
A: 	nummer zes 
B: 	hij staan bij mij ja in de rechterhelft en dan eigenlijk precies in het midden 
A: 	ja bij mij ongeveer ook wel 
A: 	ja 
A: 	ja niet precies 
B: 	iets veel naar rechts maar qua qua hoogte wel in het midden 
A: 	ja ja ja ja ja 
A: 	ja ja zeker 
A: 	dit zijn de waterpomp zeggen maar met het ei wat erbovenop liggen en dan die twee ding die eruit komen 
B: 	ja 
B: 	J 
A: 	hij staan rechtsbovenkwadrant maar wel tegen de onderkant aan en ik denken dat er nog één naast kunnen en ook nog wel één ja ruim 
B: 	ja 
A: 	twee ja anderhalf à twee kunnen nog wel links van 
B: 	nee bij mij staan die wel veel in het midden maar dat bij jou dus niet 
B: 	klein tikkelt naar rechts 
A: 	als je naar BenQ kijken zeggen maar 
B: 	nee ik bedoelen in het midden van het rechterkwadrant 
A: 	als je dat als midden 
A: 	ja ja ja 
A: 	en dan ja een klein beetje naar rechts van het midden 
B: 	ja 
A: 	en wel echt er onder tegenaan maar niet op de lijn 
B: 	ja 
B: 	ja 
B: 	nee ja precies 
A: 	ja 
B: 	dit zijn de pomp met het ei 
A: 	ja nummer drie 
B: 	hij zitten bij mij in het rechtsbenedenkwadrant tegen de 
A: 	ja 
A: 	middellijn horizontaallijn aan 
B: 	ja en dan helemaal rechts 
B: 	kunnen een heel klein stuk naast 
A: 	ja 
A: 	ja ja ja ja ja ja 
B: 	ho 
