B: 	ik noemen dit de robot hij hebben twee oogjes die zo naar voren kijken hij hebben een heel groot vierkant aan de rechterkant 
A: 	hij hebben oog 
B: 	ja ik noemen het oog 
B: 	fantasie 
B: 	hij hebben een heel groot vierkant aan de rechterkant van zijn gezicht zitten en hij hebben een antenne op zijn hoofd 
B: 	je moeten hem denken ik even zoeken want hij zijn best wel expliciet ja 
A: 	ja ja ja ja ja ik zien hem een soort van spijker wat er op zijn hoofd zitten en dan 
B: 	inderdaad en een heel groot vierkant aan de rechterkant 
A: 	ja 
A: 	dan zijn het Numero twee 
B: 	hij staan bij mij eigenlijk op dezelfde plek als waar we net hebben met het feesthoed maar dan aan de linkerkant dus links van het beeldscherm in het midden hij staan een klein stuk omhoog maar dat zijn echt 
A: 	bij mij zullen er nog wel één onder kunnen 
B: 	nee bij mij zeker niet honderd procent niet 
A: 	oké dan zullen dan staan die niet op dezelfde plek 
B: 	nee 
A: 	dit zijn jou robot 
B: 	ja 
A: 	met die oog en dat spijkertje op het hoofd en die plaat aan één kant 
B: 	ik zitten hem even te zoeken ja 
B: 	dat gaan om G 
A: 	ja 
A: 	als je bij mij een lijn zullen trekken door het midden dan zitten die ongeveer dan zitten die gelijk aan de linkerkant kunnen er nog één onder 
B: 	ja bij mij ook 
A: 	oké 
B: 	dan zitten die op dezelfde plek 
B: 	mijn robot 
A: 	jou robot ik gaan hem even opzoeken weer 
A: 	dat zijn Numero negen 
B: 	als je een lijn trekken tussen E en N van de computer 
A: 	ja 
B: 	past daar nog één onder en daarna volgen die van hem en hij raken hem zeggen maar net niet de lijn 
A: 	ja 
A: 	staan die op dezelfde plek 
B: 	top 
A: 	je robot 
B: 	ja dan gaan het om D 
A: 	hij staan bij mij helemaal in het midden eigenlijk 
B: 	bij mij staan die in het midden van het midden 
A: 	ja 
A: 	Same 
B: 	dan staan die 
A: 	wachten even 
A: 	nee hij zitten dus in het midden bij mij echt in het midden 
B: 	ja 
A: 	en dan ja 
B: 	daarboven kunnen er twee daaronder kunnen er twee en een half 
A: 	boven kunnen er twee kunnen beneden kunnen er twee 
A: 	ja zoiets 
B: 	aan de zijkant drie allebei de kant drie 
A: 	ja 
A: 	ja 
B: 	oké zelfde plek 
B: 	ik zijn 
B: 	de robot 
A: 	ik zijn 
A: 	dat zijn Numero één 
B: 	bij mij raken de 
A: 	de pin net de robot 
A: 	aan de rechterkant staan die bij mij 
B: 	aan de rechterkant ja en hij raken dan de Q zullen er dan net tegenaan zitten die zullen hij helemaal raken 
A: 	nee dat hebben ik echt helemaal niet 
B: 	hij staan bij jou veel naar rechts 
A: 	ja dus dan staan die niet op dezelfde plek 
B: 	oké 
A: 	de robot 
B: 	dat zijn B 
A: 	bij mij vallen die als je een lijn door het midden zullen aantrekken gelijk rechts beneden onderin 
B: 	als je vanaf Q een lijn zullen trekken of van E en N 
A: 	vanaf Q een lijn zullen trekken vallen die eigenlijk gelijk rechts bij mij 
B: 	ja 
A: 	er kunnen echt niks veel tussen 
B: 	nee nee er kunnen eronder ongeveer twee à drie vingerlengte nog tussen 
A: 	ja 
A: 	maar er kunnen ook naast die Q kunnen niks veel bij mij bij 
B: 	nee nee bij mij ook niet staan die wel op dezelfde plek 
A: 	nee dan 
