A: 	dit zijn die zeggen maar die emmer en dan hebben je twee van die rechthoekig boven elkaar zitten 
A: 	en dan hebben je boven 
A: 	ja dat alleen dan dan plat zeggen maar 
B: 	en één en een staart 
B: 	ja en dan een staart aan de achterkant 
A: 	ja zo'n staart aan de achterkant 
B: 	aan de aan de aan de linkerkant 
A: 	ja zo'n staart onder en dan ja in het midden hebben je dan ook nog zo'n ding zitten 
B: 	ja 
B: 	dat zijn I 
A: 	die zitten bij mij even kijken in de als je het midden hebben link linksboven zeggen maar ja uit het midden 
B: 	ja 
A: 	en dan net net linksboven zeggen maar er zitten ver niks veel boven 
B: 	oké zelfde plek 
A: 	ja 
B: 	dit zijn die twee staf naar voren het staart en dat driehoekig dat plat driehoek bovenop 
B: 	dus met de driehoek maar dan maar dan 
A: 	met die plat driehoek bovenop 
B: 	ja 
B: 	en dan die twee twee ding naar buiten 
A: 	ja ja en daaronder die ronde 
B: 	ja exact 
A: 	ja dat zijn twee 
B: 	en die zitten helemaal aan de linkerkant in de hoek 
A: 	ja 
B: 	linksonder in de hoek 
B: 	maar dan niet helemaal in de hoek maar wel als veel veel op die plek 
A: 	ja precies er zitten ver niks veel omheen 
B: 	nee ja exact 
A: 	ik hebben dan rechtsonder dat zeepaard nog staan 
B: 	ja 
B: 	dat hebben ik ook 
B: 	toevallig 
A: 	ja toevallig oké 
A: 	ja nou dan denken ik dat die wel op dezelfde plek zijn 
B: 	zelfde plek dus ja 
A: 	ja dit zijn weer die emmer met die twee rechthoeak aan de zijkant 
A: 	zo boven elkaar zeggen maar 
B: 	ja 
A: 	en dan die die 
B: 	en dan die plat driehoek 
A: 	plat driehoek ja 
B: 	ja 
B: 	dat zijn M 
A: 	en die zitten als het die zitten voor mij het veel rechtsonder zeg maar 
A: 	of linksonder bedoelen ik sorry links 
B: 	ja bij mij ook 
B: 	bij mij ook 
B: 	dit zijn die twee balk het staart en de plat driehoek 
A: 	yes negen 
B: 	en die staan zeggen maar links kwadrant Linksboven 
B: 	en dan daar ook weer aan de rechterkant van 
A: 	in het midden 
B: 	ja ongeveer 
A: 	ja 
B: 	ik hebben hem zo ver echt wel echt wel zo ver van het van de rand staan 
A: 	ja ik hebben hem toch wel wel zoiets denken 
B: 	ja dat zijn hetzelfde 
A: 	ja dat zijn ongeveer hetzelfde 
B: 	ja dat zijn op dezelfde plek 
A: 	oké 
B: 	hierboven helemaal bovenaan dan 
A: 	ja 
B: 	zeggen maar helemaal ja er zitten nog zo'n stuk boven 
A: 	ja dat zijn zo'n stuk van de zijkant 
B: 	ja precies 
A: 	ja ja ja 
B: 	ja goed 
A: 	ja dit zijn die emmer met die twee rechthoeak boven elkaar zeggen maar 
A: 	aan de zijkant en die 
B: 	ja 
B: 	plat driehoek 
A: 	plat driehoek ja 
B: 	ja 
B: 	dat zijn F 
A: 	en die zitten dan even kijken die middel lijn 
A: 	net iets net iets rechts daarvan 
A: 	dus ik denken dat die bij jou ongeveer hier zitten zo 
B: 	ja 
A: 	en dan niet helemaal strak onderaan maar zo'n stuk van de onderkant zo 
B: 	ja 
B: 	ja precies want ik hebben bijna precies in het midden hebben ik een blaad staan en dan daar net iets rechts van dus hij zitten vanaf het midden zien 
B: 	zitten die ook wel weer zitten die ook wel weer zo'n stuk 
A: 	het ja het midden 
A: 	zo ja ja 
B: 	ja dan zitten die op dezelfde plek 
A: 	ik denken het wel 
B: 	denken ik 
B: 	ja 
B: 	dit zijn die twee buisje die twee staaf en de plat driehoek 
A: 	oké zes 
B: 	en die staan kruis net linksonder 
A: 	kruis 
A: 	ja net iets link daarvan 
B: 	net iets er link van 
A: 	ja 
A: 	ja precies 
B: 	ik denken ook ongeveer verticaal 
B: 	ongeveer 
A: 	ja precies ja ik denken dat het wel ik denken dat het wel ongeveer hetzelfde zijn 
B: 	net iets onder misschien ik ik weten niet precies wat het zijn 
B: 	ja ik denken het ook 
