A: 	oké dus dat bakkie en dan bovenop zitten zeggen maar twee vierkant vlak naast elkaar 
A: 	en daaruit steken dan weer die die die kubusblok zeggen maar alsof het opgestapelen taartdoze zijn 
A: 	dat zitten zeggen maar vrij klein boven op het komme 
A: 	aan de achterkant 
A: 	aan de voorkant steken een ietwat rond staaf uit of zeshoekig 
A: 	en dan hebben je nog aan de onderkant en aan de zijkant zeggen maar weer een soort vierkant staaf wat zo krom lopen 
B: 	nog een keer 
A: 	oké dus er zijn twee vierkant staaf één aan de onderkant die lopen zeggen maar zo naar voor 
A: 	en één aan de zijkant die lopen opzij 
A: 	er zitten dan nog een heel klein zeshoekig staaf recht daarvoor wat naar voren uitsteken 
A: 	en bovenop zitten twee klein vierkantjes die zitten er zeggen maar zo in steken als een soort kaart 
A: 	en dan uit die twee vierkant steken dan nog weer van die klein opgestapelen doos 
B: 	ja 
B: 	ik denken dat ik hem hebben hebben die zeggen maar een heel lang neus 
B: 	zeggen maar dus dat staaf komen komen eruit 
A: 	ja 
B: 	en daarachter zijn dus ja ik zien het als een boek dat een beetje gepiercet worden door van door iets 
A: 	ja 
A: 	ja dat zullen ook goed ja 
B: 	ja oké 
A: 	klinken logisch 
B: 	letter M 
A: 	hij staan in mijn linkerhelft 
A: 	en dan zeggen maar als je de linkerhelft hebben halverwege echt exact daaronder 
B: 	nee bij mij staan die boven de helft 
A: 	oké 
B: 	hij hebben van dat wat ik een op een boek vinden lijken dat doorpiercet worden 
A: 	ja 
B: 	aan de achterkant 
B: 	en onder hebben die nog een soort van handvat waar je hem kunnen vastpakken 
B: 	hij hebben een neus dat heel erg spits zijn 
B: 	en hij hebben nog een arm 
A: 	ja 
A: 	nummer negen 
B: 	hij staan bij mij onder bijna tegen de rand aan 
B: 	en een heel klein beetje van van link van het midden 
A: 	ja hebben ik ook 
A: 	dit zijn die raar waar bovenin zo'n boek uit steekt wat dan van beide kant die kubus ingestoken krijgen 
B: 	ah 
B: 	ja ja 
A: 	nog een handva vooraan en twee rechthoekig hand aan de onderaan en aan de zijkant 
B: 	ja 
B: 	letter letter H 
A: 	en die staan als je Linksboven hebben in het midden 
A: 	maar daar staan nog wel overal iets omheen zeggen maar 
B: 	ja bij mij ook hij staan zeggen maar in het midden van Linksboven ja precies ongeveer ja 
A: 	ja 
B: 	ja 
B: 	hij worden het boekachtig worden gepiercet 
B: 	en hij hebben een handvat aan de onderkant en een spits neus 
B: 	ho 
B: 	spits neus 
A: 	en nog die een aan de zijkant 
B: 	ja 
A: 	ja 
A: 	nummer elf 
B: 	hij liggen qua links en rechts op vijfentwintig procent van het scherm 
B: 	en hij liggen redelijk naar boven toe zitten ongeveer zo'n stuk tussen 
B: 	ja 
A: 	ja dat zijn wel hetzelfde 
B: 	ja ? 
A: 	dit zijn die een met dat boek bovenop wat dan spiesten worden met die doos en dan die raar hendel aan de onderkant 
B: 	yes 
A: 	aan de zijkant 
B: 	letter D 
A: 	en die staan als je de linkerhelft hebben 
A: 	en dan linksonder 
B: 	ja 
A: 	dat kwart 
A: 	en dan op ongeveer vijfendertig procent van het scherm zeggen maar 
A: 	en dan ongeveer zo'n stuk van de onderrand af 
B: 	nee bij mij staan die vijfendertig procent van het scherm 
A: 	ja even 
B: 	bij mij staan die nog duidelijk ik zullen zeggen op twintig procent qua links en rechts 
A: 	nee dan staan die van mij ver naar rechts toe denken ik 
B: 	oké 
B: 	het boek worden doorpiercet van achteren 
B: 	en hij hebben een handvat aan de onderkant aan de rechterkant en er zijn een neus 
A: 	yes 
A: 	nummer veertien 
B: 	link van het midden stuk naar link bijna tegen de rand aan 
B: 	en dan nou ja zo'n stuk 
A: 	nou sorry gaan maar door maar 
A: 	nee ik hebben echt zo'n stuk wel 
B: 	ja 
B: 	nou dan zijn het hem niet 
