B: 	oké deze vinden ik heel vinden ik de klein eigenlijk van allemaal 
B: 	want zeggen maar een komme en daarvoor zitten zeggen maar soort van een een hand en die houden een klein paal vast 
A: 	ja ja heel stokstijf vinden ik hem staan want die hebben een balk 
B: 	dus die zijn ja 
B: 	zo recht op zijn hoofd zo'n hanenkam zo 
B: 	en dan hebben die hier zo'n paal en dan zitten er hier nog een soort van een komme die andersom zitten een beker die andersom zitten 
A: 	een 
A: 	ja 
A: 	dat zijn nummer acht 
A: 	bij mij 
B: 	hij staan net niet precies in het scherm maar een heel klein beetje naar links 
B: 	precies in het midden 
B: 	maar dan net een ik denken klein beetje naar links 
A: 	naar links 
B: 	paar centimeter 
A: 	ja 
A: 	ja 
A: 	dat zijn bij mij ook zo 
A: 	dus dat zijn dezelfde 
A: 	ja 
A: 	ja dat zijn met die hanenkam 
A: 	die beker die omgedraaid zitten en die hand die zo'n paal omhoog hebben 
B: 	dat zijn E 
A: 	en deze staan rechts van het midden 
A: 	net niet tegen het midden aan 
A: 	en in de hoogte staan die eigenlijk ook net iets onder het midden 
B: 	onder het midden 
A: 	onder het midden 
B: 	oké dan staan hij niet op dezelfde plek 
B: 	dit zijn dat compact man met dat staaf in zijn hand 
A: 	ja 
A: 	die stokstijve met die hanenkam 
A: 	dat zijn nummer één 
B: 	ik denken dat die precies in het midden van het scherm staan 
B: 	heel klein beetje naar links en helemaal bovenin 
A: 	ja 
A: 	ja 
A: 	dat zijn dezelfde positie 
A: 	dit zijn het poppe met de hanenkam en die ja spastisch met het 
B: 	dat zijn E 
A: 	deze staan aan de linkerkant van het beeldscherm staan die eigenlijk zullen er in het midden zullen er één tussen kunnen en aan de zijkant twee 
A: 	en in de hoogte staan die net iets onder het midden 
B: 	ja dat zijn dezelfde plek 
B: 	dit zijn dat poppe dat dat balk vasthouden in zijn hand 
A: 	met die hanenkam weer 
B: 	ja 
A: 	ja 
A: 	nummer zestien 
B: 	als je het midden van het scherm hebben staan die aan de rechterkant helemaal onderin in de bijna in het midden 
B: 	en dan neigen die iets veel naar de zijkant toe 
B: 	naar de middenkant toe 
B: 	middellijn 
A: 	weer terug naar de middellijn 
B: 	ja 
A: 	ja 
A: 	kunnen één of twee vinger kunnen er nog wel onder 
A: 	ja staan die wel op dezelfde plek 
A: 	dit zijn het poppe die het staaf zo vastheeft en met de hanenkam 
B: 	dat zijn O 
A: 	en die staan linksonder en aan de aan de onderkant kunnen er één vinger tussen aan de zijkant net iets veel 
B: 	ja dan staan die op dezelfde plek 
